UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330143|OK|SP1-SP8;SP13-SP15;SP32-SP46;SP55-SP67;SP82-SP90;SP98-SP108;SP119-SP124;SP126-SP144|84||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330148|OK|SP1-SP8|8||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330153|OK|SP13-SP15|3||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330158|OK|SP1-SP8;SP13-SP15;SP32-SP36|16||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330163|OK|SP43-SP46|4||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330168|OK|SP37-SP42|6||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330174|OK|SP37-SP39|3||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330179|OK|SP37|1||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330184|OK|SP1-SP8;SP13-SP15;SP32-SP46;SP55-SP67;SP82-SP90;SP98-SP108;SP119-SP124;SP126-SP144|84||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330194|OK|SP1-SP8;SP13-SP15;SP32-SP46;SP55-SP56|28||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330199|OK|SP1-SP8;SP13-SP15;SP32-SP46;SP55-SP60|32||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330204|OK|SP61-SP67;SP82-SP90;SP98-SP108|27||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330214|OK|SP61-SP67;SP82-SP90;SP98-SP106|25||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330219|OK|SP61-SP67;SP82-SP90;SP98-SP103|22||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330224|OK|SP61-SP67;SP82-SP90|16||0
RS|ALEGRETE|RSALG_G1I01|TR 1|CBL0000000011330229|OK|SP61-SP67;SP82-SP84|10||0
