UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|ALEGRETE|CBL0000000011325464|SP135[SS7-SS8];SP136[SS1]|3||0
RS|ALEGRETE|CBL0000000011325469|SP135[SS1-SS2]|2||0
RS|ALEGRETE|CBL0000000011325474|SP137[SS1-SS4]|4||0
RS|ALEGRETE|CBL0000000011325479|SP137[SS1-SS3]|3||0
RS|ALEGRETE|CBL0000000011325484|SP137[SS1-SS2]|2||0
RS|ALEGRETE|CBL0000000011325489|SP137[SS1]|1||0
RS|ALEGRETE|CBL0000000011325494|SP136[SS2]|1||0
RS|ALEGRETE|CBL0000000011325499|SP133[SS1-SS8]|8||0
RS|ALEGRETE|CBL0000000011325504|SP133[SS1-SS7]|7||0
RS|ALEGRETE|CBL0000000011325509|SP133[SS1-SS6]|6||0
RS|ALEGRETE|CBL0000000011325514|SP133[SS1-SS5]|5||0
RS|ALEGRETE|CBL0000000011325519|SP131[SS2]|1||0
RS|ALEGRETE|CBL0000000011325524|SP133[SS1-SS4]|4||0
RS|ALEGRETE|CBL0000000011325529|SP133[SS1-SS3]|3||0
RS|ALEGRETE|CBL0000000011325534|SP133[SS1-SS2]|2||0
RS|ALEGRETE|CBL0000000011325539|SP133[SS1]|1||0
RS|ALEGRETE|CBL0000000011325544|SP134[SS2-SS7;SS9]|7||0
RS|ALEGRETE|CBL0000000011325549|SP134[SS2-SS7]|6||0
RS|ALEGRETE|CBL0000000011325554|SP134[SS2-SS6]|5||0
RS|ALEGRETE|CBL0000000011325559|SP134[SS2-SS5]|4||0
RS|ALEGRETE|CBL0000000011325564|SP134[SS2-SS4]|3||0
RS|ALEGRETE|CBL0000000011325569|SP132[SS1-SS8]|8||0
RS|ALEGRETE|CBL0000000011325574|SP134[SS2-SS3]|2||0
RS|ALEGRETE|CBL0000000011325579|SP134[SS2]|1||0
RS|ALEGRETE|CBL0000000011325584|SP132[SS1-SS7]|7||0
RS|ALEGRETE|CBL0000000011325589|SP132[SS1-SS6]|6||0
RS|ALEGRETE|CBL0000000011325594|SP132[SS1-SS5]|5||0
RS|ALEGRETE|CBL0000000011325599|SP132[SS1-SS4]|4||0
RS|ALEGRETE|CBL0000000011325609|SP132[SS1-SS3]|3||0
RS|ALEGRETE|CBL0000000011325614|SP132[SS1-SS2]|2||0
RS|ALEGRETE|CBL0000000011325619|SP132[SS1]|1||0
RS|ALEGRETE|CBL0000000011325624|SP144[SS1-SS4]|4||0
RS|ALEGRETE|CBL0000000011325629|SP129[SS1]|1||0
RS|ALEGRETE|CBL0000000011325634|SP130[SS1-SS4]|4||0
RS|ALEGRETE|CBL0000000011325639|SP129[SS2-SS3]|2||0
RS|ALEGRETE|CBL0000000011325645|SP122[SS1-SS8]|8||0
RS|ALEGRETE|CBL0000000011325650|SP122[SS1-SS7]|7||0
RS|ALEGRETE|CBL0000000011325655|SP122[SS1-SS6]|6||0
RS|ALEGRETE|CBL0000000011325660|SP122[SS1-SS5]|5||0
RS|ALEGRETE|CBL0000000011325665|SP122[SS1-SS4]|4||0
RS|ALEGRETE|CBL0000000011325670|SP122[SS1-SS3]|3||0
