UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982360|58187|EQP0000000007039954|CAIXA DE EMENDA GENERICA 22|EQP0000000007042961|I01GPF1042|1|CBL0000000011325519|9254_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|13.41|CAIXA DE EMENDA GENERICA 22|EQP0000000007039954|I01GPF1042|EQP0000000007042961|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982360|58187|EQP0000000007039954|CAIXA DE EMENDA GENERICA 22|EQP0000000029406357|I01GP1041|1|CBL0000000029406541|RSALG-I01-SP131F1I01GP1041|CFO-SM-AS80S-RA-12|12|Em fachada;Cordoalha|72.85|CAIXA DE EMENDA GENERICA 22|EQP0000000007039954|I01GP1041|EQP0000000029406357|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039960|I01G01055|1|CBL0000000011325569|9264_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|129.19|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|I01G01056|EQP0000000007040986|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039960|I01G01055|2|CBL0000000011325584|9267_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|86.58|I01G01056|EQP0000000007040986|I01G01055|EQP0000000007039960|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039961|I01G01054|1|CBL0000000011325569|9264_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|129.19|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|I01G01056|EQP0000000007040986|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039961|I01G01054|2|CBL0000000011325584|9267_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|86.58|I01G01056|EQP0000000007040986|I01G01055|EQP0000000007039960|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039961|I01G01054|3|CBL0000000011325589|9268_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|72.92|I01G01055|EQP0000000007039960|I01G01054|EQP0000000007039961|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039962|I01G01053|1|CBL0000000011325569|9264_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|129.19|CAIXA DE EMENDA GENERICA 20|EQP0000000007039948|I01G01056|EQP0000000007040986|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039962|I01G01053|2|CBL0000000011325584|9267_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|86.58|I01G01056|EQP0000000007040986|I01G01055|EQP0000000007039960|1
RS|ALEGRETE|RSALG_G1I01|TR 1|Secundario|LOC0000000006982361|58188|EQP0000000007039948|CAIXA DE EMENDA GENERICA 20|EQP0000000007039962|I01G01053|3|CBL0000000011325589|9268_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|72.92|I01G01055|EQP0000000007039960|I01G01054|EQP0000000007039961|1
