IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000106688143|||||||||||||||EQP0000000007042970|I01GP1040|LOC0000000007031895|MDU|S.A-VINTE DE SETEMBRO 779 5632|-29.786327000|-55.796805400|EQP0000000106688008|I01GP1039|LOC0000000007031895|MDU|S.A-VINTE DE SETEMBRO 779 5632|-29.786327000|-55.796805400|RS|ALEGRETE|RSALG_G1I01
CBL0000000106686979|||||||||||||||EQP0000000007041764|I01GP1396|LOC0000000007031168|MDU|DOS ANDRADAS 237 5042|-29.785475600|-55.796022800|EQP0000000106686763|I01GP1395|LOC0000000007031168|MDU|DOS ANDRADAS 237 5042|-29.785475600|-55.796022800|RS|ALEGRETE|RSALG_G1I01
CBL0000000106688148|||||||||||||||EQP0000000106688035|I01GP1038|LOC0000000007031895|MDU|S.A-VINTE DE SETEMBRO 779 5632|-29.786327000|-55.796805400|EQP0000000106688089|I01GP1037|LOC0000000007031895|MDU|S.A-VINTE DE SETEMBRO 779 5632|-29.786327000|-55.796805400|RS|ALEGRETE|RSALG_G1I01
CBL0000000106689051|||||||||||||||EQP0000000007040931|I01GP292|LOC0000000007036582|MDU|EURIPEDES BRASIL MILANO 3378;BL 2 9301|-29.800713900|-55.799026800|EQP0000000106689010|I01GP291|LOC0000000007036582|MDU|EURIPEDES BRASIL MILANO 3378;BL 2 9301|-29.800713900|-55.799026800|RS|ALEGRETE|RSALG_G1I01
CBL0000000106688146|||||||||||||||EQP0000000106688008|I01GP1039|LOC0000000007031895|MDU|S.A-VINTE DE SETEMBRO 779 5632|-29.786327000|-55.796805400|EQP0000000106688035|I01GP1038|LOC0000000007031895|MDU|S.A-VINTE DE SETEMBRO 779 5632|-29.786327000|-55.796805400|RS|ALEGRETE|RSALG_G1I01
CBL0000000106689160|||||||||||||||EQP0000000007040921|I01GP307|LOC0000000007036522|MDU|EURIPEDES BRASIL MILANO 3300;BL 3 9291|-29.800031900|-55.798630100|EQP0000000106689106|I01GP306|LOC0000000007036522|MDU|EURIPEDES BRASIL MILANO 3300;BL 3 9291|-29.800031900|-55.798630100|RS|ALEGRETE|RSALG_G1I01
CBL0000000106687527|||||||||||||||EQP0000000007041946|I01GP1432|LOC0000000007029213|MDU|SAMPAIO 1082 2938|-29.783546000|-55.793689200|EQP0000000106687443|I01GP1431|LOC0000000007029213|MDU|SAMPAIO 1082 2938|-29.783546000|-55.793689200|RS|ALEGRETE|RSALG_G1I01
CBL0000000106686704|||||||||||||||EQP0000000007039590|I01GP1992|LOC0000000007029372|MDU|DEMETRIO RIBEIRO 98 2619|-29.783675300|-55.788418100|EQP0000000106686594|I01GP1991|LOC0000000007029372|MDU|DEMETRIO RIBEIRO 98 2619|-29.783675300|-55.788418100|RS|ALEGRETE|RSALG_G1I01
CBL0000000106688300|||||||||||||||EQP0000000007041746|I01GP1383|LOC0000000007030511|MDU|LAURO DORNELES 321 3284|-29.784256900|-55.797151600|EQP0000000106688246|I01GP1382|LOC0000000007030511|MDU|LAURO DORNELES 321 3284|-29.784256900|-55.797151600|RS|ALEGRETE|RSALG_G1I01
CBL0000000106686172|||||||||||||||EQP0000000007040166|I01GP1010|LOC0000000007033169|MDU|QUINTANA 544 6592|-29.789055300|-55.793377300|EQP0000000106686090|I01GP1009|LOC0000000007033169|MDU|QUINTANA 544 6592|-29.789055300|-55.793377300|RS|ALEGRETE|RSALG_G1I01
CBL0000000106687923|||||||||||||||EQP0000000007040380|I01GP459|LOC0000000007036045|MDU|BARROS CASSAL 1105 8493|-29.796846800|-55.793366500|EQP0000000106687868|I01GP458|LOC0000000007036045|MDU|BARROS CASSAL 1105 8493|-29.796846800|-55.793366500|RS|ALEGRETE|RSALG_G1I01
CBL0000000106687062|||||||||||||||EQP0000000106686790|I01GP1394|LOC0000000007031168|MDU|DOS ANDRADAS 237 5042|-29.785475600|-55.796022800|EQP0000000106686898|I01GP1393|LOC0000000007031168|MDU|DOS ANDRADAS 237 5042|-29.785475600|-55.796022800|RS|ALEGRETE|RSALG_G1I01
CBL0000000106687586|||||||||||||||EQP0000000106687470|I01GP1430|LOC0000000007029213|MDU|SAMPAIO 1082 2938|-29.783546000|-55.793689200|EQP0000000106687498|I01GP1429|LOC0000000007029213|MDU|SAMPAIO 1082 2938|-29.783546000|-55.793689200|RS|ALEGRETE|RSALG_G1I01
CBL0000000106687585|||||||||||||||EQP0000000106687443|I01GP1431|LOC0000000007029213|MDU|SAMPAIO 1082 2938|-29.783546000|-55.793689200|EQP0000000106687470|I01GP1430|LOC0000000007029213|MDU|SAMPAIO 1082 2938|-29.783546000|-55.793689200|RS|ALEGRETE|RSALG_G1I01
CBL0000000106686705|||||||||||||||EQP0000000106686594|I01GP1991|LOC0000000007029372|MDU|DEMETRIO RIBEIRO 98 2619|-29.783675300|-55.788418100|EQP0000000106686648|I01GP1990|LOC0000000007029372|MDU|DEMETRIO RIBEIRO 98 2619|-29.783675300|-55.788418100|RS|ALEGRETE|RSALG_G1I01
