UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000007039977;I01GP1076;TO;RSALG_G1I01;RUA BARAO DE CERRO LARGO ALEGRETE CENTRO 97542080 RS 458;ALEGRETE;-29.786461800;-55.789672800;GP;RSALG-I01SP135;RSALG-I01SP135-SS4;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/11
EQP0000000007042968;I01GP1104;TO;RSALG_G1I01;RUA NOSSA SENHORA DO CARMO ALEGRETE CENTRO 97541410 RS 68;ALEGRETE;-29.784924200;-55.791063600;GP;RSALG-I01SP138;RSALG-I01SP138-SS8;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/14
EQP0000000007041746;I01GP1383;TO;RSALG_G1I01;AVENIDA DOUTOR LAURO DORNELES ALEGRETE CENTRO 97541151 RS 321;ALEGRETE;-29.784256900;-55.797151600;GP;RSALG-I01SP173;RSALG-I01SP173-SS7;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/7/5
EQP0000000007042580;I01GP1954;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSALG_G1I01;RUA CORONEL CABRITA ALEGRETE CENTRO 97541100 RS 151;ALEGRETE;-29.781833000;-55.789105500;GP;RSALG-I01SP245;RSALG-I01SP245-SS1;ALG_I01_2_GPON_VLAN_103_104_105-ALC;1/1/1/11
EQP0000000007042970;I01GP1040;TO;RSALG_G1I01;RUA VINTE DE SETEMBRO ALEGRETE CENTRO 97542620 RS 779;ALEGRETE;-29.786327000;-55.796805400;GP;RSALG-I01SP130;RSALG-I01SP130-SS8;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/6
EQP0000000007040931;I01GP292;TO;RSALG_G1I01;AVENIDA DOUTOR EURIPEDES BRASIL MILANO ALEGRETE CENTRO 97543240 RS 3378;ALEGRETE;-29.800713900;-55.799026800;GP;RSALG-I01SP37;RSALG-I01SP37-SS4;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/1
EQP0000000007041735;I01GP1202;TO;RSALG_G1I01;RUA WALDEMAR MASSON ALEGRETE CENTRO 97542630 RS 253;ALEGRETE;-29.786736200;-55.800498300;GP;;S8_1;;
EQP0000000007041735;I01GP1202;TO;RSALG_G1I01;RUA WALDEMAR MASSON ALEGRETE CENTRO 97542630 RS 253;ALEGRETE;-29.786736200;-55.800498300;GP;RSALG-I01SP151;RSALG-I01SP151-SS2;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/11
EQP0000000007039589;I01GP1988;TO;RSALG_G1I01;RUA DEMETRIO RIBEIRO ALEGRETE CENTRO 97542200 RS 105;ALEGRETE;-29.783513100;-55.788314800;GP;RSALG-I01SP249;RSALG-I01SP249-SS4;ALG_I01_2_GPON_VLAN_103_104_105-ALC;1/1/1/15
EQP0000000007041764;I01GP1396;TO;RSALG_G1I01;RUA DOS ANDRADAS ALEGRETE CENTRO 97541001 RS 237;ALEGRETE;-29.785475600;-55.796022800;GP;RSALG-I01SP175;RSALG-I01SP175-SS4;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/7/7
EQP0000000007039959;I01G01072;CTO SPLITTER 1 8;RSALG_G1I01;RUA BARAO DE CERRO LARGO ALEGRETE CENTRO 97542080 RS 477;ALEGRETE;-29.786571800;-55.789972800;G0;RSALG-I01SP134;S8_1;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/10
EQP0000000007040921;I01GP307;TO;RSALG_G1I01;AVENIDA DOUTOR EURIPEDES BRASIL MILANO ALEGRETE CENTRO 97543240 RS 3300;ALEGRETE;-29.800031900;-55.798630100;GP;RSALG-I01SP39;RSALG-I01SP39-SS3;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/3
EQP0000000007042962;I01GP1078;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSALG_G1I01;RUA BARAO DE CERRO LARGO ALEGRETE CENTRO 97542080 RS 434;ALEGRETE;-29.786500900;-55.789513500;GP;RSALG-I01SP135;RSALG-I01SP135-SS5;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/11
EQP0000000007042599;I01GP290;TO;RSALG_G1I01;AVENIDA DOUTOR EURIPEDES BRASIL MILANO ALEGRETE CENTRO 97543240 RS 3378;ALEGRETE;-29.800533000;-55.799024000;GP;RSALG-I01SP37;RSALG-I01SP37-SS2;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/1
EQP0000000007040380;I01GP459;TO;RSALG_G1I01;RUA BARROS CASSAL ALEGRETE CIDADE ALTA 97543060 RS 1105;ALEGRETE;-29.796846800;-55.793366500;GP;RSALG-I01SP58;RSALG-I01SP58-SS3;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/2/14
EQP0000000007039581;I01GP1803;TO;RSALG_G1I01;AVENIDA DOUTOR LAURO DORNELES ALEGRETE CENTRO 97541150 RS 1426;ALEGRETE;-29.775073200;-55.793712400;GP;RSALG-I01SP226;RSALG-I01SP226-SS3;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/8/14
EQP0000000007039769;I01G01146;CTO - OPTAP;RSALG_G1I01;RUA JOAQUIM ANTONIO ALEGRETE CENTRO 97542360 RS 159;ALEGRETE;-29.786536600;-55.784779900;G0;RSALG-I01SP144;RSALG-I01SP144-SS2;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/4
EQP0000000007039609;I01G01785;CTO - OPTAP;RSALG_G1I01;RUA JOAO BENICIO ALEGRETE VILA NOVA 97541280 RS 421;ALEGRETE;-29.774226100;-55.790102200;G0;RSALG-I01SP224;RSALG-I01SP224-SS1;ALG_I01_1_GPON_VLAN_100_101_102-ALC;1/1/8/12
EQP0000000007042565;I01G01896;CTO - OPTAP;RSALG_G1I01;RUA VENANCIO AIRES ALEGRETE CENTRO 97541501 RS 506;ALEGRETE;-29.781162100;-55.790528500;G0;RSALG-I01SP237;RSALG-I01SP237-SS8;ALG_I01_2_GPON_VLAN_103_104_105-ALC;1/1/1/3
