UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069393936|OK|SP289-SP291;SP296-SP300;SP304-SP307;SP310-SP312;SP315-SP318;SP320-SP330;SP333-SP336;SP340-SP345;SP347;SP350;SP353;SP355-SP357;SP359-SP365;SP369-SP372;SP380-SP384|62||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069400155|OK|SP289-SP291;SP296-SP300;SP304-SP307;SP310-SP312;SP315-SP318;SP320-SP330;SP333-SP336;SP340-SP345;SP347;SP350;SP353;SP355-SP357;SP359-SP365;SP369-SP372;SP380-SP384|62||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069400562|OK|SP289-SP291;SP296-SP300;SP304-SP307;SP310-SP312;SP315-SP318;SP320-SP330;SP333-SP336;SP340-SP345;SP347;SP350;SP353;SP355-SP357;SP359-SP360|48||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069400704|OK|SP361-SP365;SP369-SP372;SP380-SP384|14||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069401559|OK|SP361-SP365;SP369-SP372|9||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069402167|OK|SP361-SP365|5||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069407315|OK|SP325-SP330;SP333-SP336;SP340-SP345;SP347;SP350;SP353;SP355-SP357;SP359-SP360|24||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069407377|OK|SP355-SP357|3||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069407491|OK|SP325-SP330;SP333-SP336;SP340-SP345;SP347;SP350;SP353|19||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069407553|OK|SP325-SP330;SP333-SP336;SP340-SP345;SP347;SP350|18||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069407583|OK|SP325-SP330;SP333-SP336;SP340-SP345;SP347|17||0
PA|BELEM|PABLM_G1I05|DGO3_BR-PABLM05|CBL0000000069407627|OK|SP325-SP330;SP333-SP336;SP340-SP345|16||0
