UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
PA|BELEM|CBL0000000061808750|SP139[SS4-SS8]|5||0
PA|BELEM|CBL0000000061809276|SP139[SS4-SS5;SS7-SS8]|4||0
PA|BELEM|CBL0000000061809277|SP139[SS4-SS5;SS8]|3||0
PA|BELEM|CBL0000000061809286|SP139[SS4-SS5]|2||0
PA|BELEM|CBL0000000061809315|SP139[SS5]|1||0
PA|BELEM|CBL0000000061810834|SP235[SS4]|1||0
PA|BELEM|CBL0000000062738772|SP289[SS2-SS8]|7||0
PA|BELEM|CBL0000000062738999|SP289[SS2-SS7]|6||0
PA|BELEM|CBL0000000062739487|SP289[SS2-SS6]|5||0
PA|BELEM|CBL0000000062739739|SP289[SS2-SS5]|4||0
PA|BELEM|CBL0000000062740745|SP289[SS2-SS4]|3||0
PA|BELEM|CBL0000000062741330|SP289[SS2-SS3]|2||0
PA|BELEM|CBL0000000062741739|SP289[SS2]|1||0
PA|BELEM|CBL0000000063908401|SP251[SS2-SS8]|7||0
PA|BELEM|CBL0000000063911580|SP267[SS6]|1||0
PA|BELEM|CBL0000000063911631|SP251[SS2-SS7]|6||0
PA|BELEM|CBL0000000063911815|SP251[SS2-SS6]|5||0
PA|BELEM|CBL0000000063914108|SP268[SS2-SS8]|7||0
PA|BELEM|CBL0000000063915874|SP268[SS2-SS7]|6||0
PA|BELEM|CBL0000000063916003|SP251[SS2-SS5]|4||0
PA|BELEM|CBL0000000063916897|SP268[SS2-SS6]|5||0
PA|BELEM|CBL0000000063917220|SP251[SS2-SS4]|3||0
PA|BELEM|CBL0000000063917665|SP268[SS2-SS5]|4||0
PA|BELEM|CBL0000000063919006|SP268[SS2-SS4]|3||0
PA|BELEM|CBL0000000063920339|SP268[SS2-SS3]|2||0
PA|BELEM|CBL0000000063920717|SP251[SS2-SS3]|2||0
PA|BELEM|CBL0000000063921219|SP268[SS2]|1||0
PA|BELEM|CBL0000000063926034|SP252[SS1-SS8]|8||0
PA|BELEM|CBL0000000063927165|SP252[SS1-SS7]|7||0
PA|BELEM|CBL0000000063929684|SP252[SS1-SS6]|6||0
PA|BELEM|CBL0000000063930774|SP252[SS1-SS5]|5||0
PA|BELEM|CBL0000000063931846|SP252[SS1-SS4]|4||0
PA|BELEM|CBL0000000063932711|SP252[SS1-SS3]|3||0
PA|BELEM|CBL0000000063932981|SP252[SS1-SS2]|2||0
PA|BELEM|CBL0000000063933423|SP252[SS1]|1||0
PA|BELEM|CBL0000000063948799|SP269[SS1-SS8]|8||0
PA|BELEM|CBL0000000063949539|SP269[SS1-SS7]|7||0
PA|BELEM|CBL0000000063949950|SP269[SS1-SS6]|6||0
PA|BELEM|CBL0000000063950324|SP269[SS1-SS5]|5||0
