UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047059530|OK|SP1-SP2;SP6-SP8;SP10-SP12;SP16-SP18;SP21-SP28;SP31-SP40;SP45-SP48;SP50-SP52;SP54-SP65;SP67-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107;SP109-SP111;SP113-SP124;SP127-SP130;SP133-SP142|107||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047059540|OK|SP1-SP2;SP6-SP8;SP10-SP12;SP16-SP18;SP21-SP28;SP31-SP40;SP45-SP48;SP50-SP52;SP54-SP65;SP67-SP72|54||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047059545|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107;SP109-SP111;SP113-SP124;SP127-SP130;SP133-SP142|53||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047059620|OK|SP1-SP2;SP6-SP8;SP10-SP12;SP16-SP18;SP21-SP24|15||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047059665|OK|SP25-SP28;SP31-SP33|7||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047059670|OK|SP25-SP28|4||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047061230|OK|SP37-SP40;SP45-SP48;SP50-SP52;SP54-SP60|18||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047061310|OK|SP61-SP65;SP67-SP70|9||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047061420|OK|SP61-SP65|5||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047063061|OK|SP1-SP2;SP6-SP8;SP10-SP12;SP16-SP18|11||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047063176|OK|SP1-SP2;SP6-SP8;SP10-SP12|8||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047064562|OK|SP1-SP2;SP6-SP8|5||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047064657|OK|SP1-SP2|2||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047064817|OK|SP37-SP40;SP45-SP48;SP50-SP52;SP54-SP56|14||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047066301|OK|SP37-SP40;SP45-SP48;SP50-SP52|11||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047066401|OK|SP37-SP40;SP45-SP48|8||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047066541|OK|SP37-SP40|4||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047068017|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93|14||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047068022|OK|SP73-SP76;SP79-SP82;SP85-SP87|11||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047068167|OK|SP73-SP76;SP79-SP82|8||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047068282|OK|SP73-SP76|4||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047069827|OK|SP101-SP107|7||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047069887|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107|24||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047069987|OK|SP101-SP104|4||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047071497|OK|SP109-SP111|3||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047071542|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107;SP109-SP111;SP113-SP116|31||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047073204|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107;SP109-SP111;SP113-SP120|35||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047073279|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107;SP109-SP111;SP113-SP124|39||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047073404|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107;SP109-SP111;SP113-SP124;SP127-SP130|43||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047074859|OK|SP73-SP76;SP79-SP82;SP85-SP87;SP91-SP93;SP97-SP99;SP101-SP107;SP109-SP111;SP113-SP124;SP127-SP130;SP133-SP136|47||0
RJ|CABO FRIO|RJCBF_G1I03|TR 1|CBL0000000047078380|OK|SP37-SP40;SP45-SP48;SP50-SP52;SP54-SP65;SP67-SP72|29||0
RJ|CABO FRIO|RJCBF_G1I03|TR 2|CBL0000000047059535|OK|SP145-SP147;SP153-SP160;SP166-SP168;SP171-SP179|23||0
RJ|CABO FRIO|RJCBF_G1I03|TR 2|CBL0000000047059550|OK|SP145-SP147;SP153-SP160;SP166-SP168;SP171-SP179|23||0
RJ|CABO FRIO|RJCBF_G1I03|TR 2|CBL0000000047075215|OK|SP175-SP179|5||0
RJ|CABO FRIO|RJCBF_G1I03|TR 2|CBL0000000047076615|OK|SP157-SP160;SP166-SP168|7||0
RJ|CABO FRIO|RJCBF_G1I03|TR 2|CBL0000000047076620|OK|SP145-SP147;SP153-SP156|7||0
RJ|CABO FRIO|RJCBF_G1I03|TR 2|CBL0000000047076740|OK|SP157-SP160|4||0
RJ|CABO FRIO|RJCBF_G1I03|TR 2|CBL0000000047078280|OK|SP145-SP147|3||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060790|OK|SP1-SP3;SP7-SP20;SP25-SP55;SP65-SP72;SP79-SP82|60||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060840|OK|SP83-SP86;SP90-SP92|7||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060845|OK|SP83-SP86|4||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060855|OK|SP1-SP3;SP7-SP20;SP25-SP55;SP65-SP72|56||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060915|OK|SP67-SP72|6||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060935|OK|SP1-SP3;SP7-SP20;SP25-SP55;SP65-SP66|50||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060945|OK|SP37-SP47|11||0
RJ|CABO FRIO|RJCBF_G1M01|TR 1|CBL0000000047060965|OK|SP37-SP42|6||0
