UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RJ|CABO FRIO|CBL0000000047058945|SP353[SS1-SS4]|4||0
RJ|CABO FRIO|CBL0000000047058950|SP353[SS1-SS3]|3||0
RJ|CABO FRIO|CBL0000000047058955|SP353[SS1-SS2]|2||0
RJ|CABO FRIO|CBL0000000047058960|SP353[SS1]|1||0
RJ|CABO FRIO|CBL0000000047058975|SP352[SS2-SS8]|7||0
RJ|CABO FRIO|CBL0000000047058980|SP352[SS2-SS7]|6||0
RJ|CABO FRIO|CBL0000000047058985|SP352[SS2-SS6]|5||0
RJ|CABO FRIO|CBL0000000047058990|SP352[SS2-SS5]|4||0
RJ|CABO FRIO|CBL0000000047058995|SP352[SS2-SS4]|3||0
RJ|CABO FRIO|CBL0000000047059000|SP352[SS2-SS3]|2||0
RJ|CABO FRIO|CBL0000000047059005|SP352[SS2]|1||0
RJ|CABO FRIO|CBL0000000047059010|SP351[SS1-SS8]|8||0
RJ|CABO FRIO|CBL0000000047059015|SP351[SS1-SS7]|7||0
RJ|CABO FRIO|CBL0000000047059020|SP351[SS1-SS6]|6||0
RJ|CABO FRIO|CBL0000000047059025|SP351[SS1-SS5]|5||0
RJ|CABO FRIO|CBL0000000047059030|SP351[SS1-SS4]|4||0
RJ|CABO FRIO|CBL0000000047059035|SP351[SS1-SS3]|3||0
RJ|CABO FRIO|CBL0000000047059040|SP351[SS1-SS2]|2||0
RJ|CABO FRIO|CBL0000000047059045|SP248[SS1-SS8]|8||0
RJ|CABO FRIO|CBL0000000047059050|SP248[SS1-SS7]|7||0
RJ|CABO FRIO|CBL0000000047059055|SP248[SS1-SS6]|6||0
RJ|CABO FRIO|CBL0000000047059060|SP248[SS1-SS5]|5||0
RJ|CABO FRIO|CBL0000000047059065|SP248[SS1-SS4]|4||0
RJ|CABO FRIO|CBL0000000047059070|SP248[SS1-SS3]|3||0
RJ|CABO FRIO|CBL0000000047059075|SP248[SS1-SS2]|2||0
RJ|CABO FRIO|CBL0000000047059080|SP248[SS1]|1||0
RJ|CABO FRIO|CBL0000000047059085|SP93[SS1-SS8]|8||0
RJ|CABO FRIO|CBL0000000047059090|SP93[SS1-SS7]|7||0
RJ|CABO FRIO|CBL0000000047059095|SP93[SS1-SS6]|6||0
RJ|CABO FRIO|CBL0000000047059100|SP93[SS1-SS5]|5||0
RJ|CABO FRIO|CBL0000000047059105|SP249[SS3-SS8]|6||0
RJ|CABO FRIO|CBL0000000047059110|SP93[SS1-SS4]|4||0
RJ|CABO FRIO|CBL0000000047059115|SP93[SS1-SS3]|3||0
RJ|CABO FRIO|CBL0000000047059120|SP93[SS1-SS2]|2||0
RJ|CABO FRIO|CBL0000000047059125|SP249[SS3-SS7]|5||0
