UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023012788|I03G0917|1|CBL0000000047071547|71817_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|24.87|CAIXA DE EMENDA GENERICA 1600|EQP0000000023035559|I03G0920|EQP0000000023035027|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023012788|I03G0917|2|CBL0000000047071552|71818_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|21.78|I03G0920|EQP0000000023035027|I03G0919|EQP0000000023035026|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023012788|I03G0917|3|CBL0000000047071557|71819_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|86.58|I03G0919|EQP0000000023035026|I03G0918|EQP0000000023015385|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023012788|I03G0917|4|CBL0000000047071562|71820_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|20.08|I03G0918|EQP0000000023015385|I03G0917|EQP0000000023012788|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023015384|I03G0903|1|CBL0000000047071427|71793_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|157.18|CAIXA DE EMENDA GENERICA 1600|EQP0000000023035559|I03G0904|EQP0000000023035017|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023015384|I03G0903|2|CBL0000000047071432|71794_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|40.0|I03G0904|EQP0000000023035017|I03G0903|EQP0000000023015384|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023015385|I03G0918|1|CBL0000000047071547|71817_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|24.87|CAIXA DE EMENDA GENERICA 1600|EQP0000000023035559|I03G0920|EQP0000000023035027|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023015385|I03G0918|2|CBL0000000047071552|71818_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|21.78|I03G0920|EQP0000000023035027|I03G0919|EQP0000000023035026|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023015385|I03G0918|3|CBL0000000047071557|71819_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|86.58|I03G0919|EQP0000000023035026|I03G0918|EQP0000000023015385|1
RJ|CABO FRIO|RJCBF_G1I03|TR 1|Secundario|LOC0000000022798704|371966|EQP0000000023035559|CAIXA DE EMENDA GENERICA 1600|EQP0000000023019037|I03G0908|1|CBL0000000047071472|71802_CFOA 1FO 5MM|CFOA 1FO 5MM-8|8|Cordoalha|3.27|CAIXA DE EMENDA GENERICA 1600|EQP0000000023035559|I03G0912|EQP0000000023035021|1
