UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000073825123;M01G02719;CTO - OPTAP-B 90/10;RJCBF_G1M01;RUA JEQUITIBA CABO FRIO PORTINHO 28915620 RJ SN;CABO FRIO;-22.875011900;-42.034864900;G0;RJCBF-M01SP340;RJCBF-M01SP340-SS7;CBF_M01_2_GPON_VLAN_106_107_108_109_110-CBO;1/1/11/3
EQP0000000073826275;M01G02715;CTO - OPTAP-B 70/30;RJCBF_G1M01;RUA QUARESMEIRA CABO FRIO PORTINHO 28915630 RJ SN;CABO FRIO;-22.876323400;-42.030949400;G0;RJCBF-M01SP340;RJCBF-M01SP340-SS3;CBF_M01_2_GPON_VLAN_106_107_108_109_110-CBO;1/1/11/3
EQP0000000073818773;M01G02711;CTO - OPTAP-B 90/10;RJCBF_G1M01;RUA ARAGUAIA CABO FRIO JARDIM EXCELSIOR 28915080 RJ 105;CABO FRIO;-22.877856300;-42.036139700;G0;RJCBF-M01SP339;RJCBF-M01SP339-SS7;CBF_M01_2_GPON_VLAN_106_107_108_109_110-CBO;1/1/11/2
EQP0000000073835927;M01G02429;CTO - OPTAP-B 85/15;RJCBF_G1M01;RUA ACRE CABO FRIO PRAIA DO SIQUEIRA 28911300 RJ 291;CABO FRIO;-22.871355400;-42.049968800;G0;RJCBF-M01SP304;RJCBF-M01SP304-SS5;BR-RJCBF01-OLT01-HW;1/1/3/8
EQP0000000023034991;M01GPC829;TO;RJCBF_G1M01;RUA CRAVOS CABO FRIO ALGODOAL 28908280 RJ 19;CABO FRIO;-22.891476500;-42.027259700;GP;RJCBF-M01SP104;RJCBF-M01SP104-SS5;CBF_M01_2_GPON_VLAN_106_107_108_109_110-CBO;1/1/5/13
EQP0000000073834824;M01G02541;CTO - OPTAP-B 85/15;RJCBF_G1M01;RUA OLINDA CABO FRIO PALMEIRAS 28911240 RJ 73;CABO FRIO;-22.876393500;-42.044941000;G0;RJCBF-M01SP318;RJCBF-M01SP318-SS5;BR-RJCBF01-OLT01-HW;1/1/4/2
EQP0000000073836374;M01GPT2428;CTO - OPTAP-B 80/20;RJCBF_G1M01;AVENIDA AMERICA CENTRAL CABO FRIO PRAIA DO SIQUEIRA 28911060 RJ 1999;CABO FRIO;-22.870060900;-42.051898600;GPT;RJCBF-M01SP304;RJCBF-M01SP304-SS4;BR-RJCBF01-OLT01-HW;1/1/3/8
EQP0000000073730027;M01G03040;CTO - OPTAP-B 90/10;RJCBF_G1M01;RUA MAESTRO CLODOMIRO GUIMARAES OLIVEIRA CABO FRIO PASSAGEM 28905165 RJ 83;CABO FRIO;-22.877202000;-42.009454200;G0;RJCBF-M01SP380;RJCBF-M01SP380-SS8;BR-RJCBF01-OLT01-HW;1/1/6/14
EQP0000000102905118;M01G0066;CTO - OPTAP-B 60/40;RJCBF_G1M01;RODOVIA GENERAL BRUNO MARTINS CABO FRIO BRAGA 28908140 RJ SN;CABO FRIO;-22.928132500;-42.040672200;G0;RJCBF-M01SP9;RJCBF-M01SP9-SS2;CBF_M01_2_GPON_VLAN_106_107_108_109_110-CBO;1/1/1/4
EQP0000000023037046;M01GPC224;TO;RJCBF_G1M01;RUA JOSE MARIA GIL CABO FRIO BRAGA 28908190 RJ 35;CABO FRIO;-22.897218800;-42.036440200;GP;RJCBF-M01SP28;RJCBF-M01SP28-SS8;CBF_M01_2_GPON_VLAN_106_107_108_109_110-CBO;1/1/2/3
