UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000101674312|OK|SP19|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000116353243|OK|SP19|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000116361744|OK|SP19|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000116361973|OK|SP19|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000116363959|OK|SP19|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000163556192|OK|SP19|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195898|OK|SP1-SP18|18||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195908|OK|SP9-SP13|5||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195913|OK|SP9-SP12|4||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195918|OK|SP13|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195923|OK|SP11-SP12|2||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195928|OK|SP12|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195933|OK|SP12|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195938|OK|SP12|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195943|OK|SP9-SP11|3||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195948|OK|SP12|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195953|OK|SP9|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195958|OK|SP10|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195968|OK|SP9|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195978|OK|SP10-SP11|2||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195983|OK|SP11|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195988|OK|SP11|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175195998|OK|SP10|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196003|OK|SP10|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196008|OK|SP10|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196013|OK|SP10|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196118|OK|SP13-SP15|3||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196123|OK|SP15|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196128|OK|SP13-SP14|2||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196133|OK|SP15|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196138|OK|SP13-SP14|2||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196143|OK|SP14|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196148|OK|SP13-SP14|2||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196153|OK|SP13|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196158|OK|SP14|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196163|OK|SP13|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196168|OK|SP13|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196173|OK|SP15-SP18|4||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196178|OK|SP18|1||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196183|OK|SP15-SP17|3||0
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1A01|TR 1|CBL0000000175196188|OK|SP15-SP17|3||0
