UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700758|I02G0208|1|CBL0000000175219732|250623_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|31.15|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700752|I02G0208|EQP0000000088700758|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700759|I02G0207|1|CBL0000000175198443|250624_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|31.15|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3430|EQP0000000088700753|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700759|I02G0207|2|CBL0000000175198448|250626_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|51.55|CAIXA DE EMENDA GENERICA 3430|EQP0000000088700753|I02G0207|EQP0000000088700759|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700760|I02G0205|1|CBL0000000175198443|250624_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|31.15|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3430|EQP0000000088700753|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700760|I02G0205|2|CBL0000000175219602|250625_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|51.55|CAIXA DE EMENDA GENERICA 3430|EQP0000000088700753|CAIXA DE EMENDA GENERICA 3431|EQP0000000088700754|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700760|I02G0205|3|CBL0000000175223077|250627_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|97.56|CAIXA DE EMENDA GENERICA 3431|EQP0000000088700754|CAIXA DE EMENDA GENERICA 3432|EQP0000000088700755|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700760|I02G0205|4|CBL0000000175221552|250629_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|96.71|CAIXA DE EMENDA GENERICA 3432|EQP0000000088700755|I02G0205|EQP0000000088700760|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700761|I02G0204|1|CBL0000000175198443|250624_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|31.15|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3430|EQP0000000088700753|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700761|I02G0204|2|CBL0000000175219602|250625_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|51.55|CAIXA DE EMENDA GENERICA 3430|EQP0000000088700753|CAIXA DE EMENDA GENERICA 3431|EQP0000000088700754|1
ES|CACHOEIRO DE ITAPEMIRIM|ESCIM_G1I02|TR 1|Secundario|LOC0000000088603613|1024733|EQP0000000088700752|CAIXA DE EMENDA GENERICA 3429|EQP0000000088700761|I02G0204|3|CBL0000000175223077|250627_CFO CBLI 1F 5MM|CFO CBLI 1F 5MM-8|8|Cordoalha|97.56|CAIXA DE EMENDA GENERICA 3431|EQP0000000088700754|CAIXA DE EMENDA GENERICA 3432|EQP0000000088700755|1
