UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000088704093;A01G0044;CTO 16 FO;ESCIM_G1A01;RUA JOSE VIEIRA DE ABREU FILHO CACHOEIRO DE ITAPEMIRIM AEROPORTO 29314105 ES SN;CACHOEIRO DE ITAPEMIRIM;-20.829633500;-41.180253000;G0;ESCIM-A01SP11;ESCIM-A01SP11-SS4
EQP0000000088704069;A01G0030;CTO 16 FO;ESCIM_G1A01;RUA JOSE BARBOSA DE SA CACHOEIRO DE ITAPEMIRIM AEROPORTO 29314133 ES 1;CACHOEIRO DE ITAPEMIRIM;-20.831939600;-41.176880300;G0;ESCIM-A01SP8;ESCIM-A01SP8-SS2
EQP0000000088701330;A01G0311;CTO 16 FO;ESCIM_G1A01;RUA JOSE MARINHO MACHADO COELHO CACHOEIRO DE ITAPEMIRIM RUI PINTO BANDEIRA 29315815 ES 21;CACHOEIRO DE ITAPEMIRIM;-20.839886000;-41.181075700;G0;ESCIM-A01SP78;ESCIM-A01SP78-SS3
EQP0000000088704609;A02G0356;CTO 16 FO;ESCIM_G1A02;RUA PAULO AFONSO CACHOEIRO DE ITAPEMIRIM ALTO MONTE CRISTO 29312503 ES 7;CACHOEIRO DE ITAPEMIRIM;-20.849723400;-41.149317200;G0;ESCIM-A02SP89;ESCIM-A02SP89-SS4
EQP0000000088700671;A02G0032;CTO 16 FO;ESCIM_G1A02;RUA AMELIA DE SOUZA BRAGA CACHOEIRO DE ITAPEMIRIM MARBRASA 29313658 ES 3;CACHOEIRO DE ITAPEMIRIM;-20.841162000;-41.162242900;G0;ESCIM-A02SP8;ESCIM-A02SP8-SS4
EQP0000000088701510;A02G0209;CTO 16 FO;ESCIM_G1A02;RUA JOAO FORTUNATO CANHOLATO CACHOEIRO DE ITAPEMIRIM MONTE CRISTO 29312052 ES 11;CACHOEIRO DE ITAPEMIRIM;-20.846591400;-41.155173500;G0;ESCIM-A02SP53;ESCIM-A02SP53-SS1
EQP0000000106398986;A06G0502;CTO - OPTAP-B 60/40;ESCIM_G1A06;RUA RUBEM MOURA CACHOEIRO DE ITAPEMIRIM ABELARDO FERREIRA MACHADO 29309245 ES 10;CACHOEIRO DE ITAPEMIRIM;-20.839114200;-41.111220000;G0;ESCIM-A06SP126;ESCIM-A06SP126-SS2
EQP0000000106392466;A06G0362;CTO - OPTAP-B 60/40;ESCIM_G1A06;RUA JOSINO AUGUSTO DE BRITTO CACHOEIRO DE ITAPEMIRIM FE E RACA 29308705 ES 10;CACHOEIRO DE ITAPEMIRIM;-20.832632800;-41.114992100;G0;ESCIM-A06SP91;ESCIM-A06SP91-SS2
EQP0000000088704607;A02G0332;CTO 16 FO;ESCIM_G1A02;RUA ARYO SARDENBERG CACHOEIRO DE ITAPEMIRIM MONTE CRISTO 29312090 ES 16;CACHOEIRO DE ITAPEMIRIM;-20.853235500;-41.153235600;G0;ESCIM-A02SP83;ESCIM-A02SP83-SS4
EQP0000000088701138;A02G0341;CTO 16 FO;ESCIM_G1A02;RUA MIRELLA NOLASCO BRAGA CACHOEIRO DE ITAPEMIRIM ALTO MONTE CRISTO 29312538 ES 4;CACHOEIRO DE ITAPEMIRIM;-20.852045600;-41.152282600;G0;ESCIM-A02SP86;ESCIM-A02SP86-SS1
