UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000091191893|SP72[SS6-SS7]|2||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000091191906|SP72[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000161342517|SP57[SS3]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195713|SP5[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195723|SP5[SS5]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195728|SP4[SS4-SS7]|4||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195733|SP4[SS4-SS6]|3||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195738|SP4[SS7]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195743|SP4[SS4-SS5]|2||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195748|SP4[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195753|SP4[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175195763|SP4[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196218|SP96[SS4-SS7]|4||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196223|SP96[SS8]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196228|SP96[SS4-SS6]|3||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196233|SP96[SS7]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196238|SP96[SS4-SS5]|2||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196243|SP96[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196248|SP96[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196253|SP96[SS5]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196263|SP96[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196268|SP95[SS3-SS6]|4||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196273|SP95[SS7]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196278|SP95[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196283|SP95[SS3-SS4]|2||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196288|SP95[SS5]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196293|SP95[SS3]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196298|SP95[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196308|SP94[SS2-SS7]|6||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196313|SP94[SS2-SS6]|5||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196318|SP94[SS7]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196323|SP94[SS2-SS5]|4||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196328|SP94[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196333|SP94[SS5]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196338|SP94[SS2-SS3]|2||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196343|SP94[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196348|SP94[SS2]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196353|SP94[SS3]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196363|SP94[SS2]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196368|SP93[SS3-SS7]|5||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196373|SP93[SS8]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196378|SP93[SS3-SS6]|4||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196383|SP93[SS7]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196388|SP93[SS3-SS5]|3||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196393|SP93[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196398|SP93[SS5]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196403|SP93[SS3-SS4]|2||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196408|SP93[SS3]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196413|SP93[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196423|SP92[SS1-SS7]|7||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196428|SP92[SS8]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196433|SP92[SS1-SS6]|6||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196438|SP92[SS7]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196443|SP92[SS6]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196448|SP92[SS1-SS3]|3||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196453|SP92[SS4]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196458|SP92[SS1-SS2]|2||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196463|SP92[SS3]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196468|SP92[SS1]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196473|SP92[SS2]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196478|SP92[SS1]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196483|SP91[SS1-SS7]|7||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196488|SP91[SS8]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196493|SP91[SS1-SS6]|6||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196498|SP91[SS7]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196503|SP91[SS1-SS5]|5||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196508|SP91[SS1-SS4]|4||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196513|SP91[SS5]|1||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196518|SP91[SS1-SS3]|3||0
ES|CACHOEIRO DE ITAPEMIRIM|CBL0000000175196523|SP91[SS4]|1||0
