UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287506|OK|SP1-SP55|55||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287596|OK|SP1-SP35|35||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287601|OK|SP36-SP53|18||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287606|OK|SP48-SP50|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287611|OK|SP36-SP43|8||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287616|OK|SP44-SP47|4||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287621|OK|SP44-SP45|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287626|OK|SP16-SP28|13||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287631|OK|SP16-SP17|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287636|OK|SP18-SP19|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287641|OK|SP1-SP13|13||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287646|OK|SP1-SP11|11||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287651|OK|SP1-SP8|8||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004287656|OK|SP1-SP5|5||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004300541|OK|SP1-SP55|55||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301571|OK|SP16-SP35|20||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301576|OK|SP1-SP15|15||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301581|OK|SP36-SP38|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301586|OK|SP36-SP41|6||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301591|OK|SP46-SP47|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301596|OK|SP23-SP25|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301601|OK|SP16-SP31|16||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301606|OK|SP20-SP22|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301611|OK|SP16-SP22|7||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301616|OK|SP12-SP13|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301621|OK|SP32|1||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|CBL0000000004301626|OK|SP1-SP2|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287546|OK|SP145-SP200|56||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287551|OK|SP145-SP197|53||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287556|OK|SP189-SP191|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287561|OK|SP145-SP188|44||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287566|OK|SP181-SP183|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287571|OK|SP145-SP177|33||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287576|OK|SP170-SP172|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287581|OK|SP164-SP166|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287586|OK|SP158-SP160|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287591|OK|SP145-SP154|10||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287786|OK|SP147-SP148|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004287791|OK|SP145-SP151|7||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004300506|OK|SP145-SP203|59||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004300546|OK|SP189-SP195|7||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004300551|OK|SP189-SP193|5||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004300556|OK|SP181-SP185|5||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004300561|OK|SP145-SP180|36||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004301551|OK|SP155-SP174|20||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004301556|OK|SP155-SP169|15||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004301561|OK|SP155-SP163|9||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004301566|OK|SP155-SP157|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004301696|OK|SP145-SP146|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 2|CBL0000000004301701|OK|SP145-SP203|59||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287661|OK|SP289-SP343|55||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287666|OK|SP289-SP339|51||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287671|OK|SP289-SP335|47||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287676|OK|SP323-SP325|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287681|OK|SP328-SP330|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287686|OK|SP289-SP320|32||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287691|OK|SP315-SP317|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287696|OK|SP312-SP314|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287701|OK|SP304-SP311|8||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287706|OK|SP304-SP308|5||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287711|OK|SP304-SP305|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287716|OK|SP289-SP290|2||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287721|OK|SP291-SP293|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287726|OK|SP289-SP295|7||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287731|OK|SP289-SP303|15||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287736|OK|SP299-SP301|3||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004287741|OK|SP289-SP298|10||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004300501|OK|SP289-SP343|55||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004301631|OK|SP289-SP341|53||0
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 3|CBL0000000004301636|OK|SP336-SP337|2||0
