UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|CAPAO DA CANOA|CBL0000000004285201|SP36[SS1-SS5]|5||0
RS|CAPAO DA CANOA|CBL0000000004285206|SP36[SS1-SS4]|4||0
RS|CAPAO DA CANOA|CBL0000000004285211|SP35[SS6]|1||0
RS|CAPAO DA CANOA|CBL0000000004285216|SP34[SS1-SS5]|5||0
RS|CAPAO DA CANOA|CBL0000000004285221|SP34[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285226|SP34[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285231|SP34[SS1-SS3]|3||0
RS|CAPAO DA CANOA|CBL0000000004285236|SP34[SS1-SS8];SP35[SS1-SS5]|13||0
RS|CAPAO DA CANOA|CBL0000000004285241|SP34[SS6]|1||0
RS|CAPAO DA CANOA|CBL0000000004285246|SP36[SS8];SP37[SS1-SS6]|7||0
RS|CAPAO DA CANOA|CBL0000000004285251|SP38[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285256|SP36[SS8];SP37[SS1-SS4]|5||0
RS|CAPAO DA CANOA|CBL0000000004285261|SP39[SS5;SS7]|2||0
RS|CAPAO DA CANOA|CBL0000000004285266|SP31[SS5]|1||0
RS|CAPAO DA CANOA|CBL0000000004285271|SP38[SS1-SS4]|4||0
RS|CAPAO DA CANOA|CBL0000000004285276|SP45[SS1-SS3;SS5]|4||0
RS|CAPAO DA CANOA|CBL0000000004285281|SP45[SS7]|1||0
RS|CAPAO DA CANOA|CBL0000000004285286|SP28[SS1-SS8];SP29[SS1-SS5]|13||0
RS|CAPAO DA CANOA|CBL0000000004285291|SP28[SS6-SS8];SP29[SS1]|4||0
RS|CAPAO DA CANOA|CBL0000000004285296|SP28[SS6]|1||0
RS|CAPAO DA CANOA|CBL0000000004285301|SP28[SS1-SS8];SP29[SS1-SS3]|11||0
RS|CAPAO DA CANOA|CBL0000000004285306|SP20[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285311|SP40[SS1-SS7]|7||0
RS|CAPAO DA CANOA|CBL0000000004285316|SP26[SS6]|1||0
RS|CAPAO DA CANOA|CBL0000000004285321|SP14[SS6-SS7]|2||0
RS|CAPAO DA CANOA|CBL0000000004285326|SP20[SS1-SS6]|6||0
RS|CAPAO DA CANOA|CBL0000000004285331|SP23[SS3]|1||0
RS|CAPAO DA CANOA|CBL0000000004285336|SP40[SS1-SS8]|8||0
RS|CAPAO DA CANOA|CBL0000000004285341|SP28[SS1-SS3]|3||0
RS|CAPAO DA CANOA|CBL0000000004285346|SP42[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285351|SP42[SS4];SP43[SS7]|2||0
RS|CAPAO DA CANOA|CBL0000000004285356|SP47[SS1-SS8];SP48[SS1-SS3]|11||0
RS|CAPAO DA CANOA|CBL0000000004285361|SP47[SS1-SS6]|6||0
RS|CAPAO DA CANOA|CBL0000000004285366|SP20[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285371|SP20[SS1-SS4]|4||0
RS|CAPAO DA CANOA|CBL0000000004285376|SP46[SS3]|1||0
RS|CAPAO DA CANOA|CBL0000000004285381|SP23[SS3-SS5]|3||0
RS|CAPAO DA CANOA|CBL0000000004285386|SP47[SS1-SS5]|5||0
RS|CAPAO DA CANOA|CBL0000000004285391|SP47[SS1-SS4]|4||0
RS|CAPAO DA CANOA|CBL0000000004285396|SP47[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285401|SP44[SS2]|1||0
RS|CAPAO DA CANOA|CBL0000000004285406|SP30[SS3]|1||0
RS|CAPAO DA CANOA|CBL0000000004285411|SP47[SS1-SS8];SP48[SS1]|9||0
RS|CAPAO DA CANOA|CBL0000000004285416|SP47[SS1-SS7]|7||0
RS|CAPAO DA CANOA|CBL0000000004285421|SP30[SS6]|1||0
RS|CAPAO DA CANOA|CBL0000000004285426|SP30[SS6-SS7]|2||0
RS|CAPAO DA CANOA|CBL0000000004285431|SP26[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285436|SP16[SS2]|1||0
RS|CAPAO DA CANOA|CBL0000000004285441|SP6[SS1-SS8];SP7[SS1-SS2]|10||0
RS|CAPAO DA CANOA|CBL0000000004285446|SP6[SS5-SS6]|2||0
RS|CAPAO DA CANOA|CBL0000000004285451|SP8[SS1-SS3]|3||0
RS|CAPAO DA CANOA|CBL0000000004285456|SP6[SS3]|1||0
RS|CAPAO DA CANOA|CBL0000000004285461|SP6[SS1-SS8]|8||0
RS|CAPAO DA CANOA|CBL0000000004285466|SP8[SS1-SS8]|8||0
RS|CAPAO DA CANOA|CBL0000000004285471|SP11[SS2]|1||0
RS|CAPAO DA CANOA|CBL0000000004285476|SP11[SS2-SS3]|2||0
RS|CAPAO DA CANOA|CBL0000000004285481|SP6[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285486|SP8[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285491|SP8[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285496|SP6[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285501|SP6[SS5]|1||0
RS|CAPAO DA CANOA|CBL0000000004285506|SP19[SS5]|1||0
RS|CAPAO DA CANOA|CBL0000000004285511|SP20[SS8];SP21[SS1-SS4]|5||0
RS|CAPAO DA CANOA|CBL0000000004285516|SP27[SS5-SS6]|2||0
RS|CAPAO DA CANOA|CBL0000000004285521|SP23[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285526|SP163[SS3]|1||0
RS|CAPAO DA CANOA|CBL0000000004285531|SP163[SS7-SS8]|2||0
RS|CAPAO DA CANOA|CBL0000000004285536|SP65[SS5]|1||0
RS|CAPAO DA CANOA|CBL0000000004285541|SP27[SS5]|1||0
RS|CAPAO DA CANOA|CBL0000000004285546|SP168[SS2-SS3]|2||0
RS|CAPAO DA CANOA|CBL0000000004285551|SP167[SS1-SS8];SP168[SS1-SS5]|13||0
RS|CAPAO DA CANOA|CBL0000000004285556|SP64[SS3-SS6]|4||0
RS|CAPAO DA CANOA|CBL0000000004285561|SP65[SS1;SS3-SS4]|3||0
RS|CAPAO DA CANOA|CBL0000000004285566|SP165[SS1-SS7]|7||0
RS|CAPAO DA CANOA|CBL0000000004285571|SP66[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285576|SP64[SS3-SS5]|3||0
RS|CAPAO DA CANOA|CBL0000000004285581|SP147[SS1-SS5]|5||0
RS|CAPAO DA CANOA|CBL0000000004285586|SP8[SS4-SS7]|4||0
RS|CAPAO DA CANOA|CBL0000000004285591|SP7[SS7]|1||0
RS|CAPAO DA CANOA|CBL0000000004285596|SP19[SS3-SS7]|5||0
RS|CAPAO DA CANOA|CBL0000000004285601|SP7[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285606|SP19[SS3]|1||0
RS|CAPAO DA CANOA|CBL0000000004285611|SP20[SS8];SP21[SS1-SS5]|6||0
RS|CAPAO DA CANOA|CBL0000000004285616|SP27[SS2-SS3]|2||0
RS|CAPAO DA CANOA|CBL0000000004285621|SP65[SS1;SS3]|2||0
RS|CAPAO DA CANOA|CBL0000000004285626|SP8[SS4]|1||0
RS|CAPAO DA CANOA|CBL0000000004285631|SP22[SS1-SS2]|2||0
RS|CAPAO DA CANOA|CBL0000000004285636|SP20[SS8];SP21[SS1-SS2]|3||0
RS|CAPAO DA CANOA|CBL0000000004285641|SP22[SS4]|1||0
RS|CAPAO DA CANOA|CBL0000000004285646|SP20[SS8]|1||0
RS|CAPAO DA CANOA|CBL0000000004285651|SP146[SS1-SS4]|4||0
RS|CAPAO DA CANOA|CBL0000000004285656|SP18[SS5]|1||0
RS|CAPAO DA CANOA|CBL0000000004285661|SP24[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285666|SP148[SS6]|1||0
RS|CAPAO DA CANOA|CBL0000000004285671|SP145[SS1-SS4]|4||0
RS|CAPAO DA CANOA|CBL0000000004285676|SP148[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004285681|SP148[SS6-SS7]|2||0
RS|CAPAO DA CANOA|CBL0000000004285686|SP18[SS1]|1||0
RS|CAPAO DA CANOA|CBL0000000004287796|SP495[SS2;SS4-SS5]|3||0
RS|CAPAO DA CANOA|CBL0000000004287801|SP1[SS1-SS5];SP2[SS6-SS8]|8||0
RS|CAPAO DA CANOA|CBL0000000004287806|SP173[SS3-SS6;SS8];SP174[SS1-SS3;SS6-SS8]|11||0
RS|CAPAO DA CANOA|CBL0000000004287816|SP173[SS6;SS8];SP174[SS1-SS2]|4||0
RS|CAPAO DA CANOA|CBL0000000004287821|SP3[SS3;SS5];SP4[SS1;SS3-SS8];SP5[SS1;SS6-SS8]|13||0
RS|CAPAO DA CANOA|CBL0000000004287826|SP3[SS3;SS5];SP4[SS1;SS3-SS7]|8||0
RS|CAPAO DA CANOA|CBL0000000004287831|SP6[SS4;SS6-SS7];SP7[SS1-SS6;SS8];SP8[SS2;SS4-SS5]|13||0
RS|CAPAO DA CANOA|CBL0000000004287836|SP491[SS1;SS4-SS6;SS8]|5||0
RS|CAPAO DA CANOA|CBL0000000004287841|SP172[SS1;SS3-SS7]|6||0
RS|CAPAO DA CANOA|CBL0000000004287846|SP492[SS1-SS8]|8||0
RS|CAPAO DA CANOA|CBL0000000004287851|SP9[SS2-SS4;SS8];SP10[SS2-SS3;SS6];SP11[SS3-SS4]|9||0
RS|CAPAO DA CANOA|CBL0000000004287856|SP9[SS2-SS4;SS8];SP10[SS2-SS3]|6||0
RS|CAPAO DA CANOA|CBL0000000004287861|SP481[SS3-SS8];SP482[SS1-SS2;SS5-SS8]|12||0
RS|CAPAO DA CANOA|CBL0000000004287866|SP14[SS2-SS3];SP15[SS1;SS6-SS7]|5||0
RS|CAPAO DA CANOA|CBL0000000004287871|SP15[SS7]|1||0
RS|CAPAO DA CANOA|CBL0000000004287876|SP14[SS2-SS3];SP15[SS1;SS6]|4||0
RS|CAPAO DA CANOA|CBL0000000004287881|SP167[SS1-SS8];SP168[SS1-SS4;SS7]|13||0
RS|CAPAO DA CANOA|CBL0000000004287886|SP478[SS4-SS8];SP479[SS1-SS4]|9||0
RS|CAPAO DA CANOA|CBL0000000004287891|SP16[SS1-SS6]|6||0
RS|CAPAO DA CANOA|CBL0000000004287946|SP18[SS5;SS7];SP19[SS4;SS6]|4||0
RS|CAPAO DA CANOA|CBL0000000004287971|SP164[SS1;SS3-SS5];SP165[SS1-SS8]|12||0
RS|CAPAO DA CANOA|CBL0000000004287976|SP166[SS2-SS8]|7||0
RS|CAPAO DA CANOA|CBL0000000004287986|SP474[SS1-SS6;SS8];SP475[SS1-SS5;SS7]|13||0
RS|CAPAO DA CANOA|CBL0000000004287991|SP470[SS8];SP471[SS1-SS2;SS5]|4||0
RS|CAPAO DA CANOA|CBL0000000004287996|SP469[SS1-SS2;SS4-SS8];SP470[SS1;SS3-SS6]|12||0
RS|CAPAO DA CANOA|CBL0000000004288001|SP467[SS1-SS3;SS5;SS7-SS8];SP468[SS2-SS3]|8||0
RS|CAPAO DA CANOA|CBL0000000004288016|SP472[SS3;SS5-SS7];SP473[SS3;SS5;SS7-SS8]|8||0
RS|CAPAO DA CANOA|CBL0000000004288051|SP20[SS1-SS4;SS6-SS7]|6||0
RS|CAPAO DA CANOA|CBL0000000004288086|SP321[SS1-SS6;SS8];SP322[SS1;SS4;SS7-SS8]|11||0
RS|CAPAO DA CANOA|CBL0000000004288091|SP324[SS7];SP325[SS1-SS3]|4||0
RS|CAPAO DA CANOA|CBL0000000004288096|SP323[SS1-SS5;SS7-SS8];SP324[SS1-SS2]|9||0
RS|CAPAO DA CANOA|CBL0000000004288101|SP463[SS1;SS3-SS6];SP464[SS1;SS3-SS4]|8||0
RS|CAPAO DA CANOA|CBL0000000004288106|SP26[SS5];SP27[SS1;SS4-SS8]|7||0
RS|CAPAO DA CANOA|CBL0000000004288111|SP323[SS1-SS5;SS7-SS8]|7||0
RS|CAPAO DA CANOA|CBL0000000004288116|SP161[SS1-SS6;SS8];SP162[SS3-SS4]|9||0
RS|CAPAO DA CANOA|CBL0000000004288121|SP461[SS1-SS7];SP462[SS2]|8||0
