UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000002999999|247054|EQP0000000003094596|CAIXA DE EMENDA GENERICA 36|EQP0000000112092978|M01GP101|1|CBL0000000112093268|FB-SP13FGPONM01GP101|DROP 12F 5MM-12|12|Cordoalha;Em fachada|93.35|CAIXA DE EMENDA GENERICA 36|EQP0000000003094596|M01GP101|EQP0000000112092978|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000002999999|247054|EQP0000000003094596|CAIXA DE EMENDA GENERICA 36|EQP0000000112093005|M01GP102|1|CBL0000000112093268|FB-SP13FGPONM01GP101|DROP 12F 5MM-12|12|Cordoalha;Em fachada|93.35|CAIXA DE EMENDA GENERICA 36|EQP0000000003094596|M01GP101|EQP0000000112092978|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000002999999|247054|EQP0000000003094596|CAIXA DE EMENDA GENERICA 36|EQP0000000112093032|M01GP103|1|CBL0000000112093268|FB-SP13FGPONM01GP101|DROP 12F 5MM-12|12|Cordoalha;Em fachada|93.35|CAIXA DE EMENDA GENERICA 36|EQP0000000003094596|M01GP101|EQP0000000112092978|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000002999999|247054|EQP0000000003094596|CAIXA DE EMENDA GENERICA 36|EQP0000000112093060|M01GP104|1|CBL0000000112093268|FB-SP13FGPONM01GP101|DROP 12F 5MM-12|12|Cordoalha;Em fachada|93.35|CAIXA DE EMENDA GENERICA 36|EQP0000000003094596|M01GP101|EQP0000000112092978|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000016393355|M01GP256|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000063800037|M01GP255|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000063800132|M01GP254|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000063800351|M01GP253|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000063822570|M01GP252|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000063822730|M01GP251|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000063823000|M01GP250|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003001719|247074|EQP0000000003099257|CAIXA DE EMENDA GENERICA 126|EQP0000000063823286|M01GP249|1|CBL0000000016393554|FB-SP32FGPONM01GP256|DROP 12F 5MM-12|12|Em fachada|8.43|CAIXA DE EMENDA GENERICA 126|EQP0000000003099257|M01GP256|EQP0000000016393355|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000003096064|M01GP122|1|CBL0000000004301786|1335_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos|6.37|CAIXA DE EMENDA GENERICA 47|EQP0000000003099253|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000003096064|M01GP122|2|CBL0000000004287891|1336_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|116.46|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|CAIXA DE EMENDA GENERICA 50|EQP0000000003094610|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000003096064|M01GP122|3|CBL0000000004290521|RSKDK-M01-SP16F1M01GP122|CFOA-SM-AS-80G-12|12|Cordoalha;Em fachada|112.63|CAIXA DE EMENDA GENERICA 50|EQP0000000003094610|M01GP122|EQP0000000003096064|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000009901684|M01GPF127|1|CBL0000000004301786|1335_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos|6.37|CAIXA DE EMENDA GENERICA 47|EQP0000000003099253|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000009901684|M01GPF127|2|CBL0000000009902126|RSKDK-M01-SP16F1M01GPF127|CFOA-SM-AS-80G-12|12|Cordoalha;Em fachada|109.65|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|M01GPF127|EQP0000000009901684|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000009904217|M01GPF130|1|CBL0000000004301786|1335_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos|6.37|CAIXA DE EMENDA GENERICA 47|EQP0000000003099253|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000009904217|M01GPF130|2|CBL0000000009904807|RSKDK-M01-SP17F1M01GPF130|CFOA-SM-AS-80G-12|12|Cordoalha;Em fachada|86.77|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|M01GPF130|EQP0000000009904217|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000009905751|M01GPF132|1|CBL0000000004301786|1335_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos|6.37|CAIXA DE EMENDA GENERICA 47|EQP0000000003099253|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000009905751|M01GPF132|2|CBL0000000009906399|RSKDK-M01-SP132F1M01GPF132|CFOA-SM-AS-80G-12|12|Cordoalha;Em fachada|56.46|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|M01GPF132|EQP0000000009905751|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000010118226|M01GPF134|1|CBL0000000004301786|1335_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos|6.37|CAIXA DE EMENDA GENERICA 47|EQP0000000003099253|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000010118226|M01GPF134|2|CBL0000000010118293|RSKDK-M01-SP17F1M01GPF134|CFOA-SM-AS-80G-12|12|Em fachada;Cordoalha|33.36|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|M01GPF134|EQP0000000010118226|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000010118323|M01GPF136|1|CBL0000000004301786|1335_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos|6.37|CAIXA DE EMENDA GENERICA 47|EQP0000000003099253|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000010118323|M01GPF136|2|CBL0000000010118427|RSKDK-M01-SP17F1M01GPF136|CFOA-SM-AS-80G-12|12|Em fachada|14.3|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|M01GPF136|EQP0000000010118323|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000010118898|M01GPF121|1|CBL0000000004301786|1335_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Dutos|6.37|CAIXA DE EMENDA GENERICA 47|EQP0000000003099253|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000010118898|M01GPF121|2|CBL0000000004287891|1336_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|116.46|CAIXA DE EMENDA GENERICA 49|EQP0000000003094609|CAIXA DE EMENDA GENERICA 50|EQP0000000003094610|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000010118898|M01GPF121|3|CBL0000000010119004|RSKDK-M01-SP16F1M01GPF121|CFOA-SM-AS-80G-12|12|Em fachada;Cordoalha|35.94|CAIXA DE EMENDA GENERICA 50|EQP0000000003094610|M01GPF121|EQP0000000010118898|1
RS|CAPAO DA CANOA|RSKDK_G1M01|TR 1|Secundario|LOC0000000003091790|M01-6|EQP0000000003099253|CAIXA DE EMENDA GENERICA 47|EQP0000000037108865|M01GP123|1|CBL0000000037110281|FB-SP16FGPONM01GP123|CFO-SM-AS80-RA-12|12|Em fachada|8.71|CAIXA DE EMENDA GENERICA 50|EQP0000000003094610|M01GP123|EQP0000000037108865|1
