IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000122590062|||||||||||||||EQP0000000122588557|M01GP3656|LOC0000000003090807|MDU|ENCANTADO (ZONA NOVA) 876 8099_TORRE 1|-29.751023900|-50.010672800|EQP0000000122588831|M01GP3657|LOC0000000003090807|MDU|ENCANTADO (ZONA NOVA) 876 8099_TORRE 1|-29.751023900|-50.010672800|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000017538327|||||||||||||||EQP0000000017538196|M01GP1468|LOC0000000003090991|MDU|MOACIR (CENTRO) 2115 399|-29.760837900|-50.017208200|EQP0000000017538261|M01GP1467|LOC0000000003090991|MDU|MOACIR (CENTRO) 2115 399|-29.760837900|-50.017208200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014751686|||||||||||||||EQP0000000003098279|M01GP1559|LOC0000000003090604|MDU|MARANGUAB (CENTRO) 399 1638|-29.759970700|-50.016812600|EQP0000000014751559|M01GP1560|LOC0000000003090604|MDU|MARANGUAB (CENTRO) 399 1638|-29.759970700|-50.016812600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000071824274|||||||||||||||EQP0000000003096641|M01GP3680|LOC0000000003090983|MDU|CENTRAL (ZONA NOVA) 208 9727|-29.751876600|-50.011092000|EQP0000000071823821|M01GP3679|LOC0000000003090983|MDU|CENTRAL (ZONA NOVA) 208 9727|-29.751876600|-50.011092000|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000017375657|||||||||||||||EQP0000000003098294|M01GP3628|LOC0000000003091052|MDU|ENCANTADO (ZONA NOVA) 646 8161|-29.749390300|-50.009802300|EQP0000000017359875|M01GP3629|LOC0000000003091052|MDU|ENCANTADO (ZONA NOVA) 646 8161|-29.749390300|-50.009802300|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000112093269|||||||||||||||EQP0000000112092978|M01GP101|LOC0000000003035904|MDU|MARABA (NAVEGANTES) 3107 467|-29.768726300|-50.022243200|EQP0000000112093005|M01GP102|LOC0000000003035904|MDU|MARABA (NAVEGANTES) 3107 467|-29.768726300|-50.022243200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000017575550|||||||||||||||EQP0000000017575254|M01GP2477|LOC0000000003090636|MDU|SEPE (CENTRO) 1694 202|-29.758165600|-50.014210800|EQP0000000017575295|M01GP2478|LOC0000000003090636|MDU|SEPE (CENTRO) 1694 202|-29.758165600|-50.014210800|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000106742673|||||||||||||||EQP0000000106741903|M01GP316|LOC0000000003089039|MDU|MOEMA 2765 21|-29.767533600|-50.018041400|EQP0000000106742023|M01GP315|LOC0000000003089039|MDU|MOEMA 2765 21|-29.767533600|-50.018041400|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014413340|||||||||||||||EQP0000000014412934|M01GP1216|LOC0000000003090688|MDU|ARARIGBOIA 384 1417|-29.765284000|-50.019921600|EQP0000000014413020|M01GP1217|LOC0000000003090688|MDU|ARARIGBOIA 384 1417|-29.765284000|-50.019921600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000017623757|||||||||||||||EQP0000000017623703|M01GP2383|LOC0000000003091229|MDU|SEPE (CENTRO) 1795 197|-29.758706000|-50.015102600|EQP0000000017623730|M01GP2384|LOC0000000003091229|MDU|SEPE (CENTRO) 1795 197|-29.758706000|-50.015102600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000058617292|||||||||||||||EQP0000000058616879|M01GP3573|LOC0000000003090668|MDU|CENTRAL (ZONA NOVA) 124 9726|-29.752074100|-50.010225200|EQP0000000058616979|M01GP3572|LOC0000000003090668|MDU|CENTRAL (ZONA NOVA) 124 9726|-29.752074100|-50.010225200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000017566453|||||||||||||||EQP0000000017565978|M01GP289|LOC0000000003091053|MDU|GUARACI (NAVEGANTES) 2655 71|-29.766589500|-50.018292600|EQP0000000017566015|M01GP290|LOC0000000003091053|MDU|GUARACI (NAVEGANTES) 2655 71|-29.766589500|-50.018292600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000106749856|||||||||||||||EQP0000000003096702|M01GP3587|LOC0000000003090996|MDU|NEUZA GOULART BRIZOLA (ZONA NOVA) 150 9830|-29.750231000|-50.009135500|EQP0000000106749494|M01GP3586|LOC0000000003090996|MDU|NEUZA GOULART BRIZOLA (ZONA NOVA) 150 9830|-29.750231000|-50.009135500|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000009775786|||||||||||||||EQP0000000009775265|M01GP198|LOC0000000003090989|MDU|SEPE (NAVEGANTES) 3083 276|-29.769017600|-50.020589700|EQP0000000009775292|M01GP199|LOC0000000003090989|MDU|SEPE (NAVEGANTES) 3083 276|-29.769017600|-50.020589700|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000063825115|||||||||||||||EQP0000000063822570|M01GP252|LOC0000000003090614|MDU|MARABA (NAVEGANTES) 3057 466|-29.768494800|-50.022122400|EQP0000000063822730|M01GP251|LOC0000000003090614|MDU|MARABA (NAVEGANTES) 3057 466|-29.768494800|-50.022122400|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000111538122|||||||||||||||EQP0000000111536974|M01GP351|LOC0000000003091261|MDU|SEPE (NAVEGANTES) 2923 267|-29.767817400|-50.019781200|EQP0000000111537348|M01GP350|LOC0000000003091261|MDU|SEPE (NAVEGANTES) 2923 267|-29.767817400|-50.019781200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014534061|||||||||||||||EQP0000000014533438|M01GP237|LOC0000000003090675|MDU|MOACIR (NAVEGANTES) 3047 346|-29.768499100|-50.021313500|EQP0000000014533545|M01GP238|LOC0000000003090675|MDU|MOACIR (NAVEGANTES) 3047 346|-29.768499100|-50.021313500|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014426038|||||||||||||||EQP0000000003096135|M01GP1301|LOC0000000003090802|MDU|GUARACI (CENTRO) 2333 97|-29.763351700|-50.016574900|EQP0000000014425289|M01GP1302|LOC0000000003090802|MDU|GUARACI (CENTRO) 2333 97|-29.763351700|-50.016574900|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000106775414|||||||||||||||EQP0000000003096646|M01GP1527|LOC0000000003091643|MDU|GUARACI (CENTRO) 2077 106|-29.761356300|-50.015508200|EQP0000000106775255|M01GP1526|LOC0000000003091643|MDU|GUARACI (CENTRO) 2077 106|-29.761356300|-50.015508200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000009766939|||||||||||||||EQP0000000009766058|M01GP322|LOC0000000003091223|MDU|TIARAJU (NAVEGANTES) 163 1358|-29.767170700|-50.018955900|EQP0000000009766104|M01GP323|LOC0000000003091223|MDU|TIARAJU (NAVEGANTES) 163 1358|-29.767170700|-50.018955900|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014267887|||||||||||||||EQP0000000014262059|M01GP3475|LOC0000000003090992|MDU|BEIRA MAR (ZONA NOVA) 825 7840|-29.750940100|-50.008659000|EQP0000000014263357|M01GP3473|LOC0000000003090992|MDU|BEIRA MAR (ZONA NOVA) 825 7840|-29.750940100|-50.008659000|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000019268040|||||||||||||||EQP0000000019267591|M01GP369|LOC0000000003090806|MDU|MOACIR (NAVEGANTES) 2930 352|-29.767590400|-50.020200600|EQP0000000019267694|M01GP370|LOC0000000003090806|MDU|MOACIR (NAVEGANTES) 2930 352|-29.767590400|-50.020200600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000111538028|||||||||||||||EQP0000000016531454|M01GP352|LOC0000000003091261|MDU|SEPE (NAVEGANTES) 2923 267|-29.767817400|-50.019781200|EQP0000000111536974|M01GP351|LOC0000000003091261|MDU|SEPE (NAVEGANTES) 2923 267|-29.767817400|-50.019781200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014355092|||||||||||||||EQP0000000014354050|N02GP467|LOC0000000003090697|MDU|PARQUE FLAVIO BOIANOVSKI (CENTRO) 696 1945|-29.754489700|-50.017356000|EQP0000000014354181|N02GP468|LOC0000000003090697|MDU|PARQUE FLAVIO BOIANOVSKI (CENTRO) 696 1945|-29.754489700|-50.017356000|RS|CAPAO DA CANOA|RSKDK_G1N02
CBL0000000193399370|||||||||||||||EQP0000000003099339|N02GP469|LOC0000000003090697|MDU|PARQUE FLAVIO BOIANOVSKI (CENTRO) 696 1945|-29.754489700|-50.017356000|EQP0000000014354181|N02GP468|LOC0000000003090697|MDU|PARQUE FLAVIO BOIANOVSKI (CENTRO) 696 1945|-29.754489700|-50.017356000|RS|CAPAO DA CANOA|RSKDK_G1N02
CBL0000000014519334|||||||||||||||EQP0000000003096658|M01GP1498|LOC0000000003090812|MDU|MARABA (CENTRO) 2094 528|-29.760791300|-50.017564700|EQP0000000014518800|M01GP1499|LOC0000000003090812|MDU|MARABA (CENTRO) 2094 528|-29.760791300|-50.017564700|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000058617155|||||||||||||||EQP0000000014076665|M01GP3575|LOC0000000003090668|MDU|CENTRAL (ZONA NOVA) 124 9726|-29.752074100|-50.010225200|EQP0000000058616823|M01GP3574|LOC0000000003090668|MDU|CENTRAL (ZONA NOVA) 124 9726|-29.752074100|-50.010225200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014347565|||||||||||||||EQP0000000014346577|M01GP2694|LOC0000000003089038|MDU|PARQUE FLAVIO BOIANOVSKI (ZONA NOVA) 397 1985|-29.754705600|-50.014478900|EQP0000000014346728|M01GP2695|LOC0000000003089038|MDU|PARQUE FLAVIO BOIANOVSKI (ZONA NOVA) 397 1985|-29.754705600|-50.014478900|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000074811579|||||||||||||||EQP0000000014036913|M01GP3822|LOC0000000003091321|MDU|GUILHERME GITMAN (ZONA NOVA) 1190 7908|-29.754490100|-50.010994000|EQP0000000074811011|M01GP3823|LOC0000000003091321|MDU|GUILHERME GITMAN (ZONA NOVA) 1190 7908|-29.754490100|-50.010994000|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000139956200|||||||||||||||EQP0000000139953414|M01GP1256|LOC0000000139951253|MDU|GUARACI 2429|-29.764376100|-50.016962300|EQP0000000139953878|M01GP1255|LOC0000000139951253|MDU|GUARACI 2429|-29.764376100|-50.016962300|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000019368169|||||||||||||||EQP0000000019368033|M01GP2423|LOC0000000003090624|MDU|TUPINAMBA (CENTRO) 349 1732|-29.758531800|-50.015476900|EQP0000000019368101|M01GP2424|LOC0000000003090624|MDU|TUPINAMBA (CENTRO) 349 1732|-29.758531800|-50.015476900|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000071849922|||||||||||||||EQP0000000016627496|M01GP268|LOC0000000003089794|MDU|UBIRAJARA (NAVEGANTES) 440 1257|-29.768306200|-50.021419300|EQP0000000071849275|M01GP267|LOC0000000003089794|MDU|UBIRAJARA (NAVEGANTES) 440 1257|-29.768306200|-50.021419300|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000063775483|||||||||||||||EQP0000000009768167|M01GP3964|LOC0000000003089216|MDU|TAQUARI (ZONA NOVA) 1228 8340|-29.753454700|-50.013972600|EQP0000000063775296|M01GP3963|LOC0000000003089216|MDU|TAQUARI (ZONA NOVA) 1228 8340|-29.753454700|-50.013972600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014733519|||||||||||||||EQP0000000003096055|M01GP1616|LOC0000000003090757|MDU|MARABA (CENTRO) 1830 540|-29.758753200|-50.016483100|EQP0000000014733085|M01GP1617|LOC0000000003090757|MDU|MARABA (CENTRO) 1830 540|-29.758753200|-50.016483100|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000009767702|||||||||||||||EQP0000000009766197|M01GP324|LOC0000000003091223|MDU|TIARAJU (NAVEGANTES) 163 1358|-29.767170700|-50.018955900|EQP0000000009766285|M01GP325|LOC0000000003091223|MDU|TIARAJU (NAVEGANTES) 163 1358|-29.767170700|-50.018955900|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000053047157|||||||||||||||EQP0000000016616235|M01GP68|LOC0000000003089346|MDU|UBATUBA (NAVEGANTES) 369 1122|-29.770661400|-50.022412100|EQP0000000053043922|M01GP67|LOC0000000003089346|MDU|UBATUBA (NAVEGANTES) 369 1122|-29.770661400|-50.022412100|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000071824280|||||||||||||||EQP0000000071823850|M01GP3678|LOC0000000003090983|MDU|CENTRAL (ZONA NOVA) 208 9727|-29.751876600|-50.011092000|EQP0000000071823877|M01GP3677|LOC0000000003090983|MDU|CENTRAL (ZONA NOVA) 208 9727|-29.751876600|-50.011092000|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000058617264|||||||||||||||EQP0000000058616823|M01GP3574|LOC0000000003090668|MDU|CENTRAL (ZONA NOVA) 124 9726|-29.752074100|-50.010225200|EQP0000000058616879|M01GP3573|LOC0000000003090668|MDU|CENTRAL (ZONA NOVA) 124 9726|-29.752074100|-50.010225200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000027798944|||||||||||||||EQP0000000027798131|M01GP1283|LOC0000000003091293|MDU|GUARACI (CENTRO) 2276 96|-29.763127700|-50.015980200|EQP0000000027798228|M01GP1282|LOC0000000003091293|MDU|GUARACI (CENTRO) 2276 96|-29.763127700|-50.015980200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014521162|||||||||||||||EQP0000000003096663|M01GP385|LOC0000000003090641|MDU|MARABA (NAVEGANTES) 2707 483|-29.765538100|-50.020718300|EQP0000000014520489|M01GP386|LOC0000000003090641|MDU|MARABA (NAVEGANTES) 2707 483|-29.765538100|-50.020718300|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014727274|||||||||||||||EQP0000000003096695|M01GP3615|LOC0000000003090953|MDU|JOSE MILTON LOPEZ (ZONA NOVA) 992 8040|-29.752340200|-50.010517100|EQP0000000014727067|M01GP3616|LOC0000000003090953|MDU|JOSE MILTON LOPEZ (ZONA NOVA) 992 8040|-29.752340200|-50.010517100|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014521260|||||||||||||||EQP0000000014520876|M01GP387|LOC0000000003090641|MDU|MARABA (NAVEGANTES) 2707 483|-29.765538100|-50.020718300|EQP0000000014520925|M01GP388|LOC0000000003090641|MDU|MARABA (NAVEGANTES) 2707 483|-29.765538100|-50.020718300|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000017566499|||||||||||||||EQP0000000017566015|M01GP290|LOC0000000003091053|MDU|GUARACI (NAVEGANTES) 2655 71|-29.766589500|-50.018292600|EQP0000000017566042|M01GP291|LOC0000000003091053|MDU|GUARACI (NAVEGANTES) 2655 71|-29.766589500|-50.018292600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014766131|||||||||||||||EQP0000000003096665|M01GP1572|LOC0000000003090569|MDU|MARANGUAB (CENTRO) 502 1635|-29.760097200|-50.017889800|EQP0000000014765732|M01GP1573|LOC0000000003090569|MDU|MARANGUAB (CENTRO) 502 1635|-29.760097200|-50.017889800|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000117404483|||||||||||||||EQP0000000117403973|M01GP1272|LOC0000000003091292|MDU|GUARACI (CENTRO) 2439|-29.764224100|-50.016869600|EQP0000000117404236|M01GP1273|LOC0000000003091292|MDU|GUARACI (CENTRO) 2439|-29.764224100|-50.016869600|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014728766|||||||||||||||EQP0000000003096718|M01GP2521|LOC0000000003090997|MDU|MARABA (CENTRO) 1540 568|-29.756295200|-50.015156000|EQP0000000014728510|M01GP2522|LOC0000000003090997|MDU|MARABA (CENTRO) 1540 568|-29.756295200|-50.015156000|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014740738|||||||||||||||EQP0000000003096660|M01GP1435|LOC0000000003090987|MDU|MARABA (CENTRO) 2219 511|-29.761375700|-50.018494900|EQP0000000014740447|M01GP1436|LOC0000000003090987|MDU|MARABA (CENTRO) 2219 511|-29.761375700|-50.018494900|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000040041622|||||||||||||||EQP0000000003096650|M01GP153|LOC0000000003091007|MDU|GUARACI (NAVEGANTES) 2900 63|-29.768289400|-50.018564900|EQP0000000040038631|M01GP154|LOC0000000003091007|MDU|GUARACI (NAVEGANTES) 2900 63|-29.768289400|-50.018564900|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000111543137|||||||||||||||EQP0000000016293564|M01GP2489|LOC0000000003089638|MDU|MARABA (CENTRO) 1770 554|-29.758262900|-50.016395800|EQP0000000111542675|M01GP2490|LOC0000000003089638|MDU|MARABA (CENTRO) 1770 554|-29.758262900|-50.016395800|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000112093271|||||||||||||||EQP0000000112093032|M01GP103|LOC0000000003035904|MDU|MARABA (NAVEGANTES) 3107 467|-29.768726300|-50.022243200|EQP0000000112093060|M01GP104|LOC0000000003035904|MDU|MARABA (NAVEGANTES) 3107 467|-29.768726300|-50.022243200|RS|CAPAO DA CANOA|RSKDK_G1M01
CBL0000000014537403|||||||||||||||EQP0000000003096039|M01GP3599|LOC0000000003090801|MDU|JOSE MILTON LOPEZ (ZONA NOVA) 822 8048|-29.751195000|-50.009899500|EQP0000000014339808|M01GP3600|LOC0000000003090801|MDU|JOSE MILTON LOPEZ (ZONA NOVA) 822 8048|-29.751195000|-50.009899500|RS|CAPAO DA CANOA|RSKDK_G1M01
