UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000003096641;M01GP3680;TO;RSKDK_G1M01;AVENIDA CENTRAL CAPAO DA CANOA ZONA NOVA 95555000 RS 208;CAPAO DA CANOA;-29.751876600;-50.011092000;GP;RSKDK-M01SP460;RSKDK-M01SP460-SS8;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/5/5
EQP0000000003098279;M01GP1559;TO;RSKDK_G1M01;RUA MARANGUAB CAPAO DA CANOA CENTRO 95555000 RS 399;CAPAO DA CANOA;-29.759970700;-50.016812600;GP;RSKDK-M01SP195;RSKDK-M01SP195-SS7;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/7/10
EQP0000000003096644;M01GP3669;TO;RSKDK_G1M01;RUA ENCANTADO CAPAO DA CANOA CENTRO 95555000 RS 1035;CAPAO DA CANOA;-29.752350300;-50.011999100;GP;RSKDK-M01SP459;RSKDK-M01SP459-SS5;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/5/4
EQP0000000003096661;M01GP1398;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSKDK_G1M01;RUA MARABA CAPAO DA CANOA CENTRO 95555000 RS 2545;CAPAO DA CANOA;-29.764299900;-50.020058500;GP;RSKDK-M01SP175;RSKDK-M01SP175-SS6;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/6/6
EQP0000000003099339;N02GP469;TO;RSKDK_G1N02;RUA PARQUE FLAVIO BOIANOVSKI CAPAO DA CANOA CENTRO 95555000 RS 696;CAPAO DA CANOA;-29.754489700;-50.017356000;GP;RSKDK-N02SP59;RSKDK-N02SP59-SS2;KDK_N02_1_GPON_VLAN_106_107_108-ALC;1/1/4/11
EQP0000000003099339;N02GP469;TO;RSKDK_G1N02;RUA PARQUE FLAVIO BOIANOVSKI CAPAO DA CANOA CENTRO 95555000 RS 696;CAPAO DA CANOA;-29.754489700;-50.017356000;GP;RSKDK-N02SP59;RSKDK-N02SP59-SS5;KDK_N02_1_GPON_VLAN_106_107_108-ALC;1/1/4/11
EQP0000000003096028;M01GP3897;TO;RSKDK_G1M01;RUA ENCANTADO CAPAO DA CANOA CENTRO 95555000 RS 1254;CAPAO DA CANOA;-29.754285500;-50.012413000;GP;RSKDK-M01SP488;RSKDK-M01SP488-SS1;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/7/1
EQP0000000003096724;M01GP209;TO;RSKDK_G1M01;AVENIDA UBIRAJARA CAPAO DA CANOA NAVEGANTES 95555000 RS 186;CAPAO DA CANOA;-29.768989200;-50.019711500;GP;RSKDK-M01SP27;RSKDK-M01SP27-SS1;KDK_M01_1_GPON_VLAN_100_101_102-ALC;1/1/2/11
EQP0000000003098290;M01GP2601;TO;RSKDK_G1M01;RUA MOACIR CAPAO DA CANOA CENTRO 95555000 RS 1534;CAPAO DA CANOA;-29.756255400;-50.014180200;GP;RSKDK-M01SP326;RSKDK-M01SP326-SS1;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/2/8
EQP0000000003096051;M01GP3774;TO;RSKDK_G1M01;RUA GUILHERME GUITTMAN CAPAO DA CANOA ZONA NOVA 95555000 RS 1323;CAPAO DA CANOA;-29.755396200;-50.011914000;GP;RSKDK-M01SP472;RSKDK-M01SP472-SS6;KDK_M01_2_GPON_VLAN_103_104_105-ALC;1/1/6/1
