UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010157409|OK|SP78-SP86|9||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010166303|OK|SP78-SP83|6||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010170948|OK|SP78-SP80|3||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010262672|OK|SP78-SP86;SP88-SP90|12||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010263525|OK|SP1-SP5;SP7-SP15;SP17-SP24;SP26-SP43;SP45-SP53;SP55-SP60;SP64-SP77|69||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010264024|OK|SP57-SP60;SP64-SP73|14||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010264233|OK|SP57-SP60;SP64-SP69|10||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010264544|OK|SP57-SP60;SP64-SP66|7||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010265644|OK|SP57-SP60|4||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010266073|OK|SP57-SP58|2||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010280829|OK|SP45-SP53;SP55-SP56|11||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010281082|OK|SP45-SP53|9||0
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|CBL0000000010281230|OK|SP50|1||0
