UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
SC|GAROPABA|CBL0000000007953747|SP45[SS2-SS8]|7||0
SC|GAROPABA|CBL0000000007954027|SP45[SS2-SS7]|6||0
SC|GAROPABA|CBL0000000007954705|SP45[SS2-SS6]|5||0
SC|GAROPABA|CBL0000000007954857|SP45[SS2-SS5]|4||0
SC|GAROPABA|CBL0000000007956419|SP45[SS2-SS4]|3||0
SC|GAROPABA|CBL0000000007956653|SP45[SS2-SS3]|2||0
SC|GAROPABA|CBL0000000007957182|SP45[SS2]|1||0
SC|GAROPABA|CBL0000000007972116|SP46[SS1-SS8]|8||0
SC|GAROPABA|CBL0000000008006874|SP46[SS1-SS6]|6||0
SC|GAROPABA|CBL0000000008009119|SP46[SS1-SS4]|4||0
SC|GAROPABA|CBL0000000008009355|SP46[SS1-SS2]|2||0
SC|GAROPABA|CBL0000000008017092|SP47[SS1-SS8]|8||0
SC|GAROPABA|CBL0000000008017651|SP47[SS1-SS4]|4||0
SC|GAROPABA|CBL0000000008017993|SP47[SS1-SS2]|2||0
SC|GAROPABA|CBL0000000008028556|SP48[SS2-SS8]|7||0
SC|GAROPABA|CBL0000000008028637|SP48[SS2-SS7]|6||0
SC|GAROPABA|CBL0000000008028758|SP48[SS2-SS6]|5||0
SC|GAROPABA|CBL0000000008029014|SP48[SS2-SS5]|4||0
SC|GAROPABA|CBL0000000008029195|SP48[SS2-SS4]|3||0
SC|GAROPABA|CBL0000000008029336|SP48[SS2-SS3]|2||0
SC|GAROPABA|CBL0000000008029537|SP48[SS2]|1||0
SC|GAROPABA|CBL0000000008132897|SP53[SS2-SS8]|7||0
SC|GAROPABA|CBL0000000008133330|SP53[SS2-SS7]|6||0
SC|GAROPABA|CBL0000000008133654|SP53[SS2-SS6]|5||0
SC|GAROPABA|CBL0000000008133908|SP53[SS2-SS5]|4||0
SC|GAROPABA|CBL0000000008134221|SP53[SS2-SS4]|3||0
SC|GAROPABA|CBL0000000008134425|SP53[SS2-SS3]|2||0
SC|GAROPABA|CBL0000000008134787|SP53[SS2]|1||0
SC|GAROPABA|CBL0000000008135330|SP52[SS2-SS8]|7||0
SC|GAROPABA|CBL0000000008136045|SP52[SS2-SS7]|6||0
SC|GAROPABA|CBL0000000008136419|SP52[SS2-SS6]|5||0
SC|GAROPABA|CBL0000000008137089|SP52[SS2-SS4]|3||0
SC|GAROPABA|CBL0000000008137301|SP52[SS2-SS3]|2||0
SC|GAROPABA|CBL0000000008138185|SP52[SS2-SS5]|4||0
SC|GAROPABA|CBL0000000008138442|SP52[SS2]|1||0
SC|GAROPABA|CBL0000000008139337|SP51[SS1-SS8]|8||0
SC|GAROPABA|CBL0000000008139548|SP51[SS1-SS7]|7||0
SC|GAROPABA|CBL0000000008139989|SP51[SS1-SS6]|6||0
SC|GAROPABA|CBL0000000008140297|SP51[SS1-SS5]|5||0
SC|GAROPABA|CBL0000000008140557|SP51[SS1-SS4]|4||0
SC|GAROPABA|CBL0000000008140745|SP51[SS1-SS3]|3||0
SC|GAROPABA|CBL0000000008140843|SP51[SS1-SS2]|2||0
SC|GAROPABA|CBL0000000008141641|SP55[SS1;SS3-SS8]|7||0
SC|GAROPABA|CBL0000000008141841|SP55[SS1;SS3-SS7]|6||0
SC|GAROPABA|CBL0000000008142110|SP55[SS1;SS3-SS6]|5||0
SC|GAROPABA|CBL0000000008142258|SP55[SS1;SS3-SS5]|4||0
SC|GAROPABA|CBL0000000008142487|SP55[SS1;SS3-SS4]|3||0
SC|GAROPABA|CBL0000000008142705|SP55[SS1;SS3]|2||0
SC|GAROPABA|CBL0000000008142818|SP55[SS1]|1||0
SC|GAROPABA|CBL0000000008147540|SP49[SS1-SS8]|8||0
SC|GAROPABA|CBL0000000008147780|SP49[SS1-SS6]|6||0
SC|GAROPABA|CBL0000000008147934|SP49[SS1-SS4]|4||0
SC|GAROPABA|CBL0000000008148184|SP49[SS1-SS2]|2||0
SC|GAROPABA|CBL0000000008242326|SP39[SS2-SS8]|7||0
SC|GAROPABA|CBL0000000008242408|SP39[SS2-SS7]|6||0
SC|GAROPABA|CBL0000000008242627|SP39[SS2-SS6]|5||0
SC|GAROPABA|CBL0000000008243341|SP39[SS2-SS5]|4||0
SC|GAROPABA|CBL0000000008243470|SP39[SS2-SS4]|3||0
SC|GAROPABA|CBL0000000008243892|SP39[SS2-SS3]|2||0
SC|GAROPABA|CBL0000000008244184|SP39[SS2]|1||0
SC|GAROPABA|CBL0000000008260364|SP40[SS2-SS8]|7||0
SC|GAROPABA|CBL0000000008261018|SP40[SS2-SS7]|6||0
SC|GAROPABA|CBL0000000008262022|SP40[SS2-SS6]|5||0
SC|GAROPABA|CBL0000000008262137|SP40[SS2-SS5]|4||0
SC|GAROPABA|CBL0000000008262222|SP40[SS2-SS4]|3||0
SC|GAROPABA|CBL0000000008262298|SP40[SS2-SS3]|2||0
SC|GAROPABA|CBL0000000008263024|SP40[SS2]|1||0
SC|GAROPABA|CBL0000000008292391|SP90[SS1-SS8]|8||0
SC|GAROPABA|CBL0000000008292613|SP90[SS1-SS6]|6||0
SC|GAROPABA|CBL0000000008292802|SP90[SS1-SS4]|4||0
SC|GAROPABA|CBL0000000008301403|SP1[SS1-SS8]|8||0
SC|GAROPABA|CBL0000000008301632|SP1[SS1-SS7]|7||0
SC|GAROPABA|CBL0000000008301711|SP1[SS1-SS6]|6||0
SC|GAROPABA|CBL0000000008301842|SP1[SS1-SS5]|5||0
SC|GAROPABA|CBL0000000008302141|SP1[SS1-SS4]|4||0
SC|GAROPABA|CBL0000000008302341|SP1[SS1-SS3]|3||0
SC|GAROPABA|CBL0000000008302444|SP1[SS1-SS2]|2||0
SC|GAROPABA|CBL0000000008302603|SP1[SS1]|1||0
SC|GAROPABA|CBL0000000008302824|SP2[SS2-SS8]|7||0
SC|GAROPABA|CBL0000000008303011|SP2[SS2-SS7]|6||0
SC|GAROPABA|CBL0000000008303014|SP90[SS1-SS2]|2||0
SC|GAROPABA|CBL0000000008303058|SP2[SS2-SS6]|5||0
SC|GAROPABA|CBL0000000008303167|SP2[SS2-SS5]|4||0
SC|GAROPABA|CBL0000000008303172|SP2[SS2-SS4]|3||0
SC|GAROPABA|CBL0000000008303282|SP2[SS2-SS3]|2||0
SC|GAROPABA|CBL0000000008303425|SP88[SS3-SS8]|6||0
SC|GAROPABA|CBL0000000008303534|SP88[SS3-SS6]|4||0
SC|GAROPABA|CBL0000000008303683|SP88[SS3-SS4]|2||0
SC|GAROPABA|CBL0000000008304120|SP2[SS2]|1||0
SC|GAROPABA|CBL0000000008304380|SP3[SS1-SS8]|8||0
SC|GAROPABA|CBL0000000008304628|SP3[SS1-SS7]|7||0
SC|GAROPABA|CBL0000000008304752|SP89[SS4-SS8]|5||0
SC|GAROPABA|CBL0000000008304792|SP89[SS4-SS7]|4||0
SC|GAROPABA|CBL0000000008304803|SP89[SS4-SS6]|3||0
SC|GAROPABA|CBL0000000008304807|SP3[SS1-SS6]|6||0
SC|GAROPABA|CBL0000000008304808|SP89[SS4-SS5]|2||0
SC|GAROPABA|CBL0000000008304810|SP89[SS4]|1||0
SC|GAROPABA|CBL0000000008304812|SP3[SS1-SS5]|5||0
SC|GAROPABA|CBL0000000008304914|SP3[SS1-SS4]|4||0
SC|GAROPABA|CBL0000000008304959|SP3[SS1-SS3]|3||0
