UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947163|I01G0360|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|149.98|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0360|EQP0000000007947163|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947454|I01G0359|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|149.98|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0360|EQP0000000007947163|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947454|I01G0359|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|229.03|I01G0360|EQP0000000007947163|I01G0359|EQP0000000007947454|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947876|I01G0358|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|149.98|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0360|EQP0000000007947163|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947876|I01G0358|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|229.03|I01G0360|EQP0000000007947163|I01G0359|EQP0000000007947454|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007947876|I01G0358|3|CBL0000000007954705|SCGPA-I01-SP045F1I01-SCGPACTO358|DROP 12F|12|Autossustentável|332.65|I01G0359|EQP0000000007947454|I01G0358|EQP0000000007947876|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|149.98|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0360|EQP0000000007947163|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|229.03|I01G0360|EQP0000000007947163|I01G0359|EQP0000000007947454|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|3|CBL0000000007954705|SCGPA-I01-SP045F1I01-SCGPACTO358|DROP 12F|12|Autossustentável|332.65|I01G0359|EQP0000000007947454|I01G0358|EQP0000000007947876|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948064|I01G0357|4|CBL0000000007954857|SCGPA-I01-SP045F1I01-SCGPACTO357|DROP 12F|12|Autossustentável|217.65|I01G0358|EQP0000000007947876|I01G0357|EQP0000000007948064|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948385|I01G0356|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|149.98|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0360|EQP0000000007947163|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948385|I01G0356|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|229.03|I01G0360|EQP0000000007947163|I01G0359|EQP0000000007947454|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948385|I01G0356|3|CBL0000000007954705|SCGPA-I01-SP045F1I01-SCGPACTO358|DROP 12F|12|Autossustentável|332.65|I01G0359|EQP0000000007947454|I01G0358|EQP0000000007947876|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948385|I01G0356|4|CBL0000000007954857|SCGPA-I01-SP045F1I01-SCGPACTO357|DROP 12F|12|Autossustentável|217.65|I01G0358|EQP0000000007947876|I01G0357|EQP0000000007948064|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948385|I01G0356|5|CBL0000000007956419|SCGPA-I01-SP045F1I01-SCGPACTO356|DROP 12F|12|Autossustentável|417.21|I01G0357|EQP0000000007948064|I01G0356|EQP0000000007948385|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948635|I01G0355|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|149.98|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0360|EQP0000000007947163|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948635|I01G0355|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|229.03|I01G0360|EQP0000000007947163|I01G0359|EQP0000000007947454|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948635|I01G0355|3|CBL0000000007954705|SCGPA-I01-SP045F1I01-SCGPACTO358|DROP 12F|12|Autossustentável|332.65|I01G0359|EQP0000000007947454|I01G0358|EQP0000000007947876|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948635|I01G0355|4|CBL0000000007954857|SCGPA-I01-SP045F1I01-SCGPACTO357|DROP 12F|12|Autossustentável|217.65|I01G0358|EQP0000000007947876|I01G0357|EQP0000000007948064|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948635|I01G0355|5|CBL0000000007956419|SCGPA-I01-SP045F1I01-SCGPACTO356|DROP 12F|12|Autossustentável|417.21|I01G0357|EQP0000000007948064|I01G0356|EQP0000000007948385|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948635|I01G0355|6|CBL0000000007956653|SCGPA-I01-SP045F1I01-SCGPACTO355|DROP 12F|12|Autossustentável|382.79|I01G0356|EQP0000000007948385|I01G0355|EQP0000000007948635|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948837|I01G0354|1|CBL0000000007953747|SCGPA-I01-SP045F1I01-SCGPACTO360|DROP 12F|12|Autossustentável|149.98|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0360|EQP0000000007947163|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948837|I01G0354|2|CBL0000000007954027|SCGPA-I01-SP045F1I01-SCGPACTO359|DROP 12F|12|Autossustentável|229.03|I01G0360|EQP0000000007947163|I01G0359|EQP0000000007947454|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948837|I01G0354|3|CBL0000000007954705|SCGPA-I01-SP045F1I01-SCGPACTO358|DROP 12F|12|Autossustentável|332.65|I01G0359|EQP0000000007947454|I01G0358|EQP0000000007947876|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948837|I01G0354|4|CBL0000000007954857|SCGPA-I01-SP045F1I01-SCGPACTO357|DROP 12F|12|Autossustentável|217.65|I01G0358|EQP0000000007947876|I01G0357|EQP0000000007948064|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948837|I01G0354|5|CBL0000000007956419|SCGPA-I01-SP045F1I01-SCGPACTO356|DROP 12F|12|Autossustentável|417.21|I01G0357|EQP0000000007948064|I01G0356|EQP0000000007948385|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948837|I01G0354|6|CBL0000000007956653|SCGPA-I01-SP045F1I01-SCGPACTO355|DROP 12F|12|Autossustentável|382.79|I01G0356|EQP0000000007948385|I01G0355|EQP0000000007948635|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000007948837|I01G0354|7|CBL0000000007957182|SCGPA-I01-SP045F1I01-SCGPACTO354|DROP 12F|12|Autossustentável|246.54|I01G0355|EQP0000000007948635|I01G0354|EQP0000000007948837|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008022843|I01G0384|1|CBL0000000008028556|SCGPA-I01-SP048F1I01-SCGPACTO384|DROP 12F|12|Autossustentável|85.12|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0384|EQP0000000008022843|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008022998|I01G0383|1|CBL0000000008028556|SCGPA-I01-SP048F1I01-SCGPACTO384|DROP 12F|12|Autossustentável|85.12|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0384|EQP0000000008022843|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008022998|I01G0383|2|CBL0000000008028637|SCGPA-I01-SP048F1I01-SCGPACTO383|DROP 12F|12|Autossustentável|126.63|I01G0384|EQP0000000008022843|I01G0383|EQP0000000008022998|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008023121|I01G0382|1|CBL0000000008028556|SCGPA-I01-SP048F1I01-SCGPACTO384|DROP 12F|12|Autossustentável|85.12|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0384|EQP0000000008022843|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008023121|I01G0382|2|CBL0000000008028637|SCGPA-I01-SP048F1I01-SCGPACTO383|DROP 12F|12|Autossustentável|126.63|I01G0384|EQP0000000008022843|I01G0383|EQP0000000008022998|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008023121|I01G0382|3|CBL0000000008028758|SCGPA-I01-SP048F1I01-SCGPACTO382|DROP 12F|12|Autossustentável|143.52|I01G0383|EQP0000000008022998|I01G0382|EQP0000000008023121|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024348|I01G0381|1|CBL0000000008028556|SCGPA-I01-SP048F1I01-SCGPACTO384|DROP 12F|12|Autossustentável|85.12|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0384|EQP0000000008022843|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024348|I01G0381|2|CBL0000000008028637|SCGPA-I01-SP048F1I01-SCGPACTO383|DROP 12F|12|Autossustentável|126.63|I01G0384|EQP0000000008022843|I01G0383|EQP0000000008022998|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024348|I01G0381|3|CBL0000000008028758|SCGPA-I01-SP048F1I01-SCGPACTO382|DROP 12F|12|Autossustentável|143.52|I01G0383|EQP0000000008022998|I01G0382|EQP0000000008023121|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024348|I01G0381|4|CBL0000000008029014|SCGPA-I01-SP048F1I01-SCGPACTO381|DROP 12F|12|Autossustentável|229.99|I01G0382|EQP0000000008023121|I01G0381|EQP0000000008024348|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024819|I01G0380|1|CBL0000000008028556|SCGPA-I01-SP048F1I01-SCGPACTO384|DROP 12F|12|Autossustentável|85.12|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0384|EQP0000000008022843|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024819|I01G0380|2|CBL0000000008028637|SCGPA-I01-SP048F1I01-SCGPACTO383|DROP 12F|12|Autossustentável|126.63|I01G0384|EQP0000000008022843|I01G0383|EQP0000000008022998|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024819|I01G0380|3|CBL0000000008028758|SCGPA-I01-SP048F1I01-SCGPACTO382|DROP 12F|12|Autossustentável|143.52|I01G0383|EQP0000000008022998|I01G0382|EQP0000000008023121|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024819|I01G0380|4|CBL0000000008029014|SCGPA-I01-SP048F1I01-SCGPACTO381|DROP 12F|12|Autossustentável|229.99|I01G0382|EQP0000000008023121|I01G0381|EQP0000000008024348|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008024819|I01G0380|5|CBL0000000008029195|SCGPA-I01-SP048F1I01-SCGPACTO380|DROP 12F|12|Autossustentável|128.81|I01G0381|EQP0000000008024348|I01G0380|EQP0000000008024819|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008025086|I01G0379|1|CBL0000000008028556|SCGPA-I01-SP048F1I01-SCGPACTO384|DROP 12F|12|Autossustentável|85.12|I01-SCGRBFOSC-14|EQP0000000007946942|I01G0384|EQP0000000008022843|1
SC|GAROPABA|SCGRB_G1I01|DGO1_BR-SCGRB01|Secundario|LOC0000000006847771|47063GRB3015|EQP0000000007946942|I01-SCGRBFOSC-14|EQP0000000008025086|I01G0379|2|CBL0000000008028637|SCGPA-I01-SP048F1I01-SCGPACTO383|DROP 12F|12|Autossustentável|126.63|I01G0384|EQP0000000008022843|I01G0383|EQP0000000008022998|1
