IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000008690593|47063GRB2542|LOC0000000006852062|Poste|-28.029268400|-48.624716300|Aerial|Autossustentável|26.860000000|26.860000000|47063GRB2537|LOC0000000006852032|Poste|-28.029308800|-48.624447000|EQP0000000026222644|I01G0600|LOC0000000006852056|Poste|47063GRB2541|-28.029221100|-48.625030900|EQP0000000026322187|I01G0598|LOC0000000006852044|Poste|47063GRB2539|-28.029468500|-48.623202800|SC|GAROPABA|SCGRB_G1I01
CBL0000000008690593|47063GRB2538|LOC0000000006852038|Poste|-28.029355700|-48.624139600|Aerial|Autossustentável|30.670000000|30.670000000|47063GRB2537|LOC0000000006852032|Poste|-28.029308800|-48.624447000|EQP0000000026222644|I01G0600|LOC0000000006852056|Poste|47063GRB2541|-28.029221100|-48.625030900|EQP0000000026322187|I01G0598|LOC0000000006852044|Poste|47063GRB2539|-28.029468500|-48.623202800|SC|GAROPABA|SCGRB_G1I01
CBL0000000008690593|47063GRB2687|LOC0000000006970054|Poste|-28.029412100|-48.623627100|Aerial|Autossustentável|42.190000000|42.190000000|47063GRB2539|LOC0000000006852044|Poste|-28.029468500|-48.623202800|EQP0000000026222644|I01G0600|LOC0000000006852056|Poste|47063GRB2541|-28.029221100|-48.625030900|EQP0000000026322187|I01G0598|LOC0000000006852044|Poste|47063GRB2539|-28.029468500|-48.623202800|SC|GAROPABA|SCGRB_G1I01
CBL0000000008690593|47063GRB2541|LOC0000000006852056|Poste|-28.029221100|-48.625030900|Aerial|Autossustentável|31.380000000|31.380000000|47063GRB2542|LOC0000000006852062|Poste|-28.029268400|-48.624716300|EQP0000000026222644|I01G0600|LOC0000000006852056|Poste|47063GRB2541|-28.029221100|-48.625030900|EQP0000000026322187|I01G0598|LOC0000000006852044|Poste|47063GRB2539|-28.029468500|-48.623202800|SC|GAROPABA|SCGRB_G1I01
CBL0000000008690593|47063GRB2538|LOC0000000006852038|Poste|-28.029355700|-48.624139600|Aerial|Autossustentável|50.780000000|50.780000000|47063GRB2687|LOC0000000006970054|Poste|-28.029412100|-48.623627100|EQP0000000026222644|I01G0600|LOC0000000006852056|Poste|47063GRB2541|-28.029221100|-48.625030900|EQP0000000026322187|I01G0598|LOC0000000006852044|Poste|47063GRB2539|-28.029468500|-48.623202800|SC|GAROPABA|SCGRB_G1I01
CBL0000000008725660|47063GRB209|LOC0000000006849283|Poste|-28.046420500|-48.631542500|Aerial|Autossustentável|37.380000000|37.380000000|47063GRB204|LOC0000000006849237|Poste|-28.046540200|-48.631187100|EQP0000000008460952|I01G0116|LOC0000000006851659|Poste|47063GRB1485|-28.046958800|-48.632662000|EQP0000000008461286|I01G0115|LOC0000000006849237|Poste|47063GRB204|-28.046540200|-48.631187100|SC|GAROPABA|SCGRB_G1I01
CBL0000000008725660|47063GRB1485|LOC0000000006851659|Poste|-28.046958800|-48.632662000|Aerial|Autossustentável|32.520000000|32.520000000|47063GRB876|LOC0000000006998458|Poste|-28.046665700|-48.632645800|EQP0000000008460952|I01G0116|LOC0000000006851659|Poste|47063GRB1485|-28.046958800|-48.632662000|EQP0000000008461286|I01G0115|LOC0000000006849237|Poste|47063GRB204|-28.046540200|-48.631187100|SC|GAROPABA|SCGRB_G1I01
CBL0000000008725660|47063GRB202|LOC0000000006849221|Poste|-28.046291600|-48.632637900|Aerial|Autossustentável|42.920000000|42.920000000|47063GRB203|LOC0000000006849229|Poste|-28.046283000|-48.632236200|EQP0000000008460952|I01G0116|LOC0000000006851659|Poste|47063GRB1485|-28.046958800|-48.632662000|EQP0000000008461286|I01G0115|LOC0000000006849237|Poste|47063GRB204|-28.046540200|-48.631187100|SC|GAROPABA|SCGRB_G1I01
CBL0000000008725660|47063GRB203|LOC0000000006849229|Poste|-28.046283000|-48.632236200|Aerial|Autossustentável|44.450000000|44.450000000|47063GRB207|LOC0000000006849267|Poste|-28.046353000|-48.631791000|EQP0000000008460952|I01G0116|LOC0000000006851659|Poste|47063GRB1485|-28.046958800|-48.632662000|EQP0000000008461286|I01G0115|LOC0000000006849237|Poste|47063GRB204|-28.046540200|-48.631187100|SC|GAROPABA|SCGRB_G1I01
CBL0000000008725660|47063GRB201|LOC0000000006849211|Poste|-28.046437500|-48.632632500|Aerial|Autossustentável|16.180000000|16.180000000|47063GRB202|LOC0000000006849221|Poste|-28.046291600|-48.632637900|EQP0000000008460952|I01G0116|LOC0000000006851659|Poste|47063GRB1485|-28.046958800|-48.632662000|EQP0000000008461286|I01G0115|LOC0000000006849237|Poste|47063GRB204|-28.046540200|-48.631187100|SC|GAROPABA|SCGRB_G1I01
