UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000026322187;I01G0598;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA SAO MIGUEL GAROPABA CENTRO 88495000 SC 221;GAROPABA;-28.029468500;-48.623202800;G0;SCGRB-I01SP75;SCGRB-I01SP75-SS5;BR-SCGRB01-OLT01-NK;1/1/5/11
EQP0000000026322187;I01G0598;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA SAO MIGUEL GAROPABA CENTRO 88495000 SC 221;GAROPABA;-28.029468500;-48.623202800;G0;SCGRB-I01SP75;SCGRB-I01SP75-SS6;BR-SCGRB01-OLT01-NK;1/1/5/11
EQP0000000027036417;I01G0172;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA PREFEITO JOAO ORESTES DE ARAUJO GAROPABA CENTRO 88495000 SC 1151;GAROPABA;-28.032217200;-48.622056000;G0;SCGRB-I01SP22;SCGRB-I01SP22-SS3;BR-SCGRB01-OLT01-NK;1/1/2/6
EQP0000000027036417;I01G0172;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA PREFEITO JOAO ORESTES DE ARAUJO GAROPABA CENTRO 88495000 SC 1151;GAROPABA;-28.032217200;-48.622056000;G0;SCGRB-I01SP22;SCGRB-I01SP22-SS4;BR-SCGRB01-OLT01-NK;1/1/2/6
EQP0000000027401834;I01G0684;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA PREFEITO JOAO ORESTES DE ARAUJO GAROPABA CENTRO 88495000 SC 549;GAROPABA;-28.027591900;-48.620550300;G0;SCGRB-I01SP86;SCGRB-I01SP86-SS3;BR-SCGRB01-OLT01-NK;1/1/6/6
EQP0000000027401834;I01G0684;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA PREFEITO JOAO ORESTES DE ARAUJO GAROPABA CENTRO 88495000 SC 549;GAROPABA;-28.027591900;-48.620550300;G0;SCGRB-I01SP86;SCGRB-I01SP86-SS4;BR-SCGRB01-OLT01-NK;1/1/6/6
EQP0000000027411445;I01G0702;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RODOVIA JOVINO PIUCCO GAROPABA AREIAS MACACU 88495000 SC 322;GAROPABA;-28.027774000;-48.623336300;G0;SCGRB-I01SP88;SCGRB-I01SP88-SS5;BR-SCGRB01-OLT01-NK;1/1/6/8
EQP0000000027411445;I01G0702;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RODOVIA JOVINO PIUCCO GAROPABA AREIAS MACACU 88495000 SC 322;GAROPABA;-28.027774000;-48.623336300;G0;SCGRB-I01SP88;SCGRB-I01SP88-SS6;BR-SCGRB01-OLT01-NK;1/1/6/8
EQP0000000027375309;I01G0666;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA CEZAR GAZOLA LOPES GAROPABA CENTRO 88495000 SC 55;GAROPABA;-28.023527600;-48.619772700;G0;SCGRB-I01SP84;SCGRB-I01SP84-SS1;BR-SCGRB01-OLT01-NK;1/1/6/4
EQP0000000027375309;I01G0666;CTO - PAD TELEFONICA - B;SCGRB_G1I01;RUA CEZAR GAZOLA LOPES GAROPABA CENTRO 88495000 SC 55;GAROPABA;-28.023527600;-48.619772700;G0;SCGRB-I01SP84;SCGRB-I01SP84-SS2;BR-SCGRB01-OLT01-NK;1/1/6/4
