UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000072499148|OK|SP51|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000088020011|OK|SP8|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089309279|OK|SP1-SP8;SP30-SP38;SP49-SP72;SP90-SP101;SP105-SP106;SP117-SP118;SP121-SP132;SP142-SP144|72||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089313398|OK|SP94-SP101;SP105-SP106;SP117-SP118;SP121-SP132;SP142-SP144|27||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089313403|OK|SP127-SP132|6||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089313424|OK|SP94-SP101;SP105-SP106;SP121-SP126|16||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089315628|OK|SP94-SP101;SP105-SP106|10||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089317542|OK|SP1-SP8;SP30-SP38;SP49-SP72|41||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089317562|OK|SP1-SP8;SP30-SP38;SP49-SP72;SP90-SP93|45||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089319303|OK|SP1-SP8;SP30-SP38;SP49-SP50;SP52-SP68|36||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089319468|OK|SP1-SP8;SP30-SP38;SP49;SP52-SP61|28||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089319584|OK|SP1-SP8;SP30-SP38;SP49;SP52-SP57|24||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089321222|OK|SP1-SP8;SP30-SP37;SP49|17||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089321413|OK|SP49|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089321428|OK|SP1-SP8|8||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089321465|OK|SP49|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000089321475|OK|SP49|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000099592858|OK|SP50|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000117115175|OK|SP101;SP105-SP106|3||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000125278331|OK|SP37|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000139411014|OK|SP38|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 1|CBL0000000201277498|OK|SP117-SP118|2||0
ES|GUARAPARI|ESGRI_G1I01|TR 2|CBL0000000072491263|OK|SP186|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 2|CBL0000000072494146|OK|SP166-SP167;SP171|3||0
ES|GUARAPARI|ESGRI_G1I01|TR 2|CBL0000000072503552|OK|SP151|1||0
ES|GUARAPARI|ESGRI_G1I01|TR 2|CBL0000000089309284|OK|SP145-SP151;SP166-SP169;SP171;SP173-SP186|26||0
ES|GUARAPARI|ESGRI_G1I01|TR 2|CBL0000000089309289|OK|SP181-SP186|6||0
ES|GUARAPARI|ESGRI_G1I01|TR 2|CBL0000000089309294|OK|SP145-SP151;SP166-SP169;SP171;SP173-SP180|20||0
