UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042925965|CAIXA DE EMENDA GENERICA 221|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|7
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042925965|CAIXA DE EMENDA GENERICA 221|2.0|CBL0000000089317562|127350_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos;Cordoalha|155.53|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 188|EQP0000000042935545|7
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042925965|CAIXA DE EMENDA GENERICA 221|3.0|CBL0000000089317542|127346_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|149.64|CAIXA DE EMENDA GENERICA 188|EQP0000000042935545|CAIXA DE EMENDA GENERICA 210|EQP0000000042935719|7
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042925965|CAIXA DE EMENDA GENERICA 221|4.0|CBL0000000089319303|127395_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Dutos;Cordoalha|76.05|CAIXA DE EMENDA GENERICA 210|EQP0000000042935719|CAIXA DE EMENDA GENERICA 221|EQP0000000042925965|7
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935145|CAIXA DE EMENDA GENERICA 108|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|3
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935145|CAIXA DE EMENDA GENERICA 108|2.0|CBL0000000089313398|127176_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|76.4|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|3
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935174|CAIXA DE EMENDA GENERICA 126|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935174|CAIXA DE EMENDA GENERICA 126|2.0|CBL0000000089313398|127176_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|76.4|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935174|CAIXA DE EMENDA GENERICA 126|3.0|CBL0000000089313403|127177_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha;Dutos|264.8|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|CAIXA DE EMENDA GENERICA 126|EQP0000000042935174|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935360|CAIXA DE EMENDA GENERICA 156|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935360|CAIXA DE EMENDA GENERICA 156|2.0|CBL0000000089313398|127176_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|76.4|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935360|CAIXA DE EMENDA GENERICA 156|3.0|CBL0000000089313424|127181_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha;Dutos|206.89|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|CAIXA DE EMENDA GENERICA 156|EQP0000000042935360|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|1.0|CBL0000000089315628|127280_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha;Dutos|251.96|CAIXA DE EMENDA GENERICA 156|EQP0000000042935360|CAIXA DE EMENDA GENERICA 172|EQP0000000042935520|1
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|2.0|CBL0000000089313398|127176_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|76.4|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|2.0|CBL0000000089313424|127181_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha;Dutos|206.89|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|CAIXA DE EMENDA GENERICA 156|EQP0000000042935360|1
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|3.0|CBL0000000089313398|127176_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|76.4|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|1
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|3.0|CBL0000000089313424|127181_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha;Dutos|206.89|CAIXA DE EMENDA GENERICA 108|EQP0000000042935145|CAIXA DE EMENDA GENERICA 156|EQP0000000042935360|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|4.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|1
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935520|CAIXA DE EMENDA GENERICA 172|4.0|CBL0000000089315628|127280_CFOA-SM-AS80-S|CFOA-SM-AS80-S-36|36|Cordoalha;Dutos|251.96|CAIXA DE EMENDA GENERICA 156|EQP0000000042935360|CAIXA DE EMENDA GENERICA 172|EQP0000000042935520|6
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935545|CAIXA DE EMENDA GENERICA 188|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|4
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935545|CAIXA DE EMENDA GENERICA 188|2.0|CBL0000000089317562|127350_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos;Cordoalha|155.53|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 188|EQP0000000042935545|4
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935719|CAIXA DE EMENDA GENERICA 210|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|4
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935719|CAIXA DE EMENDA GENERICA 210|2.0|CBL0000000089317562|127350_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos;Cordoalha|155.53|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|CAIXA DE EMENDA GENERICA 188|EQP0000000042935545|4
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935719|CAIXA DE EMENDA GENERICA 210|3.0|CBL0000000089317542|127346_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Cordoalha;Dutos|149.64|CAIXA DE EMENDA GENERICA 188|EQP0000000042935545|CAIXA DE EMENDA GENERICA 210|EQP0000000042935719|4
ES|GUARAPARI|ESGRI_G1I01|TR 1|Primario|LOC0000000042284019|ESGRI_G1I01|EQP0000000042934408|TR 1|EQP0000000042935891|CAIXA DE EMENDA GENERICA 233|1.0|CBL0000000089309279|126964_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|174.44|TR 1|EQP0000000042934408|CAIXA DE EMENDA GENERICA 107|EQP0000000042935144|4
