UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|GUARAPARI|CBL0000000062792439|SP106[SS7]|1||0
ES|GUARAPARI|CBL0000000062792548|SP106[SS7-SS8]|2||0
ES|GUARAPARI|CBL0000000063592690|SP80[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063592777|SP80[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063592928|SP80[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063593055|SP80[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063593157|SP80[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063593245|SP80[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063593302|SP80[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063593393|SP80[SS1]|1||0
ES|GUARAPARI|CBL0000000063598570|SP82[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063598636|SP82[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063598705|SP82[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063598845|SP82[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063598911|SP82[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063598964|SP82[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063599021|SP82[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063599158|SP82[SS1]|1||0
ES|GUARAPARI|CBL0000000063610668|SP83[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063610709|SP83[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063610762|SP83[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063610811|SP83[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063610848|SP83[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063610901|SP83[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063610938|SP83[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063610979|SP83[SS1]|1||0
ES|GUARAPARI|CBL0000000063612262|SP79[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063612263|SP79[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063612264|SP79[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063612265|SP79[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063612266|SP79[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063612267|SP79[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063612268|SP79[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063612269|SP79[SS1]|1||0
ES|GUARAPARI|CBL0000000063617516|SP78[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063617585|SP78[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063617654|SP78[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063617735|SP78[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063617867|SP78[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063617955|SP78[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063618036|SP78[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063618105|SP78[SS1]|1||0
ES|GUARAPARI|CBL0000000063624352|SP81[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063624844|SP81[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063624952|SP81[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063625055|SP81[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063625112|SP81[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063625279|SP81[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063625406|SP81[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063625491|SP81[SS1]|1||0
ES|GUARAPARI|CBL0000000063636175|SP73[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063636176|SP73[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063636216|SP73[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063636260|SP73[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063636261|SP73[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063636262|SP73[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063636290|SP73[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063636291|SP73[SS1]|1||0
ES|GUARAPARI|CBL0000000063637531|SP74[SS5-SS8]|4||0
ES|GUARAPARI|CBL0000000063637559|SP74[SS5-SS6]|2||0
ES|GUARAPARI|CBL0000000063639415|SP75[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063639419|SP75[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063639424|SP75[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063639426|SP75[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063640472|SP76[SS3-SS8]|6||0
ES|GUARAPARI|CBL0000000063640473|SP76[SS3-SS7]|5||0
ES|GUARAPARI|CBL0000000063640474|SP76[SS3-SS6]|4||0
ES|GUARAPARI|CBL0000000063640475|SP76[SS3-SS5]|3||0
ES|GUARAPARI|CBL0000000063640476|SP76[SS3-SS4]|2||0
ES|GUARAPARI|CBL0000000063640507|SP76[SS3]|1||0
ES|GUARAPARI|CBL0000000063643345|SP77[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063643375|SP77[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063643408|SP77[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063643433|SP77[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063650229|SP25[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063650251|SP25[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063650278|SP25[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063650330|SP25[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063650383|SP25[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063650435|SP25[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063650567|SP25[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063650770|SP25[SS1]|1||0
ES|GUARAPARI|CBL0000000063657649|SP26[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063657737|SP26[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063657785|SP26[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063657810|SP26[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063659698|SP27[SS1-SS4;SS7-SS8]|6||0
ES|GUARAPARI|CBL0000000063659781|SP27[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063659820|SP27[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063659821|SP27[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063817578|SP86[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063818453|SP86[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063818644|SP86[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063819011|SP86[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063819161|SP86[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063819482|SP86[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063819764|SP86[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063819927|SP86[SS1]|1||0
ES|GUARAPARI|CBL0000000063840432|SP87[SS2-SS8]|7||0
ES|GUARAPARI|CBL0000000063841869|SP87[SS2-SS7]|6||0
ES|GUARAPARI|CBL0000000063842210|SP87[SS2-SS6]|5||0
ES|GUARAPARI|CBL0000000063842563|SP87[SS2-SS5]|4||0
ES|GUARAPARI|CBL0000000063842769|SP87[SS2-SS4]|3||0
ES|GUARAPARI|CBL0000000063843062|SP87[SS2-SS3]|2||0
ES|GUARAPARI|CBL0000000063843472|SP87[SS2]|1||0
ES|GUARAPARI|CBL0000000063877216|SP197[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063877271|SP197[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063877451|SP197[SS1]|1||0
ES|GUARAPARI|CBL0000000063878688|SP88[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063878894|SP88[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063879182|SP88[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063879390|SP88[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063879704|SP88[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063879891|SP88[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063880156|SP88[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063880308|SP88[SS1]|1||0
ES|GUARAPARI|CBL0000000063894243|SP89[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063894727|SP89[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063895257|SP89[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063897314|SP89[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063897666|SP89[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063898123|SP89[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063898459|SP89[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063898777|SP89[SS1]|1||0
ES|GUARAPARI|CBL0000000063983029|SP95[SS4-SS8]|5||0
ES|GUARAPARI|CBL0000000063983104|SP95[SS4-SS7]|4||0
ES|GUARAPARI|CBL0000000063983195|SP95[SS4-SS6]|3||0
ES|GUARAPARI|CBL0000000063983394|SP95[SS4-SS5]|2||0
ES|GUARAPARI|CBL0000000063983484|SP95[SS4]|1||0
ES|GUARAPARI|CBL0000000063988246|SP96[SS4-SS8]|5||0
ES|GUARAPARI|CBL0000000063988354|SP96[SS4-SS7]|4||0
ES|GUARAPARI|CBL0000000063988426|SP96[SS4-SS6]|3||0
ES|GUARAPARI|CBL0000000063988507|SP96[SS4-SS5]|2||0
ES|GUARAPARI|CBL0000000063988757|SP96[SS4]|1||0
ES|GUARAPARI|CBL0000000063993713|SP97[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000063993762|SP97[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000063993884|SP97[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000063993924|SP97[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000063994002|SP97[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000063994041|SP97[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000063994080|SP97[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000063994119|SP97[SS1]|1||0
ES|GUARAPARI|CBL0000000064000658|SP17[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000064000907|SP17[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000064001058|SP17[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064001191|SP17[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000064001360|SP17[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000064001497|SP17[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000064001642|SP17[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000064001811|SP17[SS1]|1||0
ES|GUARAPARI|CBL0000000064012720|SP18[SS2-SS8]|7||0
ES|GUARAPARI|CBL0000000064012872|SP18[SS2-SS7]|6||0
ES|GUARAPARI|CBL0000000064013021|SP18[SS2-SS6]|5||0
ES|GUARAPARI|CBL0000000064013168|SP18[SS2-SS5]|4||0
ES|GUARAPARI|CBL0000000064013336|SP18[SS2-SS4]|3||0
ES|GUARAPARI|CBL0000000064013641|SP18[SS2-SS3]|2||0
ES|GUARAPARI|CBL0000000064015047|SP18[SS2]|1||0
ES|GUARAPARI|CBL0000000064026223|SP13[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000064026735|SP13[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000064026943|SP13[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064027074|SP13[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000064027453|SP13[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000064027658|SP13[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000064027929|SP84[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000064027968|SP13[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000064028005|SP84[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000064028128|SP84[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064028171|SP84[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000064028207|SP84[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000064028209|SP84[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000064028275|SP84[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000064028278|SP84[SS1]|1||0
ES|GUARAPARI|CBL0000000064125207|SP19[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000064125680|SP19[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000064126655|SP19[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064127058|SP19[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000064127353|SP19[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000064127475|SP19[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000064127710|SP19[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000064127888|SP19[SS1]|1||0
ES|GUARAPARI|CBL0000000064162254|SP20[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000064165712|SP20[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064166182|SP20[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000064168067|SP20[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000064282652|SP14[SS1-SS6;SS8]|7||0
ES|GUARAPARI|CBL0000000064283279|SP14[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064283966|SP14[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064284543|SP14[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000064285003|SP14[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000064285664|SP14[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000064286530|SP14[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000064288622|SP14[SS1]|1||0
ES|GUARAPARI|CBL0000000064336237|SP85[SS1-SS8]|8||0
ES|GUARAPARI|CBL0000000064336643|SP85[SS1-SS7]|7||0
ES|GUARAPARI|CBL0000000064336811|SP85[SS1-SS6]|6||0
ES|GUARAPARI|CBL0000000064336909|SP85[SS1-SS5]|5||0
ES|GUARAPARI|CBL0000000064337044|SP85[SS1-SS4]|4||0
ES|GUARAPARI|CBL0000000064337289|SP85[SS1-SS3]|3||0
ES|GUARAPARI|CBL0000000064337399|SP85[SS1-SS2]|2||0
ES|GUARAPARI|CBL0000000064337440|SP85[SS1]|1||0
ES|GUARAPARI|CBL0000000064343799|SP15[SS1;SS4-SS7]|5||0
ES|GUARAPARI|CBL0000000064344501|SP15[SS1;SS4-SS6]|4||0
ES|GUARAPARI|CBL0000000064345112|SP15[SS1;SS4-SS5]|3||0
ES|GUARAPARI|CBL0000000064346112|SP15[SS1;SS4]|2||0
