UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000069918614;I02G01498;CTO - OPTAP-B 60/40;ESGRI_G1I02;RUA SAO VICENTE GUARAPARI SOL NASCENTE 29210400 ES 60;GUARAPARI;-20.657308700;-40.509791400;G0;ESGRI-I02SP188;ESGRI-I02SP188-SS2
EQP0000000064378888;I02G0510;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA GRANADA GUARAPARI BELA VISTA 29211150 ES 15;GUARAPARI;-20.644937200;-40.518251500;G0;ESGRI-I02SP64;ESGRI-I02SP64-SS5
EQP0000000042937810;I03GP701;TO;ESGRI_G1I03;RUA MANOEL SEVERO SIMOES GUARAPARI CENTRO 29200265 ES 11;GUARAPARI;-20.672355500;-40.498099200;GP;ESGRI-I03SP88;ESGRI-I03SP88-SS5
EQP0000000064489942;I02G0076;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA NOE GUARAPARI BELA VISTA 29211230 ES 146;GUARAPARI;-20.637923100;-40.511432200;G0;ESGRI-I02SP10;ESGRI-I02SP10-SS3
EQP0000000103312308;I02G0788;CTO - OPTAP-B 90/10;ESGRI_G1I02;RUA SANTANA DO IAPO GUARAPARI MUQUICABA 29215020 ES 409;GUARAPARI;-20.660484100;-40.501155500;G0;ESGRI-I02SP99;ESGRI-I02SP99-SS4
EQP0000000042930249;I03GP693;TO;ESGRI_G1I03;RUA MANOEL SEVERO SIMOES GUARAPARI CENTRO 29200265 ES 14;GUARAPARI;-20.672509200;-40.498452300;GP;ESGRI-I03SP87;ESGRI-I03SP87-SS5
EQP0000000064470766;I02G0748;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA MUQUI GUARAPARI MEAIPE 29208270 ES 45;GUARAPARI;-20.646266000;-40.518714200;G0;ESGRI-I02SP94;ESGRI-I02SP94-SS3
EQP0000000069947268;I02G01182;CTO - OPTAP-B 90/10;ESGRI_G1I02;RUA EMILIO SOARES ROCHA GUARAPARI ITAPEBUSSU 29210220 ES 382;GUARAPARI;-20.662194200;-40.509406700;G0;ESGRI-I02SP148;ESGRI-I02SP148-SS6
EQP0000000042937044;I05G088;CTO - PAD TELEFONICA;ESGRI_G1I05;RUA B TREZE GUARAPARI PORTAL 29220130 ES 30;GUARAPARI;-20.626398000;-40.482569500;G0;ESGRI-I05SP11;ESGRI-I05SP11-SS7
EQP0000000064395428;I02G0468;CTO - PAD TELEFONICA - B;ESGRI_G1I02;AVENIDA CIDADE SAUDE GUARAPARI SAO GABRIEL 29213270 ES 206;GUARAPARI;-20.643556900;-40.521203300;G0;ESGRI-I02SP59;ESGRI-I02SP59-SS3
EQP0000000161138553;I03G01892;CTO - OPTAP-B 70/30;ESGRI_G1I03;RUA FRANCISCO LACERDA DE AGUIAR GUARAPARI IPIRANGA 29201270 ES 146;GUARAPARI;-20.676002400;-40.508729200;G0;ESGRI-I03SP237;ESGRI-I03SP237-SS3
EQP0000000064346147;I02G0482;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA DA GLORIA GUARAPARI SAO GABRIEL 29213213 ES 12;GUARAPARI;-20.646085700;-40.519421000;G0;ESGRI-I02SP61;ESGRI-I02SP61-SS1
EQP0000000103303073;I02G0778;CTO - OPTAP-B 90/10;ESGRI_G1I02;RUA MARCILIO DIAS GUARAPARI MUQUICABA 29215130 ES 129;GUARAPARI;-20.663055300;-40.498543300;G0;ESGRI-I02SP98;ESGRI-I02SP98-SS2
EQP0000000064470161;I02G0750;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA MUQUI GUARAPARI MEAIPE 29208270 ES 200;GUARAPARI;-20.645929300;-40.518134200;G0;ESGRI-I02SP94;ESGRI-I02SP94-SS5
EQP0000000064467460;I02G0736;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA LINHARES GUARAPARI SAO GABRIEL 29211360 ES SN;GUARAPARI;-20.644804300;-40.517690300;G0;ESGRI-I02SP92;ESGRI-I02SP92-SS7
EQP0000000064156539;I02G0158;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA MIMOSO DO SUL GUARAPARI BELA VISTA 29211310 ES 70;GUARAPARI;-20.639979100;-40.510951100;G0;ESGRI-I02SP20;ESGRI-I02SP20-SS5
EQP0000000161066943;I03G0162;CTO - OPTAP-B 60/40;ESGRI_G1I03;RUA JOAO BATISTA LIMA GUARAPARI CENTRO 29200330 ES 48;GUARAPARI;-20.671172800;-40.498245900;G0;ESGRI-I03SP21;ESGRI-I03SP21-SS2
EQP0000000063643135;I02G0610;CTO - PAD TELEFONICA - B;ESGRI_G1I02;RUA PIRATININGA GUARAPARI CAMURUGI 29210325 ES 111;GUARAPARI;-20.659769000;-40.516445200;G0;ESGRI-I02SP77;ESGRI-I02SP77-SS1
EQP0000000069549433;I03G02012;CTO - OPTAP-B 80/20;ESGRI_G1I03;RUA ELVIS PRESLEY GUARAPARI CENTRO 29200465 ES 15;GUARAPARI;-20.673392800;-40.509495100;G0;ESGRI-I03SP252;ESGRI-I03SP252-SS4
