UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021271555|OK|SP1-SP4;SP8-SP15;SP22-SP24;SP32-SP37;SP46-SP49;SP51-SP60;SP62-SP68;SP70-SP74;SP80-SP85;SP92-SP96;SP102-SP109;SP118-SP121|70||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021271595|OK|SP1-SP4;SP8-SP15;SP22-SP24;SP32-SP36|20||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021271600|OK|SP109;SP118|2||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021271610|OK|SP37;SP46-SP48|4||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021272989|OK|SP1-SP4|4||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021272994|OK|SP54|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273014|OK|SP85;SP92-SP95|5||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273019|OK|SP85|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273024|OK|SP93|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273029|OK|SP73-SP74;SP80|3||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273034|OK|SP109;SP118-SP119|3||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273039|OK|SP37;SP46-SP49;SP51-SP60;SP62-SP63|17||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273044|OK|SP37;SP46-SP49;SP51-SP54|9||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273049|OK|SP13-SP15;SP22-SP24|6||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273054|OK|SP37|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273059|OK|SP37;SP46-SP49;SP51-SP60|15||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273064|OK|SP70|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273069|OK|SP85;SP92-SP96|6||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273074|OK|SP73-SP74;SP80-SP82|5||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273079|OK|SP73-SP74|2||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273084|OK|SP70-SP72|3||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273089|OK|SP109|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273101|OK|SP73-SP74;SP80-SP85;SP92-SP96;SP102-SP108|20||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273146|OK|SP92|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273151|OK|SP120|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273156|OK|SP73-SP74;SP80-SP85;SP92-SP96;SP102-SP105|17||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273161|OK|SP37;SP46-SP49;SP51-SP59|14||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273166|OK|SP37;SP46-SP49;SP51-SP57|12||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273171|OK|SP8|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273206|OK|SP73-SP74;SP80-SP84|7||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273211|OK|SP53|1||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273216|OK|SP1-SP4;SP8-SP15;SP22-SP24;SP32-SP33|17||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273221|OK|SP37;SP46-SP49;SP51-SP60;SP62-SP64|18||0
SC|IMBITUBA|SCIMA_G1I01|TR 1|CBL0000000021273236|OK|SP37;SP46-SP49;SP51-SP60;SP62-SP68|22||0
