UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
SC|IMBITUBA|CBL0000000021271535|SP193[SS1-SS8]|8||0
SC|IMBITUBA|CBL0000000021271540|SP55[SS2]|1||0
SC|IMBITUBA|CBL0000000021271545|SP63[SS1-SS2]|2||0
SC|IMBITUBA|CBL0000000021273296|SP175[SS1]|1||0
SC|IMBITUBA|CBL0000000021273301|SP176[SS3]|1||0
SC|IMBITUBA|CBL0000000021273306|SP204[SS1-SS2]|2||0
SC|IMBITUBA|CBL0000000021273311|SP156[SS1]|1||0
SC|IMBITUBA|CBL0000000021273316|SP155[SS1]|1||0
SC|IMBITUBA|CBL0000000021273321|SP155[SS2]|1||0
SC|IMBITUBA|CBL0000000021273326|SP156[SS2]|1||0
SC|IMBITUBA|CBL0000000021273331|SP162[SS1]|1||0
SC|IMBITUBA|CBL0000000021273336|SP176[SS4]|1||0
SC|IMBITUBA|CBL0000000021273341|SP64[SS4]|1||0
SC|IMBITUBA|CBL0000000021273346|SP8[SS1]|1||0
SC|IMBITUBA|CBL0000000021273351|SP70[SS1]|1||0
SC|IMBITUBA|CBL0000000021273356|SP93[SS2]|1||0
SC|IMBITUBA|CBL0000000021273361|SP92[SS1]|1||0
SC|IMBITUBA|CBL0000000021273366|SP175[SS2]|1||0
SC|IMBITUBA|CBL0000000021273371|SP175[SS3]|1||0
SC|IMBITUBA|CBL0000000021273376|SP93[SS4]|1||0
SC|IMBITUBA|CBL0000000021273381|SP214[SS2]|1||0
SC|IMBITUBA|CBL0000000021273386|SP92[SS2]|1||0
SC|IMBITUBA|CBL0000000021273391|SP176[SS2]|1||0
SC|IMBITUBA|CBL0000000021273396|SP162[SS4]|1||0
SC|IMBITUBA|CBL0000000021273401|SP93[SS1]|1||0
SC|IMBITUBA|CBL0000000021273406|SP62[SS1-SS4]|4||0
SC|IMBITUBA|CBL0000000021273411|SP54[SS1]|1||0
SC|IMBITUBA|CBL0000000021273416|SP162[SS3]|1||0
SC|IMBITUBA|CBL0000000021273421|SP175[SS4]|1||0
SC|IMBITUBA|CBL0000000021273426|SP180[SS2]|1||0
SC|IMBITUBA|CBL0000000021273431|SP180[SS1]|1||0
SC|IMBITUBA|CBL0000000021273436|SP176[SS1]|1||0
SC|IMBITUBA|CBL0000000021273441|SP64[SS6]|1||0
SC|IMBITUBA|CBL0000000021273446|SP54[SS2]|1||0
SC|IMBITUBA|CBL0000000021273451|SP11[SS1-SS2]|2||0
SC|IMBITUBA|CBL0000000021273456|SP36[SS1]|1||0
SC|IMBITUBA|CBL0000000021273461|SP168[SS2]|1||0
SC|IMBITUBA|CBL0000000021273466|SP162[SS2]|1||0
SC|IMBITUBA|CBL0000000021273471|SP201[SS1-SS2]|2||0
SC|IMBITUBA|CBL0000000021274828|SP194[SS1-SS2]|2||0
