UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991019|I01GP281|1|CBL0000000021273456|49488_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|151.4|CAIXA DE EMENDA GENERICA 57|EQP0000000011991011|I01GP281|EQP0000000011991019|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|1|CBL0000000021280670|49836_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|62.54|CAIXA DE EMENDA GENERICA 57|EQP0000000011991011|I01G0280|EQP0000000011991053|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|2|CBL0000000021280580|49818_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|151.38|I01G0280|EQP0000000011991053|I01G0279|EQP0000000011991054|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|3|CBL0000000021280495|49801_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|187.38|I01G0278|EQP0000000011991055|I01G0279|EQP0000000011991054|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|4|CBL0000000021284074|49963_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|259.27|I01G0278|EQP0000000011991055|I01G0277|EQP0000000012009836|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|5|CBL0000000021280330|49769_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|331.75|I01G0277|EQP0000000012009836|I01G0276|EQP0000000011991039|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|6|CBL0000000021284054|49959_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|242.58|I01G0276|EQP0000000011991039|I01G0275|EQP0000000011991037|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|7|CBL0000000021280660|49834_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|291.43|I01G0275|EQP0000000011991037|I01G0274|EQP0000000011991038|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991023|I01GP273|8|CBL0000000021274983|49523_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|66.23|I01G0274|EQP0000000011991038|I01GP273|EQP0000000011991023|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991037|I01G0275|1|CBL0000000021280670|49836_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|62.54|CAIXA DE EMENDA GENERICA 57|EQP0000000011991011|I01G0280|EQP0000000011991053|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991037|I01G0275|2|CBL0000000021280580|49818_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|151.38|I01G0280|EQP0000000011991053|I01G0279|EQP0000000011991054|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991037|I01G0275|3|CBL0000000021280495|49801_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|187.38|I01G0278|EQP0000000011991055|I01G0279|EQP0000000011991054|1
SC|IMBITUBA|SCIMA_G1I01|TR 1|Secundario|LOC0000000011611223|78257|EQP0000000011991011|CAIXA DE EMENDA GENERICA 57|EQP0000000011991037|I01G0275|4|CBL0000000021284074|49963_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|259.27|I01G0278|EQP0000000011991055|I01G0277|EQP0000000012009836|1
