UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000011990803;I01G01264;CTO - OPTAP;SCIMA_G1I01;AVENIDA ESTRELA IMBITUBA VILA NOVA 88780000 SC 520;IMBITUBA;-28.266535000;-48.688619100;G0;SCIMA-I01SP158;SCIMA-I01SP158-SS7;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/14
EQP0000000011990803;I01G01264;CTO - OPTAP;SCIMA_G1I01;AVENIDA ESTRELA IMBITUBA VILA NOVA 88780000 SC 520;IMBITUBA;-28.266535000;-48.688619100;G0;SCIMA-I01SP158;SCIMA-I01SP158-SS8;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/14
EQP0000000011990813;I01G01254;CTO - OPTAP;SCIMA_G1I01;RUA BENITO RUIZ IMBITUBA VILA NOVA 88780000 SC 119;IMBITUBA;-28.265062200;-48.689990300;G0;SCIMA-I01SP157;SCIMA-I01SP157-SS5;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/13
EQP0000000011990813;I01G01254;CTO - OPTAP;SCIMA_G1I01;RUA BENITO RUIZ IMBITUBA VILA NOVA 88780000 SC 119;IMBITUBA;-28.265062200;-48.689990300;G0;SCIMA-I01SP157;SCIMA-I01SP157-SS6;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/13
EQP0000000011991120;I01G0012;CTO - OPTAP;SCIMA_G1I01;Rua ORLANDO MANOEL IDALINO IMBITUBA VILA NOVA 88780000 SC 124;IMBITUBA;-28.211739000;-48.672589500;G0;SCIMA-I01SP2;SCIMA-I01SP2-SS3;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/1/2
EQP0000000011991120;I01G0012;CTO - OPTAP;SCIMA_G1I01;Rua ORLANDO MANOEL IDALINO IMBITUBA VILA NOVA 88780000 SC 124;IMBITUBA;-28.211739000;-48.672589500;G0;SCIMA-I01SP2;SCIMA-I01SP2-SS4;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/1/2
EQP0000000012009697;I01G01522;CTO - OPTAP;SCIMA_G1I01;RUA PEDRO ANTONIO GONCALVES IMBITUBA VILA SANTO ANTONIO 88780000 SC 246;IMBITUBA;-28.260890000;-48.695596200;G0;SCIMA-I01SP191;SCIMA-I01SP191-SS1;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/15
EQP0000000012009697;I01G01522;CTO - OPTAP;SCIMA_G1I01;RUA PEDRO ANTONIO GONCALVES IMBITUBA VILA SANTO ANTONIO 88780000 SC 246;IMBITUBA;-28.260890000;-48.695596200;G0;SCIMA-I01SP191;SCIMA-I01SP191-SS2;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/15
EQP0000000011990801;I01G01260;CTO - OPTAP;SCIMA_G1I01;RUA MANOEL SERAFIM IMBITUBA VILA NOVA 88780000 SC 530;IMBITUBA;-28.267625700;-48.690323100;G0;SCIMA-I01SP158;SCIMA-I01SP158-SS3;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/14
EQP0000000011990801;I01G01260;CTO - OPTAP;SCIMA_G1I01;RUA MANOEL SERAFIM IMBITUBA VILA NOVA 88780000 SC 530;IMBITUBA;-28.267625700;-48.690323100;G0;SCIMA-I01SP158;SCIMA-I01SP158-SS4;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/14
EQP0000000011990853;I01G01228;CTO - OPTAP;SCIMA_G1I01;RUA SIDEROPOLIS IMBITUBA VILA NOVA 88780000 SC 219;IMBITUBA;-28.268131500;-48.691987000;G0;SCIMA-I01SP154;SCIMA-I01SP154-SS3;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/10
EQP0000000011990853;I01G01228;CTO - OPTAP;SCIMA_G1I01;RUA SIDEROPOLIS IMBITUBA VILA NOVA 88780000 SC 219;IMBITUBA;-28.268131500;-48.691987000;G0;SCIMA-I01SP154;SCIMA-I01SP154-SS4;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/5/10
EQP0000000011991211;I01G01846;CTO - OPTAP;SCIMA_G1I01;RUA NEREU RAMOS IMBITUBA CENTRO 88780000 SC 1064;IMBITUBA;-28.242229400;-48.671163700;G0;SCIMA-I01SP231;SCIMA-I01SP231-SS6;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/8/8
EQP0000000011991211;I01G01846;CTO - OPTAP;SCIMA_G1I01;RUA NEREU RAMOS IMBITUBA CENTRO 88780000 SC 1064;IMBITUBA;-28.242229400;-48.671163700;G0;SCIMA-I01SP231;SCIMA-I01SP231-SS5;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/8/8
EQP0000000011990732;I01G01506;CTO - OPTAP;SCIMA_G1I01;RUA PEDRO BITENCOURT IMBITUBA   88780000 SC SN;IMBITUBA;-28.262021100;-48.703330300;G0;SCIMA-I01SP189;SCIMA-I01SP189-SS1;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/13
EQP0000000011990732;I01G01506;CTO - OPTAP;SCIMA_G1I01;RUA PEDRO BITENCOURT IMBITUBA   88780000 SC SN;IMBITUBA;-28.262021100;-48.703330300;G0;SCIMA-I01SP189;SCIMA-I01SP189-SS2;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/6/13
EQP0000000011990961;I01G0562;CTO - OPTAP;SCIMA_G1I01;AVENIDA SANTA CATARINA IMBITUBA CENTRO 88780000 SC 125;IMBITUBA;-28.236564000;-48.663533600;G0;SCIMA-I01SP71;SCIMA-I01SP71-SS2;IMA_I01_1_GPON_VLAN_100_101_102-ALC;1/1/3/12
