UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048652587|OK|SP289-SP301;SP303-SP305;SP308-SP309;SP312-SP326;SP328-SP359|65||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048656008|OK|SP289-SP301;SP303-SP305;SP308-SP309;SP312-SP326;SP328-SP359|65||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048656698|OK|SP289-SP301;SP303-SP305;SP308-SP309;SP312-SP326;SP328-SP359|65||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048659210|OK|SP353-SP354|2||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048672134|OK|SP349-SP352|4||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048672593|OK|SP349-SP350|2||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048674554|OK|SP289-SP301;SP303-SP305;SP308-SP309;SP312-SP326;SP328-SP348;SP358-SP359|56||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048677126|OK|SP289-SP301;SP303-SP305;SP308-SP309;SP312-SP326;SP328-SP346;SP358-SP359|54||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048678071|OK|SP339-SP344|6||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048678584|OK|SP341-SP342|2||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048681455|OK|SP339-SP340|2||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048682397|OK|SP289-SP301;SP303-SP305;SP308-SP309;SP312-SP326;SP328-SP338;SP358-SP359|46||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048687424|OK|SP289-SP301;SP303-SP305;SP308-SP309;SP312-SP326;SP328-SP336;SP358-SP359|44||0
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|CBL0000000048750817|OK|SP332-SP333;SP359|3||0
