UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|1.0|CBL0000000048652587|AMMNS_G1I01F1I01-AMMNSFIST-70&AMMNS-I01-SP289-432F3I01-AMMNSFIST-70|CFOA-SM-AS-80G-144|144|Dutos|6.36|DGO3_BR-AMMNS01|EQP0000000074474794|I01-AMMNSFIST-70|EQP0000000048652571|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|2.0|CBL0000000048656008|AMMNS-I01-SP289-360F3I01-AMMNSFOSC-71|CFOA-SM-AS-80G-72|72|Dutos;Autossustentável;Cordoalha|1109.65|I01-AMMNSFIST-70|EQP0000000048652571|I01-AMMNSFOSC-71|EQP0000000048653855|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|3.0|CBL0000000048656698|AMMNS-I01-SP289-360F3I01-AMMNSFOSC-43|CFOA-SM-AS-80G-72|72|Cordoalha;Autossustentável|1068.15|I01-AMMNSFOSC-71|EQP0000000048653855|I01-AMMNSFOSC-43|EQP0000000041039213|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|4.0|CBL0000000048674554|AMMNS-I01-SP289-348F3I01-AMMNSFOSC-47|CFOA-SM-AS-80G-72|72|Autossustentável|229.07|I01-AMMNSFOSC-43|EQP0000000041039213|I01-AMMNSFOSC-47|EQP0000000045506142|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|5.0|CBL0000000048677126|AMMNS-I01-SP289-346F3I01-AMMNSFOSC-48|CFOA-SM-AS-80G-72|72|Autossustentável|306.71|I01-AMMNSFOSC-47|EQP0000000045506142|I01-AMMNSFOSC-48|EQP0000000040391035|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|6.0|CBL0000000048682397| AMMNS-I01-SP289-338F3I01-AMMNSFOSC-52|CFOA-SM-AS-80G-72|72|Autossustentável|834.51|I01-AMMNSFOSC-48|EQP0000000040391035|I01-AMMNSFOSC-52|EQP0000000040833435|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|7.0|CBL0000000048687424|AMMNS-I01-SP289-336F3I01-AMMNSFOSC-53|CFOA-SM-AS-80G-72|72|Autossustentável|525.45|I01-AMMNSFOSC-52|EQP0000000040833435|I01-AMMNSFOSC-53|EQP0000000041217174|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|8.0|CBL0000000048750833|AMMNS-I01-SP289-331F3I01-AMMNSFOSC-55|CFOA-SM-AS-80G-72|72|Autossustentável|883.94|I01-AMMNSFOSC-53|EQP0000000041217174|I01-AMMNSFOSC-55|EQP0000000040297074|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|9.0|CBL0000000048750837|AMMNS-I01-SP289-327F3I01-AMMNSFOSC-56|CFOA-SM-AS-80G-72|72|Autossustentável|706.48|I01-AMMNSFOSC-55|EQP0000000040297074|I01-AMMNSHUB-56|EQP0000000040267371|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|10.0|CBL0000000048750875|AMMNS-I01-SP289-324F3I01-AMMNSFOSC-57|CFOA-SM-AS-80G-72|72|Autossustentável|519.7|I01-AMMNSHUB-56|EQP0000000040267371|I01-AMMNSFOSC-57|EQP0000000040098518|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|11.0|CBL0000000048751021|AMMNS-I01-SP289-320F3I01-AMMNSFOSC-59|CFOA-SM-AS-80G-72|72|Autossustentável|249.01|I01-AMMNSFOSC-57|EQP0000000040098518|I01-AMMNSFOSC-59|EQP0000000040338592|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|12.0|CBL0000000048753879|AMMNS-I01-SP289-316F3I01-AMMNSFOSC-60|CFOA-SM-AS-80G-36|36|Autossustentável|287.92|I01-AMMNSFOSC-59|EQP0000000040338592|I01-AMMNSFOSC-60|EQP0000000040385565|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|13.0|CBL0000000048754114|AMMNS-I01-SP289-312F3I01-AMMNSHUB-62|CFOA-SM-AS-80G-36|36|Autossustentável|371.64|I01-AMMNSFOSC-60|EQP0000000040385565|I01-AMMNSHUB-62|EQP0000000040701836|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|14.0|CBL0000000048754274|AMMNS-I01-SP289-309F3I01-AMMNSFOSC-63|CFOA-SM-AS-80G-36|36|Autossustentável|129.23|I01-AMMNSHUB-62|EQP0000000040701836|I01-AMMNSFOSC-63|EQP0000000048754116|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|15.0|CBL0000000048755172| AMMNS-I01-SP289-302F3I01-AMMNSHUB-64|CFO-SM-AS80S-RA-24|24|Autossustentável|134.73|I01-AMMNSFOSC-63|EQP0000000048754116|I01-AMMNSHUB-64|EQP0000000040212307|2
AM|MANAUS|AMMNS_G1I01|DGO3_BR-AMMNS01|Primario|LOC0000000028975052|AMMNS_G1I01|EQP0000000074474794|DGO3_BR-AMMNS01|EQP0000000040061418|I01-AMMNSFOSC-65|16.0|CBL0000000048755239|AMMNS-I01-SP289-298F3I01-AMMNSFOSC-65|CFO-SM-AS80S-RA-24|24|Autossustentável|486.85|I01-AMMNSHUB-64|EQP0000000040212307|I01-AMMNSFOSC-65|EQP0000000040061418|2
