UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
AM|MANAUS|CBL0000000040068688|SP297[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040068786|SP297[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040068792|SP297[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040068970|SP297[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040069005|SP297[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040069047|SP297[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040069118|SP297[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040069209|SP297[SS1]|1||0
AM|MANAUS|CBL0000000040071781|SP298[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040071884|SP298[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040072019|SP298[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040072131|SP298[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040072305|SP298[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040072376|SP298[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040072408|SP298[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040072506|SP298[SS1]|1||0
AM|MANAUS|CBL0000000040089123|SP308[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040089154|SP308[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040089156|SP308[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040089185|SP308[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040089233|SP308[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040089235|SP308[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040089262|SP308[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040089357|SP308[SS1]|1||0
AM|MANAUS|CBL0000000040091365|SP294[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040091600|SP294[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040091806|SP294[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040093335|SP294[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040093498|SP294[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040093580|SP294[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040093679|SP294[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040093726|SP294[SS1]|1||0
AM|MANAUS|CBL0000000040093953|SP309[SS2-SS8]|7||0
AM|MANAUS|CBL0000000040093954|SP309[SS2-SS7]|6||0
AM|MANAUS|CBL0000000040094075|SP309[SS2-SS6]|5||0
AM|MANAUS|CBL0000000040094076|SP309[SS2-SS5]|4||0
AM|MANAUS|CBL0000000040094077|SP309[SS2-SS4]|3||0
AM|MANAUS|CBL0000000040094116|SP309[SS2-SS3]|2||0
AM|MANAUS|CBL0000000040094117|SP309[SS2]|1||0
AM|MANAUS|CBL0000000040094762|SP295[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040094781|SP295[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040094809|SP295[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040094838|SP295[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040094839|SP295[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040094852|SP295[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040095067|SP295[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040095155|SP295[SS1]|1||0
AM|MANAUS|CBL0000000040097861|SP305[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040097923|SP305[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040098037|SP305[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040098054|SP305[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040098163|SP305[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040098192|SP305[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040098247|SP305[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040098251|SP305[SS1]|1||0
AM|MANAUS|CBL0000000040098952|SP296[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040098954|SP296[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040098982|SP296[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040098983|SP296[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040098985|SP296[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040099069|SP296[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040099096|SP296[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040099151|SP296[SS1]|1||0
AM|MANAUS|CBL0000000040101060|SP323[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040101099|SP323[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040101100|SP323[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040101128|SP323[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040101129|SP323[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040101157|SP323[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040101196|SP323[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040101197|SP323[SS1]|1||0
AM|MANAUS|CBL0000000040102146|SP324[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040102175|SP324[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040102182|SP324[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040102188|SP324[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040102193|SP324[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040102195|SP324[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040102197|SP324[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040102200|SP324[SS1]|1||0
AM|MANAUS|CBL0000000040102201|SP289[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040102204|SP289[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040102282|SP289[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040102285|SP289[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040102328|SP289[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040102406|SP289[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040102445|SP289[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040102486|SP289[SS1]|1||0
AM|MANAUS|CBL0000000040105238|SP206[SS2-SS8]|7||0
AM|MANAUS|CBL0000000040105239|SP206[SS2-SS7]|6||0
AM|MANAUS|CBL0000000040105240|SP206[SS2-SS6]|5||0
AM|MANAUS|CBL0000000040105241|SP206[SS2-SS5]|4||0
AM|MANAUS|CBL0000000040105242|SP206[SS2-SS4]|3||0
AM|MANAUS|CBL0000000040105243|SP206[SS2-SS3]|2||0
AM|MANAUS|CBL0000000040105244|SP206[SS2]|1||0
AM|MANAUS|CBL0000000040110320|SP208[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040110416|SP208[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040111397|SP208[SS1-SS6]|6||0
AM|MANAUS|CBL0000000040111562|SP208[SS1-SS5]|5||0
AM|MANAUS|CBL0000000040111720|SP208[SS1-SS4]|4||0
AM|MANAUS|CBL0000000040111811|SP208[SS1-SS3]|3||0
AM|MANAUS|CBL0000000040111878|SP208[SS1-SS2]|2||0
AM|MANAUS|CBL0000000040112149|SP208[SS1]|1||0
AM|MANAUS|CBL0000000040116560|SP207[SS2-SS8]|7||0
AM|MANAUS|CBL0000000040117640|SP207[SS2-SS7]|6||0
AM|MANAUS|CBL0000000040119432|SP207[SS2-SS6]|5||0
AM|MANAUS|CBL0000000040119463|SP207[SS2-SS5]|4||0
AM|MANAUS|CBL0000000040119544|SP207[SS2-SS4]|3||0
AM|MANAUS|CBL0000000040119748|SP207[SS2-SS3]|2||0
AM|MANAUS|CBL0000000040120291|SP207[SS2]|1||0
AM|MANAUS|CBL0000000040159774|SP321[SS1-SS8]|8||0
AM|MANAUS|CBL0000000040159974|SP321[SS1-SS7]|7||0
AM|MANAUS|CBL0000000040160124|SP321[SS1-SS6]|6||0
