UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000029463073;M04GP524;TO;AMMNS_G1M04;AVENIDA SENADOR RAIMUNDO PARENTE MANAUS ALVORADA 69048662 AM 70;MANAUS;-3.070066800;-60.028983100;GP;AMMNS-M04SP66;S8_1;MNS_M04_1_GPON_VLAN_106_107_108-ALC;1/1/2/14
EQP0000000088014723;N02G01759;CTO - OPTAP-B 90/10;AMMNS_G1N02;RUA GENERAL GLICERIO MANAUS CACHOEIRINHA 69065140 AM 456;MANAUS;-3.130166000;-60.009109200;G0;AMMNS-N02SP220;AMMNS-N02SP220-SS7;MNS_N02_2_GPON_VLAN_121_122_123-ALC;1/1/2/1
EQP0000000029451744;I01GP1991;TO;AMMNS_G1I01;AVENIDA ANDRE ARAUJO MANAUS ALEIXO 69060000 AM 1423;MANAUS;-3.103540200;-59.999199100;GP;;AMMNS-I01SP248-SS4;;
EQP0000000029451744;I01GP1991;TO;AMMNS_G1I01;AVENIDA ANDRE ARAUJO MANAUS ALEIXO 69060000 AM 1423;MANAUS;-3.103540200;-59.999199100;GP;;AMMNS-I01SP249-SS4;;
EQP0000000029451744;I01GP1991;TO;AMMNS_G1I01;AVENIDA ANDRE ARAUJO MANAUS ALEIXO 69060000 AM 1423;MANAUS;-3.103540200;-59.999199100;GP;;AMMNS-I01SP249-SS5;;
EQP0000000029451744;I01GP1991;TO;AMMNS_G1I01;AVENIDA ANDRE ARAUJO MANAUS ALEIXO 69060000 AM 1423;MANAUS;-3.103540200;-59.999199100;GP;;AMMNS-I01SP249-SS6;;
EQP0000000029451744;I01GP1991;TO;AMMNS_G1I01;AVENIDA ANDRE ARAUJO MANAUS ALEIXO 69060000 AM 1423;MANAUS;-3.103540200;-59.999199100;GP;;AMMNS-I01SP249-SS3;;
EQP0000000029451744;I01GP1991;TO;AMMNS_G1I01;AVENIDA ANDRE ARAUJO MANAUS ALEIXO 69060000 AM 1423;MANAUS;-3.103540200;-59.999199100;GP;AMMNS-I01SP249;AMMNS-I01SP249-SS7;MNS_I01_2_GPON_VLAN_103_104_105-ALC;1/1/5/3
EQP0000000029462216;I05GPC1442;TO;AMMNS_G1I05;RUA DA PROSPERIDADE MANAUS DOM PEDRO I 69040745 AM 423;MANAUS;-3.087030200;-60.056161500;GP;AMMNS-I05SP181;AMMNS-I05SP181-SS2;MNS_I05_1_GPON_VLAN_124_125_126-ALC;1/1/7/16
EQP0000000088013447;N02G0160;CTO - OPTAP-B 90/10;AMMNS_G1N02;AVENIDA CONSTANTINO NERY MANAUS PRESIDENTE VARGAS 69025315 AM 295;MANAUS;-3.122026400;-60.026896900;G0;AMMNS-N02SP20;AMMNS-N02SP20-SS8;MNS_N02_1_GPON_VLAN_118_119_120-ALC;1/1/1/15
EQP0000000087603945;I01G0180;CTO - OPTAP-B 90/10;AMMNS_G1I01;RUA RIO JAVARI MANAUS NOSSA SENHORA DAS GRACAS 69053110 AM SN;MANAUS;-3.103773300;-60.022964600;G0;AMMNS-I01SP23;AMMNS-I01SP23-SS4;BR-AMMNS01-OLT03-NK;1/1/3/7
EQP0000000088072606;N02G0322;CTO - OPTAP-B 90/10;AMMNS_G1N02;AVENIDA LEONARDO MALCHER MANAUS NOSSA SENHORA APARECIDA 69010455 AM 1588;MANAUS;-3.126142000;-60.017039000;G0;AMMNS-N02SP41;AMMNS-N02SP41-SS2;MNS_N02_1_GPON_VLAN_118_119_120-ALC;1/1/3/4
