UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|SANTA MARIA DE JETIBA|CBL0000000070408889|SP56[SS3-SS8]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070409583|SP56[SS3-SS7]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070410222|SP56[SS3-SS6]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070410904|SP56[SS3-SS5]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070411133|SP50[SS1-SS8]|8||0
ES|SANTA MARIA DE JETIBA|CBL0000000070411396|SP56[SS3-SS4]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070411398|SP50[SS1-SS7]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070411633|SP50[SS1-SS6]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070411901|SP50[SS1-SS5]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070412029|SP56[SS3]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070412087|SP50[SS1-SS4]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070412304|SP50[SS1-SS3]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070412767|SP50[SS1-SS2]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070412828|SP57[SS3-SS8]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070412834|SP50[SS1]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070413088|SP57[SS3-SS7]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070413580|SP51[SS2-SS8]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070413582|SP57[SS3-SS6]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070413696|SP51[SS2-SS7]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070413926|SP51[SS2-SS6]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070413999|SP57[SS3-SS5]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070414273|SP51[SS2-SS5]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070414426|SP51[SS2-SS4]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070414779|SP57[SS3-SS4]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070415075|SP51[SS2-SS4]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070415605|SP57[SS3]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070415746|SP49[SS2-SS8]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070416296|SP49[SS2-SS7]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070416574|SP49[SS2-SS6]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070416663|SP58[SS2-SS8]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070416788|SP49[SS2-SS5]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070416845|SP49[SS2-SS4]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070416887|SP58[SS2-SS7]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070417019|SP49[SS2-SS3]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070417203|SP49[SS2]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070417262|SP58[SS2-SS6]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070417771|SP58[SS2-SS5]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070418086|SP58[SS2-SS4]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070418430|SP58[SS2-SS3]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070418530|SP47[SS1-SS8]|8||0
ES|SANTA MARIA DE JETIBA|CBL0000000070418806|SP47[SS1-SS7]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070419169|SP58[SS2]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070419195|SP47[SS1-SS6]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070419418|SP47[SS1-SS5]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070419899|SP59[SS2-SS8]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070419902|SP47[SS1-SS4]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070420195|SP47[SS1-SS3]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070420355|SP47[SS1-SS2]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070420428|SP59[SS2-SS7]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070420675|SP47[SS1]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070420806|SP59[SS2-SS6]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070421223|SP48[SS1-SS8]|8||0
ES|SANTA MARIA DE JETIBA|CBL0000000070421827|SP48[SS1-SS7]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070422098|SP48[SS1-SS6]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070422164|SP59[SS2-SS5]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070422418|SP48[SS1-SS5]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070422642|SP59[SS2-SS4]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070422708|SP48[SS1-SS4]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070422907|SP48[SS1-SS3]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070422964|SP59[SS2-SS3]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070423160|SP48[SS1-SS2]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070423349|SP59[SS2]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070423499|SP48[SS1]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070426234|SP46[SS1-SS8]|8||0
ES|SANTA MARIA DE JETIBA|CBL0000000070426471|SP46[SS1-SS6]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070427173|SP46[SS1-SS4]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070427496|SP46[SS1-SS2]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070427803|SP45[SS1-SS8]|8||0
ES|SANTA MARIA DE JETIBA|CBL0000000070427930|SP45[SS1-SS7]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070427996|SP45[SS1-SS6]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070428090|SP45[SS1-SS5]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070428360|SP45[SS1-SS4]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070428660|SP45[SS1-SS3]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070428862|SP45[SS1-SS2]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070428989|SP55[SS2-SS8]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070429021|SP45[SS1]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070429278|SP54[SS3-SS8]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070430034|SP53[SS1-SS8]|8||0
ES|SANTA MARIA DE JETIBA|CBL0000000070430064|SP44[SS3-SS8]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070430220|SP44[SS3-SS7]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070430388|SP55[SS2-SS7]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070430408|SP44[SS3-SS6]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070430755|SP44[SS3-SS5]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070430907|SP52[SS2-SS8]|7||0
ES|SANTA MARIA DE JETIBA|CBL0000000070431109|SP44[SS3-SS4]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070431257|SP44[SS3]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070431675|SP52[SS2-SS7]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070431909|SP42[SS3-SS8]|6||0
ES|SANTA MARIA DE JETIBA|CBL0000000070432632|SP42[SS3-SS7]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070432635|SP52[SS2-SS6]|5||0
ES|SANTA MARIA DE JETIBA|CBL0000000070432907|SP42[SS3-SS6]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070433197|SP52[SS2-SS5]|4||0
ES|SANTA MARIA DE JETIBA|CBL0000000070433371|SP42[SS3-SS5]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070433529|SP52[SS2-SS4]|3||0
ES|SANTA MARIA DE JETIBA|CBL0000000070433534|SP42[SS3-SS4]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070433745|SP52[SS2-SS3]|2||0
ES|SANTA MARIA DE JETIBA|CBL0000000070433775|SP42[SS3]|1||0
ES|SANTA MARIA DE JETIBA|CBL0000000070434111|SP52[SS2]|1||0
