UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552739|PT_ESSMJ68|EQP0000000070040030|ESSMJI01-SP4|EQP0000000070042259|I01GP25|1|CBL0000000070554184|FB-SP4FGPONI01GP25|DROP 12F 5MM-12|12|Em fachada;Cordoalha|141.38|ESSMJI01-SP4|EQP0000000070040030|I01GP25|EQP0000000070042259|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070014250|I01GP67|1|CBL0000000072203798|FB-SP9FGPONI01GP67|DROP 12F 5MM-12|12|Cordoalha;Em fachada|70.92|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|I01GP67|EQP0000000070014250|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070015155|I01G0048|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|98.19|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|I01G0048|EQP0000000070015155|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070016315|I01G0047|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|98.19|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|I01G0048|EQP0000000070015155|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070016315|I01G0047|2|CBL0000000070544219|FB-SP6FGPONI01G0047|DROP 12F 5MM-12|12|Cordoalha|26.91|I01G0048|EQP0000000070015155|I01G0047|EQP0000000070016315|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070017231|I01G0046|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|98.19|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|I01G0048|EQP0000000070015155|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070017231|I01G0046|2|CBL0000000070544219|FB-SP6FGPONI01G0047|DROP 12F 5MM-12|12|Cordoalha|26.91|I01G0048|EQP0000000070015155|I01G0047|EQP0000000070016315|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070017231|I01G0046|3|CBL0000000070544368|FB-SP6FGPONI01G0046|DROP 12F 5MM-12|12|Cordoalha|82.98|I01G0047|EQP0000000070016315|I01G0046|EQP0000000070017231|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070018111|I01G0045|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|98.19|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|I01G0048|EQP0000000070015155|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070018111|I01G0045|2|CBL0000000070544219|FB-SP6FGPONI01G0047|DROP 12F 5MM-12|12|Cordoalha|26.91|I01G0048|EQP0000000070015155|I01G0047|EQP0000000070016315|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070018111|I01G0045|3|CBL0000000070544368|FB-SP6FGPONI01G0046|DROP 12F 5MM-12|12|Cordoalha|82.98|I01G0047|EQP0000000070016315|I01G0046|EQP0000000070017231|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070018111|I01G0045|4|CBL0000000070544455|FB-SP6FGPONI01G0045|DROP 12F 5MM-12|12|Cordoalha|114.26|I01G0046|EQP0000000070017231|I01G0045|EQP0000000070018111|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|Secundario|LOC0000000064552971|PT_ESSMJ96|EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070018530|I01G0044|1|CBL0000000070544095|FB-SP6FGPONI01G0048|DROP 12F 5MM-12|12|Cordoalha|98.19|ESSMJI01-SP5-SP6-SP7-SP8-SP9|EQP0000000070012400|I01G0048|EQP0000000070015155|1
