IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000229531819|||||||||||||||EQP0000000230547664|I01GP275|LOC0000000064684714|MDU|ESSMJ(17)_1652|-20.020481500|-40.746842800|EQP0000000229531133|I01GP274|LOC0000000064684714|MDU|ESSMJ(17)_1652|-20.020481500|-40.746842800|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070538250|||||||||||||||EQP0000000070003429|ESSMJ-I01-SP26-SP27-SP28-SP29|LOC0000000064554582|Poste|PT_ESSMJ323|-20.024319800|-40.745747800|EQP0000000070004000|I01G0216|LOC0000000064554582|Poste|PT_ESSMJ323|-20.024319800|-40.745747800|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000229536202|||||||||||||||EQP0000000229535086|I01GP402|LOC0000000064688841|MDU|EDIFICIO GOUD LEEVEND_37|-20.014025500|-40.744638800|EQP0000000229535183|I01GP401|LOC0000000064688841|MDU|EDIFICIO GOUD LEEVEND_37|-20.014025500|-40.744638800|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070542238|||||||||||||||EQP0000000070011013|ESSMJ-I01-SP17-SP18-SP19-SP20|LOC0000000064554339|Poste|PT_ESSMJ287|-20.025998300|-40.743800600|EQP0000000070011823|I01G0152|LOC0000000064554339|Poste|PT_ESSMJ287|-20.025998300|-40.743800600|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070545958|||||||||||||||EQP0000000070012400|ESSMJI01-SP5-SP6-SP7-SP8-SP9|LOC0000000064552971|Poste|PT_ESSMJ96|-20.029806900|-40.741046300|EQP0000000070035607|I01G0064|LOC0000000064552971|Poste|PT_ESSMJ96|-20.029806900|-40.741046300|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070539460|||||||||||||||EQP0000000070012024|ESSMJ-I01-SP21-SP22-SP23-SP24-SP25|LOC0000000064554886|Poste|PT_ESSMJ360|-20.023578000|-40.745482500|EQP0000000070013347|I01G0184|LOC0000000064554886|Poste|PT_ESSMJ360|-20.023578000|-40.745482500|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070413580|||||||||||||||EQP0000000069947197|ESSMJ-I01-SP49-SP50-SP51|LOC0000000064553417|Poste|PT_ESSMJ1144|-20.014642000|-40.745691300|EQP0000000069945803|I01G0408|LOC0000000064553417|Poste|PT_ESSMJ1144|-20.014642000|-40.745691300|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000229536063|||||||||||||||EQP0000000070414780|I01GP403|LOC0000000064688841|MDU|EDIFICIO GOUD LEEVEND_37|-20.014025500|-40.744638800|EQP0000000229535086|I01GP402|LOC0000000064688841|MDU|EDIFICIO GOUD LEEVEND_37|-20.014025500|-40.744638800|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070538248|||||||||||||||EQP0000000070010479|ESSMJ-I01-SP31-SP32-SP33|LOC0000000064553928|Poste|PT_ESSMJ221|-20.020967500|-40.747259000|EQP0000000070036565|I01G0248|LOC0000000064553928|Poste|PT_ESSMJ221|-20.020967500|-40.747259000|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070428989|||||||||||||||EQP0000000069924097|ESSMJ-I01-SP52-SP53-SP54-SP55|LOC0000000064565649|Poste|PT_ESSMJ955|-20.018552700|-40.757981400|EQP0000000069924916|I01G0440|LOC0000000064565649|Poste|PT_ESSMJ955|-20.018552700|-40.757981400|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070546271|PT_ESSMJ108|LOC0000000064553051|Poste|-20.029673300|-40.740800000|Aerial|Cordoalha|30.530000000|35.100000000|PT_ESSMJ109|LOC0000000064553055|Poste|-20.029434400|-40.740945800|EQP0000000070030079|I01G0063|LOC0000000064553165|Poste|PT_ESSMJ122|-20.029659800|-40.740534800|EQP0000000070030829|I01G0062|LOC0000000064553210|Poste|PT_ESSMJ128|-20.029383100|-40.740748900|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070546271|PT_ESSMJ108|LOC0000000064553051|Poste|-20.029673300|-40.740800000|Aerial|Cordoalha|27.790000000|37.200000000|PT_ESSMJ122|LOC0000000064553165|Poste|-20.029659800|-40.740534800|EQP0000000070030079|I01G0063|LOC0000000064553165|Poste|PT_ESSMJ122|-20.029659800|-40.740534800|EQP0000000070030829|I01G0062|LOC0000000064553210|Poste|PT_ESSMJ128|-20.029383100|-40.740748900|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070546271|PT_ESSMJ109|LOC0000000064553055|Poste|-20.029434400|-40.740945800|Aerial|Cordoalha|21.370000000|36.100000000|PT_ESSMJ128|LOC0000000064553210|Poste|-20.029383100|-40.740748900|EQP0000000070030079|I01G0063|LOC0000000064553165|Poste|PT_ESSMJ122|-20.029659800|-40.740534800|EQP0000000070030829|I01G0062|LOC0000000064553210|Poste|PT_ESSMJ128|-20.029383100|-40.740748900|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070545774|PT_ESSMJ751|LOC0000000064561799|Poste|-20.029582800|-40.759532500|Aerial|Cordoalha|28.090000000|45.300000000|PT_ESSMJ749|LOC0000000064561751|Poste|-20.029533000|-40.759269200|EQP0000000070024723|I01G0076|LOC0000000064562060|Poste|PT_ESSMJ763|-20.029420800|-40.760587700|EQP0000000070025696|I01G0075|LOC0000000064561751|Poste|PT_ESSMJ749|-20.029533000|-40.759269200|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070545774|PT_ESSMJ753|LOC0000000064561842|Poste|-20.029826400|-40.760570600|Aerial|Cordoalha|27.480000000|43.000000000|PT_ESSMJ758|LOC0000000064561981|Poste|-20.029731200|-40.760328000|EQP0000000070024723|I01G0076|LOC0000000064562060|Poste|PT_ESSMJ763|-20.029420800|-40.760587700|EQP0000000070025696|I01G0075|LOC0000000064561751|Poste|PT_ESSMJ749|-20.029533000|-40.759269200|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070545774|PT_ESSMJ752|LOC0000000064561832|Poste|-20.029651800|-40.759903300|Aerial|Cordoalha|39.540000000|45.300000000|PT_ESSMJ751|LOC0000000064561799|Poste|-20.029582800|-40.759532500|EQP0000000070024723|I01G0076|LOC0000000064562060|Poste|PT_ESSMJ763|-20.029420800|-40.760587700|EQP0000000070025696|I01G0075|LOC0000000064561751|Poste|PT_ESSMJ749|-20.029533000|-40.759269200|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070545774|PT_ESSMJ758|LOC0000000064561981|Poste|-20.029731200|-40.760328000|Aerial|Cordoalha|45.300000000|45.300000000|PT_ESSMJ752|LOC0000000064561832|Poste|-20.029651800|-40.759903300|EQP0000000070024723|I01G0076|LOC0000000064562060|Poste|PT_ESSMJ763|-20.029420800|-40.760587700|EQP0000000070025696|I01G0075|LOC0000000064561751|Poste|PT_ESSMJ749|-20.029533000|-40.759269200|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
CBL0000000070545774|PT_ESSMJ753|LOC0000000064561842|Poste|-20.029826400|-40.760570600|Aerial|Cordoalha|44.940000000|47.100000000|PT_ESSMJ763|LOC0000000064562060|Poste|-20.029420800|-40.760587700|EQP0000000070024723|I01G0076|LOC0000000064562060|Poste|PT_ESSMJ763|-20.029420800|-40.760587700|EQP0000000070025696|I01G0075|LOC0000000064561751|Poste|PT_ESSMJ749|-20.029533000|-40.759269200|ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01
