UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000070021619;I01G0080;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA HENRIQUE EGGERT SANTA MARIA DE JETIBA SAO SEBASTIAO DO MEIO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.029935600;-40.757017100;G0;ESSMJ-I01SP10;ESSMJ-I01SP10-SS8
EQP0000000069919910;I01G0453;CTO - OPTAP-B 85/15;ESSMJ_G1I01;RUA TERESA STORCK SANTA MARIA DE JETIBA VILA NOVA 29645000 ES SN;SANTA MARIA DE JETIBA;-20.017065500;-40.752100700;G0;ESSMJ-I01SP57;ESSMJ-I01SP57-SS5
EQP0000000070027825;I01G0306;CTO - OPTAP-B 60/40;ESSMJ_G1I01;RUA CARLOS ALBERTO GUILHERME GUMS SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES SN;SANTA MARIA DE JETIBA;-20.004895100;-40.741875200;G0;ESSMJ-I01SP39;ESSMJ-I01SP39-SS2
EQP0000000070026523;I01G0140;CTO - OPTAP-B 60/40;ESSMJ_G1I01;AVENIDA FREDERICO GRULKE SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.028251700;-40.741588300;G0;ESSMJ-I01SP18;ESSMJ-I01SP18-SS4
EQP0000000070020537;I01G0133;CTO - OPTAP-B 85/15;ESSMJ_G1I01;RUA HENRIQUE POTRAZ SANTA MARIA DE JETIBA CENTRO 29645000 ES 127;SANTA MARIA DE JETIBA;-20.027910400;-40.740914000;G0;ESSMJ-I01SP17;ESSMJ-I01SP17-SS5
EQP0000000070037957;I01G0120;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA CLARA BERGER DETTMANN SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.027043900;-40.744019600;G0;ESSMJ-I01SP15;ESSMJ-I01SP15-SS8
EQP0000000070020260;I01G0331;CTO - OPTAP-B 70/30;ESSMJ_G1I01;RUA SEM NOME SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 454;SANTA MARIA DE JETIBA;-19.993298400;-40.746932000;G0;ESSMJ-I01SP42;ESSMJ-I01SP42-SS3
EQP0000000069947965;I01G0399;CTO - OPTAP-B 90/10;ESSMJ_G1I01;RUA FLORENCIO AUGUSTO BERGER SANTA MARIA DE JETIBA CENTRO 29645000 ES SN;SANTA MARIA DE JETIBA;-20.015185100;-40.746030300;G0;ESSMJ-I01SP50;ESSMJ-I01SP50-SS7
EQP0000000069954539;I01G0404;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA SEM NOME SANTA MARIA DE JETIBA SAO LUIZ 29645000 ES 87;SANTA MARIA DE JETIBA;-20.014361900;-40.744625800;G0;ESSMJ-I01SP51;ESSMJ-I01SP51-SS4
EQP0000000070039088;I01G0116;CTO - OPTAP-B 80/20;ESSMJ_G1I01;RUA FLORIANO BERGER SANTA MARIA DE JETIBA CENTRO 29645000 ES 244;SANTA MARIA DE JETIBA;-20.027646500;-40.742482800;G0;ESSMJ-I01SP15;ESSMJ-I01SP15-SS4
