UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071447851|OK|SP1-SP24;SP26-SP32;SP34-SP40;SP42-SP59|56||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071447858|OK|SP36-SP40;SP42-SP59|23||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071447929|OK|SP52-SP59|8||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448241|OK|SP52-SP55|4||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448427|OK|SP36-SP40;SP42-SP51|15||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448590|OK|SP36-SP40;SP42-SP48|12||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448597|OK|SP36-SP40;SP42-SP46|10||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448601|OK|SP36-SP40|5||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448700|OK|SP36-SP37|2||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448757|OK|SP42-SP44|3||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448916|OK|SP1-SP24;SP26-SP32;SP34-SP35|33||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448925|OK|SP1-SP24;SP26-SP32|31||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448930|OK|SP26-SP30|5||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071449071|OK|SP26-SP29|4||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071449113|OK|SP1-SP24|24||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071449319|OK|SP1-SP20|20||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071449541|OK|SP1-SP9|9||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071449713|OK|SP1-SP3|3||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071449831|OK|SP4|1||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071450952|OK|SP10-SP16|7||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071451099|OK|SP10-SP13|4||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071451103|OK|SP10-SP11|2||0
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071447851|NOK||0|F25;F33;F41|3
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071447858|NOK||0|F41|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448427|NOK||0|F41|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448590|NOK||0|F41|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448597|NOK||0|F41|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448757|NOK||0|F41|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448764|NOK||0|F41|1
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448916|NOK||0|F25;F33|2
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071448925|NOK||0|F25;F33|2
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BR-ESSMJ01-DGO1|CBL0000000071449113|NOK||0|F25|1
