UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089179963|OK|SP1-SP9;SP21-SP47;SP54-SP83;SP91-SP125;SP132-SP144|114||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089220373|OK|SP1-SP9;SP21-SP47;SP54-SP65|48||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089220558|OK|SP1-SP9;SP21-SP36|25||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089238287|OK|SP1-SP9;SP21-SP47;SP54-SP83;SP91-SP125;SP132-SP139|109||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089240068|OK|SP73-SP83;SP91-SP125;SP132-SP139|54||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089240073|OK|SP1-SP9;SP21-SP47;SP54-SP72|55||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089240113|OK|SP73-SP83;SP91-SP107|28||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089240359|OK|SP73-SP83;SP94-SP100|18||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089242114|OK|SP73-SP83|11||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089242564|OK|SP1-SP9;SP21-SP28|17||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089242719|OK|SP1-SP9|9||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089268786|OK|SP41-SP42|2||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089268861|OK|SP37-SP40|4||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089292051|OK|SP108-SP125|18||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089292056|OK|SP119|1||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089292211|OK|SP113-SP118;SP122-SP125|10||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089292216|OK|SP114-SP115|2||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089292302|OK|SP113|1||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089292372|OK|SP116-SP117;SP122-SP125|6||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089292392|OK|SP108-SP112|5||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089293890|OK|SP81-SP83|3||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089294090|OK|SP45-SP47|3||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000089294095|OK|SP37-SP44|8||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000090562125|OK|SP57|1||0
MA|SAO LUIS|MASLS_G1I03|TR 1|CBL0000000090570740|OK|SP9|1||0
