UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042924335|CAIXA DE EMENDA GENERICA 6593|1.0|CBL0000000089179963|165126_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|1730.39|TR 1|EQP0000000042966841|CAIXA DE EMENDA GENERICA 2360|EQP0000000042924608|3
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042924335|CAIXA DE EMENDA GENERICA 6593|2.0|CBL0000000089238287|165549_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos;Cordoalha|441.4|CAIXA DE EMENDA GENERICA 2360|EQP0000000042924608|CAIXA DE EMENDA GENERICA 2388|EQP0000000042968075|3
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042924335|CAIXA DE EMENDA GENERICA 6593|3.0|CBL0000000089240068|165598_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Dutos;Cordoalha|172.57|CAIXA DE EMENDA GENERICA 2388|EQP0000000042968075|CAIXA DE EMENDA GENERICA 2389|EQP0000000042968076|3
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042924335|CAIXA DE EMENDA GENERICA 6593|4.0|CBL0000000089292051|159636_CFOA-SM-AS80-S|CFOA-SM-AS80-S-24|24|Dutos|10.86|CAIXA DE EMENDA GENERICA 2389|EQP0000000042968076|CAIXA DE EMENDA GENERICA 6588|EQP0000000042959160|3
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042924335|CAIXA DE EMENDA GENERICA 6593|5.0|CBL0000000089292211|159668_DROP 12F 5MM|DROP 12F 5MM-12|12|Cordoalha|350.89|CAIXA DE EMENDA GENERICA 6588|EQP0000000042959160|CAIXA DE EMENDA GENERICA 6590|EQP0000000042959162|3
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042924335|CAIXA DE EMENDA GENERICA 6593|6.0|CBL0000000089292372|159699_DROP 12F 5MM|DROP 12F 5MM-12|12|Cordoalha|290.7|CAIXA DE EMENDA GENERICA 6590|EQP0000000042959162|CAIXA DE EMENDA GENERICA 6593|EQP0000000042924335|3
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042924608|CAIXA DE EMENDA GENERICA 2360|1.0|CBL0000000089179963|165126_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|1730.39|TR 1|EQP0000000042966841|CAIXA DE EMENDA GENERICA 2360|EQP0000000042924608|5
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042959160|CAIXA DE EMENDA GENERICA 6588|1.0|CBL0000000089179963|165126_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Cordoalha;Dutos|1730.39|TR 1|EQP0000000042966841|CAIXA DE EMENDA GENERICA 2360|EQP0000000042924608|2
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042959160|CAIXA DE EMENDA GENERICA 6588|2.0|CBL0000000089238287|165549_CFOA-SM-AS80-S|CFOA-SM-AS80-S-144|144|Dutos;Cordoalha|441.4|CAIXA DE EMENDA GENERICA 2360|EQP0000000042924608|CAIXA DE EMENDA GENERICA 2388|EQP0000000042968075|2
MA|SAO LUIS|MASLS_G1I03|TR 1|Primario|LOC0000000042284047|MASLS_G1I03|EQP0000000042966841|TR 1|EQP0000000042959160|CAIXA DE EMENDA GENERICA 6588|3.0|CBL0000000089240068|165598_CFOA-SM-AS80-S|CFOA-SM-AS80-S-72|72|Dutos;Cordoalha|172.57|CAIXA DE EMENDA GENERICA 2388|EQP0000000042968075|CAIXA DE EMENDA GENERICA 2389|EQP0000000042968076|2
