UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
MA|SAO LUIS|CBL0000000065612985|SP7[SS3-SS4]|2||0
MA|SAO LUIS|CBL0000000065630338|SP254[SS2]|1||0
MA|SAO LUIS|CBL0000000065869285|SP254[SS3]|1||0
MA|SAO LUIS|CBL0000000065960024|SP254[SS5]|1||0
MA|SAO LUIS|CBL0000000067728844|SP193[SS1-SS8]|8||0
MA|SAO LUIS|CBL0000000067728987|SP193[SS1-SS7]|7||0
MA|SAO LUIS|CBL0000000067729083|SP193[SS1-SS6]|6||0
MA|SAO LUIS|CBL0000000067729349|SP193[SS1-SS5]|5||0
MA|SAO LUIS|CBL0000000067729498|SP193[SS1-SS4]|4||0
MA|SAO LUIS|CBL0000000067729721|SP193[SS1-SS3]|3||0
MA|SAO LUIS|CBL0000000067729778|SP193[SS1-SS2]|2||0
MA|SAO LUIS|CBL0000000067729950|SP193[SS1]|1||0
MA|SAO LUIS|CBL0000000067730284|SP194[SS1-SS8]|8||0
MA|SAO LUIS|CBL0000000067730290|SP194[SS1-SS7]|7||0
MA|SAO LUIS|CBL0000000067730362|SP194[SS1-SS6]|6||0
MA|SAO LUIS|CBL0000000067730627|SP194[SS1-SS5]|5||0
MA|SAO LUIS|CBL0000000067730946|SP194[SS1-SS4]|4||0
MA|SAO LUIS|CBL0000000067733337|SP194[SS1-SS3]|3||0
MA|SAO LUIS|CBL0000000067733684|SP194[SS1-SS2]|2||0
MA|SAO LUIS|CBL0000000067733959|SP194[SS1]|1||0
MA|SAO LUIS|CBL0000000067734172|SP195[SS1-SS8]|8||0
MA|SAO LUIS|CBL0000000067734367|SP195[SS1-SS7]|7||0
MA|SAO LUIS|CBL0000000067734516|SP195[SS1-SS6]|6||0
MA|SAO LUIS|CBL0000000067734645|SP195[SS1-SS5]|5||0
MA|SAO LUIS|CBL0000000067734800|SP195[SS1-SS4]|4||0
MA|SAO LUIS|CBL0000000067734908|SP195[SS1-SS3]|3||0
MA|SAO LUIS|CBL0000000067735048|SP195[SS1-SS2]|2||0
MA|SAO LUIS|CBL0000000067735206|SP195[SS1]|1||0
MA|SAO LUIS|CBL0000000067804347|SP240[SS5]|1||0
MA|SAO LUIS|CBL0000000067816726|SP349[SS2-SS3]|2||0
MA|SAO LUIS|CBL0000000067825926|SP316[SS2-SS3]|2||0
MA|SAO LUIS|CBL0000000067831023|SP316[SS4-SS5]|2||0
MA|SAO LUIS|CBL0000000067851586|SP145[SS2]|1||0
MA|SAO LUIS|CBL0000000067900267|SP280[SS1-SS8]|8||0
MA|SAO LUIS|CBL0000000067900898|SP280[SS1-SS7]|7||0
MA|SAO LUIS|CBL0000000067901850|SP280[SS1-SS6]|6||0
MA|SAO LUIS|CBL0000000067902377|SP280[SS1-SS5]|5||0
