UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243813|OK|SP1-SP72|72||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243823|OK|SP1-SP2|2||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243828|OK|SP1-SP4|4||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243833|OK|SP1-SP6|6||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243838|OK|SP7-SP8|2||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243843|OK|SP1-SP10|10||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243848|OK|SP1-SP12|12||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243853|OK|SP1-SP14|14||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243858|OK|SP1-SP17|17||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243863|OK|SP1-SP20|20||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243868|OK|SP1-SP22|22||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243873|OK|SP1-SP24|24||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243878|OK|SP1-SP26|26||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243883|OK|SP1-SP28|28||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243888|OK|SP1-SP68|68||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243893|OK|SP1-SP70|70||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243898|OK|SP29-SP66|38||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243903|OK|SP61-SP64|4||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243908|OK|SP61-SP62|2||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243913|OK|SP48-SP58|11||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243918|OK|SP29-SP60|32||0
RS|TRAMANDAI|RSTRI_G1M01|TR 1|CBL0000000021243923|OK|SP48-SP56|9||0
