UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|1.0|CBL0000000021243813|44178_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|22.88|TR 1|EQP0000000011995613|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|2.0|CBL0000000021243988|44213_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|40.15|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|3.0|CBL0000000021243893|44194_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Cordoalha;Dutos|434.59|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|4.0|CBL0000000021243888|44193_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos;Cordoalha|220.2|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|CAIXA DE EMENDA GENERICA 33|EQP0000000012001783|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|5.0|CBL0000000021243898|44195_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Cordoalha;Dutos|124.09|CAIXA DE EMENDA GENERICA 33|EQP0000000012001783|CAIXA DE EMENDA GENERICA 44|EQP0000000011995536|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995152|CAIXA DE EMENDA GENERICA 4|6.0|CBL0000000021243918|44199_CFOA-SM-AS-80S|CFOA-SM-AS-80S-72|72|Dutos;Cordoalha|530.42|CAIXA DE EMENDA GENERICA 44|EQP0000000011995536|CAIXA DE EMENDA GENERICA 4|EQP0000000011995152|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|1.0|CBL0000000021243813|44178_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|22.88|TR 1|EQP0000000011995613|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|2.0|CBL0000000021243988|44213_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos|40.15|CAIXA DE EMENDA GENERICA 1|EQP0000000012003258|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|3.0|CBL0000000021243893|44194_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Cordoalha;Dutos|434.59|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|2
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Primario|LOC0000000011610086|RSTRI_G1M01|EQP0000000011995613|TR 1|EQP0000000011995153|CAIXA DE EMENDA GENERICA 5|4.0|CBL0000000021243888|44193_CFOA-SM-AS-80S|CFOA-SM-AS-80S-144|144|Dutos;Cordoalha|220.2|CAIXA DE EMENDA GENERICA 13|EQP0000000011995332|CAIXA DE EMENDA GENERICA 33|EQP0000000012001783|2
