UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|TRAMANDAI|CBL0000000021244023|SP60[SS6]|1||0
RS|TRAMANDAI|CBL0000000021244043|SP29[SS6]|1||0
RS|TRAMANDAI|CBL0000000021244048|SP30[SS1-SS3]|3||0
RS|TRAMANDAI|CBL0000000021244053|SP30[SS4-SS5]|2||0
RS|TRAMANDAI|CBL0000000021244058|SP30[SS4]|1||0
RS|TRAMANDAI|CBL0000000021244063|SP28[SS6-SS7]|2||0
RS|TRAMANDAI|CBL0000000021244068|SP25[SS5]|1||0
RS|TRAMANDAI|CBL0000000021244073|SP327[SS1-SS2]|2||0
RS|TRAMANDAI|CBL0000000021244078|SP325[SS1-SS8];SP326[SS1-SS5]|13||0
RS|TRAMANDAI|CBL0000000021244083|SP328[SS3]|1||0
RS|TRAMANDAI|CBL0000000021244088|SP328[SS4]|1||0
RS|TRAMANDAI|CBL0000000021244093|SP26[SS1]|1||0
RS|TRAMANDAI|CBL0000000021244098|SP26[SS4]|1||0
RS|TRAMANDAI|CBL0000000021244103|SP25[SS5-SS6]|2||0
RS|TRAMANDAI|CBL0000000021244108|SP327[SS1-SS8];SP328[SS1-SS5]|13||0
RS|TRAMANDAI|CBL0000000021244113|SP22[SS1-SS8];SP23[SS1-SS2]|10||0
RS|TRAMANDAI|CBL0000000021244118|SP24[SS1-SS2]|2||0
RS|TRAMANDAI|CBL0000000021244123|SP23[SS3]|1||0
RS|TRAMANDAI|CBL0000000021244128|SP24[SS1-SS4]|4||0
RS|TRAMANDAI|CBL0000000021244133|SP24[SS1]|1||0
RS|TRAMANDAI|CBL0000000021244138|SP24[SS1-SS3]|3||0
RS|TRAMANDAI|CBL0000000021244143|SP22[SS1-SS4]|4||0
RS|TRAMANDAI|CBL0000000021244148|SP19[SS1]|1||0
RS|TRAMANDAI|CBL0000000021244153|SP17[SS1-SS2]|2||0
RS|TRAMANDAI|CBL0000000021244158|SP20[SS3]|1||0
RS|TRAMANDAI|CBL0000000021244163|SP19[SS1-SS2]|2||0
RS|TRAMANDAI|CBL0000000021244168|SP22[SS1-SS7]|7||0
RS|TRAMANDAI|CBL0000000021244173|SP20[SS3-SS8]|6||0
RS|TRAMANDAI|CBL0000000021244178|SP17[SS3-SS6]|4||0
RS|TRAMANDAI|CBL0000000021244183|SP17[SS1]|1||0
RS|TRAMANDAI|CBL0000000021244188|SP19[SS1-SS3]|3||0
RS|TRAMANDAI|CBL0000000021244193|SP21[SS3]|1||0
RS|TRAMANDAI|CBL0000000021244198|SP20[SS3-SS8];SP21[SS1]|7||0
RS|TRAMANDAI|CBL0000000021244203|SP19[SS1-SS8];SP20[SS1]|9||0
RS|TRAMANDAI|CBL0000000021244208|SP19[SS1-SS6]|6||0
RS|TRAMANDAI|CBL0000000021244213|SP22[SS1-SS5]|5||0
RS|TRAMANDAI|CBL0000000021244218|SP19[SS1-SS4]|4||0
RS|TRAMANDAI|CBL0000000021244223|SP20[SS3-SS7]|5||0
RS|TRAMANDAI|CBL0000000021244231|SP20[SS3-SS4]|2||0
RS|TRAMANDAI|CBL0000000021244240|SP20[SS3-SS5]|3||0
RS|TRAMANDAI|CBL0000000021244249|SP7[SS1-SS8]|8||0
RS|TRAMANDAI|CBL0000000021244254|SP15[SS1-SS3]|3||0
RS|TRAMANDAI|CBL0000000021244259|SP7[SS1-SS5]|5||0
RS|TRAMANDAI|CBL0000000021244264|SP7[SS6]|1||0
RS|TRAMANDAI|CBL0000000021244269|SP7[SS1-SS7]|7||0
RS|TRAMANDAI|CBL0000000021244274|SP7[SS1-SS3]|3||0
RS|TRAMANDAI|CBL0000000021244279|SP5[SS1-SS7]|7||0
RS|TRAMANDAI|CBL0000000021244284|SP7[SS1]|1||0
RS|TRAMANDAI|CBL0000000021244289|SP5[SS1]|1||0
RS|TRAMANDAI|CBL0000000021244294|SP5[SS1-SS2]|2||0
RS|TRAMANDAI|CBL0000000021244299|SP3[SS1-SS4]|4||0
RS|TRAMANDAI|CBL0000000021244304|SP1[SS1-SS4]|4||0
RS|TRAMANDAI|CBL0000000021244309|SP1[SS1-SS6]|6||0
RS|TRAMANDAI|CBL0000000021244314|SP3[SS1-SS6]|6||0
RS|TRAMANDAI|CBL0000000021244319|SP5[SS8]|1||0
RS|TRAMANDAI|CBL0000000021244324|SP5[SS1-SS8];SP6[SS1-SS2]|10||0
RS|TRAMANDAI|CBL0000000021244329|SP5[SS1-SS3]|3||0
RS|TRAMANDAI|CBL0000000021244334|SP7[SS1-SS4]|4||0
RS|TRAMANDAI|CBL0000000021244339|SP20[SS3-SS6]|4||0
RS|TRAMANDAI|CBL0000000021244344|SP22[SS3]|1||0
RS|TRAMANDAI|CBL0000000021244349|SP24[SS6]|1||0
RS|TRAMANDAI|CBL0000000021244354|SP19[SS1-SS7]|7||0
RS|TRAMANDAI|CBL0000000021244359|SP22[SS1]|1||0
RS|TRAMANDAI|CBL0000000021244364|SP25[SS3]|1||0
RS|TRAMANDAI|CBL0000000021244369|SP24[SS7]|1||0
RS|TRAMANDAI|CBL0000000021244374|SP22[SS1-SS8];SP23[SS1]|9||0
RS|TRAMANDAI|CBL0000000021244379|SP24[SS1-SS8]|8||0
RS|TRAMANDAI|CBL0000000021244384|SP23[SS3-SS4]|2||0
RS|TRAMANDAI|CBL0000000021244389|SP22[SS6]|1||0
RS|TRAMANDAI|CBL0000000021244394|SP22[SS1-SS8]|8||0
RS|TRAMANDAI|CBL0000000021244399|SP13[SS1-SS2]|2||0
RS|TRAMANDAI|CBL0000000021244404|SP17[SS1-SS8]|8||0
RS|TRAMANDAI|CBL0000000021244409|SP9[SS1-SS8];SP10[SS1-SS6]|14||0
RS|TRAMANDAI|CBL0000000021244414|SP8[SS2]|1||0
RS|TRAMANDAI|CBL0000000021244419|SP9[SS1-SS2]|2||0
RS|TRAMANDAI|CBL0000000021244424|SP10[SS2]|1||0
RS|TRAMANDAI|CBL0000000021244429|SP11[SS1-SS4]|4||0
RS|TRAMANDAI|CBL0000000021244434|SP14[SS2]|1||0
RS|TRAMANDAI|CBL0000000021244439|SP17[SS1-SS8];SP18[SS1-SS2]|10||0
RS|TRAMANDAI|CBL0000000021244444|SP8[SS5]|1||0
RS|TRAMANDAI|CBL0000000021244449|SP8[SS2-SS7]|6||0
RS|TRAMANDAI|CBL0000000021244454|SP9[SS8]|1||0
