UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995161|M01G0575|1|CBL0000000021245417|44228_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|99.61|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|M01G0576|EQP0000000012003257|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995161|M01G0575|2|CBL0000000021252650|44576_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|136.53|M01G0576|EQP0000000012003257|M01G0575|EQP0000000011995161|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|1|CBL0000000021245417|44228_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|99.61|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|M01G0576|EQP0000000012003257|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|2|CBL0000000021252650|44576_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|136.53|M01G0576|EQP0000000012003257|M01G0575|EQP0000000011995161|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|3|CBL0000000021254432|44665_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|80.13|M01G0575|EQP0000000011995161|M01G0568|EQP0000000011995322|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|4|CBL0000000021249032|44401_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|132.35|M01G0568|EQP0000000011995322|M01G0567|EQP0000000011995321|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|5|CBL0000000021249182|44431_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|183.67|M01G0567|EQP0000000011995321|M01G0566|EQP0000000011995320|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|6|CBL0000000021249187|44432_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|229.59|M01G0566|EQP0000000011995320|M01G0562|EQP0000000011995319|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995318|M01G0561|7|CBL0000000021249057|44406_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|118.43|M01G0562|EQP0000000011995319|M01G0561|EQP0000000011995318|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995319|M01G0562|1|CBL0000000021245417|44228_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|99.61|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|M01G0576|EQP0000000012003257|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995319|M01G0562|2|CBL0000000021252650|44576_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|136.53|M01G0576|EQP0000000012003257|M01G0575|EQP0000000011995161|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995319|M01G0562|3|CBL0000000021254432|44665_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|80.13|M01G0575|EQP0000000011995161|M01G0568|EQP0000000011995322|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995319|M01G0562|4|CBL0000000021249032|44401_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|132.35|M01G0568|EQP0000000011995322|M01G0567|EQP0000000011995321|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995319|M01G0562|5|CBL0000000021249182|44431_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|183.67|M01G0567|EQP0000000011995321|M01G0566|EQP0000000011995320|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995319|M01G0562|6|CBL0000000021249187|44432_CFOA-SM-AS-80G|CFOA-SM-AS-80G-12|12|Cordoalha|229.59|M01G0566|EQP0000000011995320|M01G0562|EQP0000000011995319|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995320|M01G0566|1|CBL0000000021245417|44228_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha;Dutos|99.61|CAIXA DE EMENDA GENERICA 3|EQP0000000012007241|M01G0576|EQP0000000012003257|1
RS|TRAMANDAI|RSTRI_G1M01|TR 1|Secundario|LOC0000000011981035|M01-37|EQP0000000012007241|CAIXA DE EMENDA GENERICA 3|EQP0000000011995320|M01G0566|2|CBL0000000021252650|44576_CFOA-SM-AS-80G|CFOA-SM-AS-80G-36|36|Cordoalha|136.53|M01G0576|EQP0000000012003257|M01G0575|EQP0000000011995161|1
