IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000107042153|||||||||||||||EQP0000000012009057|M01GP038|LOC0000000011975809|MDU|UBATUBA DE FARIAS (BARRA) 122 1090|-29.983584400|-50.128847100|EQP0000000107042075|M01GP37|LOC0000000011975809|MDU|UBATUBA DE FARIAS (BARRA) 122 1090|-29.983584400|-50.128847100|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000107043081|||||||||||||||EQP0000000107042799|M01GP76|LOC0000000011974873|MDU|UBATUBA DE FARIAS (BARRA) 860 1111|-29.986067500|-50.124674100|EQP0000000107042911|M01GP75|LOC0000000011974873|MDU|UBATUBA DE FARIAS (BARRA) 860 1111|-29.986067500|-50.124674100|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000071981976|||||||||||||||EQP0000000071981201|M01GP332|LOC0000000011976086|MDU|RIACHUELO (CENTRO) 1279 1554|-29.987290400|-50.129428100|EQP0000000071981269|M01GP331|LOC0000000011976086|MDU|RIACHUELO (CENTRO) 1279 1554|-29.987290400|-50.129428100|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000071981861|||||||||||||||EQP0000000071981071|M01GP334|LOC0000000011976086|MDU|RIACHUELO (CENTRO) 1279 1554|-29.987290400|-50.129428100|EQP0000000071981098|M01GP333|LOC0000000011976086|MDU|RIACHUELO (CENTRO) 1279 1554|-29.987290400|-50.129428100|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000107049900|||||||||||||||EQP0000000012009060|M01GP1492|LOC0000000011978929|MDU|GETULIO VARGAS (CENTRO)-719-BL A 719 6238|-29.989372300|-50.133461700|EQP0000000107049815|M01GP1491|LOC0000000011978929|MDU|GETULIO VARGAS (CENTRO)-719-BL A 719 6238|-29.989372300|-50.133461700|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000107049108|||||||||||||||EQP0000000011995607|M01GP1474|LOC0000000011978844|MDU|JOAO (CENTRO) 1431 7440|-29.989466400|-50.135148700|EQP0000000107049041|M01GP1473|LOC0000000011978844|MDU|JOAO (CENTRO) 1431 7440|-29.989466400|-50.135148700|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000107051204|||||||||||||||EQP0000000107050922|M01GP198|LOC0000000011979173|MDU|OSORIO (CENTRO) 230 7576|-29.993437000|-50.129529100|EQP0000000107050950|M01GP197|LOC0000000011979173|MDU|OSORIO (CENTRO) 230 7576|-29.993437000|-50.129529100|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000107047932|||||||||||||||EQP0000000107047509|M01GP1412|LOC0000000011975839|MDU|OTTO ALFREDO MULLER (CENTRO) 71 9821|-29.987167700|-50.137601800|EQP0000000107047597|M01GP1411|LOC0000000011975839|MDU|OTTO ALFREDO MULLER (CENTRO) 71 9821|-29.987167700|-50.137601800|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000107057983|||||||||||||||EQP0000000107057825|M01GP423|LOC0000000011979159|MDU|EMANCIPACAO (CENTRO) 485 9454|-29.986323500|-50.135700600|EQP0000000107057901|M01GP422|LOC0000000011979159|MDU|EMANCIPACAO (CENTRO) 485 9454|-29.986323500|-50.135700600|RS|TRAMANDAI|RSTRI_G1M01
CBL0000000107042264|||||||||||||||EQP0000000107042165|M01GP40|LOC0000000011811928|MDU|UBATUBA DE FARIAS (BARRA) 178 1091|-29.983801200|-50.128472000|EQP0000000107042208|M01GP39|LOC0000000011811928|MDU|UBATUBA DE FARIAS (BARRA) 178 1091|-29.983801200|-50.128472000|RS|TRAMANDAI|RSTRI_G1M01
