UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000011995458;M01GP328;TO;RSTRI_G1M01;AVENIDA DA IGREJA TRAMANDAI CENTRO 95590000 RS 592;TRAMANDAI;-29.987038600;-50.129659300;GP;RSTRI-M01SP41;RSTRI-M01SP41-SS8;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/3/9
EQP0000000011995604;M01GP412;TO;RSTRI_G1M01;AVENIDA EMANCIPACAO TRAMANDAI CENTRO 95590000 RS 405;TRAMANDAI;-29.985850200;-50.135138800;GP;RSTRI-M01SP52;RSTRI-M01SP52-SS4;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/4/4
EQP0000000012009277;N025G0104;CTO - OPTAP;RSTRI_G1N02;RUA HILDEBRANDO PINHEIRO VELOSO TRAMANDAI INDIANOPOLIS 95590000 RS 685;TRAMANDAI;-30.009394700;-50.171761500;G0;RSTRI-N02SP13;RSTRI-N02SP13-SS8;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/13
EQP0000000011997146;N02G0134;CTO - OPTAP;RSTRI_G1N02;RUA CLAITON HOFFMEISTER TRAMANDAI INDIANOPOLIS 95590000 RS 1747;TRAMANDAI;-30.015125800;-50.173107000;G0;RSTRI-N02SP17;RSTRI-N02SP17-SS6;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/2/1
EQP0000000011995199;N02G02403;CTO - OPTAP;RSTRI_G1N02;RUA BOTO AMARELO TRAMANDAI NOVA TRAMANDAI 95590000 RS 181;TRAMANDAI;-30.030706600;-50.167697900;G0;RSTRI-N02SP301;RSTRI-N02SP301-SS3;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/8/1
EQP0000000011995942;M01G01165;CTO - OPTAP;RSTRI_G1M01;RUA EGO HOFMEISTER TRAMANDAI SAO JOSE 95590000 RS 310;TRAMANDAI;-30.003190800;-50.149547100;G0;RSTRI-M01SP146;RSTRI-M01SP146-SS5;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/5/10
EQP0000000011995208;N02G02408;CTO - OPTAP;RSTRI_G1N02;RUA BOTO ROSA TRAMANDAI ALDEIA DA LAGOA 95590000 RS 275;TRAMANDAI;-30.031833900;-50.167444900;G0;RSTRI-N02SP301;RSTRI-N02SP301-SS8;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/8/1
EQP0000000011996297;M01G01173;CTO - OPTAP;RSTRI_G1M01;RUA REBOUCAS TRAMANDAI SAO FRANCISCO I 95590000 RS 1061;TRAMANDAI;-30.004613300;-50.148578800;G0;RSTRI-M01SP147;RSTRI-M01SP147-SS5;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/5/11
EQP0000000011995936;M01G01159;CTO - OPTAP;RSTRI_G1M01;RUA ELEODORO FRANZEN TRAMANDAI SAO FRANCISCO I 95590000 RS 206;TRAMANDAI;-30.005469700;-50.151403800;G0;RSTRI-M01SP145;RSTRI-M01SP145-SS7;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/5/9
EQP0000000011997793;N02G0251;CTO - OPTAP;RSTRI_G1N02;RUA PADRE REUS TRAMANDAI SAO FRANCISCO II 95590000 RS SN;TRAMANDAI;-30.010272500;-50.147196800;G0;RSTRI-N02SP32;RSTRI-N02SP32-SS3;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/2/16
EQP0000000011996545;N02G0100;CTO - OPTAP;RSTRI_G1N02;RUA HILDEBRANDO PINHEIRO VELOSO TRAMANDAI INDIANOPOLIS 95590000 RS 1228;TRAMANDAI;-30.013643400;-50.173440800;G0;RSTRI-N02SP13;RSTRI-N02SP13-SS4;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/13
EQP0000000012008810;N02G02420;CTO - OPTAP;RSTRI_G1N02;RUA BOTO VERDE TRAMANDAI NOVA TRAMANDAI 95590000 RS 185;TRAMANDAI;-30.031265400;-50.165783500;G0;RSTRI-N02SP303;RSTRI-N02SP303-SS4;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/8/3
EQP0000000011997513;N02G02322;CTO - OPTAP;RSTRI_G1N02;RUA SERGIPE TRAMANDAI NOVA TRAMANDAI 95590000 RS SN;TRAMANDAI;-30.039367000;-50.165232400;G0;RSTRI-N02SP291;RSTRI-N02SP291-SS2;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/7/7
EQP0000000011995779;N02G01243;CTO - OPTAP;RSTRI_G1N02;RUA DAS HORTENCIAS TRAMANDAI JARDIM ATLANTICO 95590000 RS 1032;TRAMANDAI;-30.058678300;-50.165749200;G0;RSTRI-N02SP156;RSTRI-N02SP156-SS3;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/4/14
EQP0000000011997508;N02G030;CTO - OPTAP;RSTRI_G1N02;Rua MANOEL DA SILVA MENDES TRAMANDAI CRUZEIRO I 95590000 RS SN1;TRAMANDAI;-29.998906800;-50.182449400;G0;RSTRI-N02SP4;RSTRI-N02SP4-SS6;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/4
EQP0000000011996516;M01G01540;CTO - OPTAP;RSTRI_G1M01;RUA PERNAMBUCO TRAMANDAI SAO JOSE 95590000 RS 1563;TRAMANDAI;-30.000785600;-50.150561100;G0;RSTRI-M01SP193;RSTRI-M01SP193-SS4;TRI_M01_1_GPON_VLAN_100-101-102-UBA;1/1/8/9
EQP0000000012007769;N02G0146;CTO - OPTAP;RSTRI_G1N02;TRAVESSA JANIO TRAMANDAI PARQUE HUMAITA 95590000 RS 1165;TRAMANDAI;-30.015993600;-50.170055700;G0;RSTRI-N02SP19;RSTRI-N02SP19-SS2;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/2/3
EQP0000000011997552;N02G037;CTO - OPTAP;RSTRI_G1N02;Rua MANOEL DA SILVA MENDES TRAMANDAI CRUZEIRO I 95590000 RS 1130;TRAMANDAI;-29.999845900;-50.180945100;G0;RSTRI-N02SP5;RSTRI-N02SP5-SS5;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/5
EQP0000000011996740;N0G0125;CTO - OPTAP;RSTRI_G1N02;RUA CLAITON HOFFMEISTER TRAMANDAI INDIANOPOLIS 95590000 RS SN;TRAMANDAI;-30.004925600;-50.169098800;G0;RSTRI-N02SP16;RSTRI-N02SP16-SS5;TRI_N02_1_GPON_VLAN_106_107_108-ALC;1/1/1/16
