UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002124956|OK|SP35-SP39|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002126733|OK|SP35-SP39;SP42|6||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002304641|OK|SP1-SP6|6||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002339175|OK|SP1-SP6;SP18-SP23|12||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002340416|OK|SP24-SP31|8||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002340457|OK|SP24-SP27|4||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002340816|OK|SP1-SP6;SP18-SP34|23||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002343421|OK|SP43-SP44;SP47-SP49|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002350168|OK|SP43-SP44;SP47|3||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002350632|OK|SP43-SP44|2||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002351699|OK|SP1-SP6;SP18-SP39;SP42-SP44;SP47-SP60;SP62-SP65|49||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002352245|OK|SP1-SP6;SP18-SP39;SP42-SP44;SP47-SP60;SP62-SP64|48||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002352468|OK|SP58-SP60|3||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002352641|OK|SP1-SP6;SP18-SP39;SP42-SP44;SP47-SP57|42||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002352974|OK|SP1-SP6;SP18-SP39;SP42-SP44;SP47-SP54|39||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002353277|OK|SP1-SP6;SP18-SP39;SP42-SP44;SP47-SP52|37||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002360673|OK|SP66-SP68|3||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002364566|OK|SP139-SP141|3||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002381695|OK|SP109-SP113|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002382392|OK|SP109-SP113;SP116|6||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002383840|OK|SP73-SP77;SP82-SP84;SP91-SP95;SP97;SP99-SP101;SP104-SP113;SP116;SP124-SP127|32||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002384608|OK|SP73-SP77;SP82-SP84;SP91-SP95;SP97;SP99-SP101;SP104-SP113;SP116;SP124-SP128|33||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002385657|OK|SP73-SP77;SP82-SP84;SP91-SP95;SP97;SP99-SP101;SP104-SP113;SP116;SP124-SP129|34||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002387286|OK|SP130-SP134|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002393096|OK|SP73-SP77;SP82-SP84;SP91-SP95;SP97;SP99-SP101;SP104-SP108|22||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002393287|OK|SP73-SP77;SP82-SP84;SP91-SP95;SP97;SP99-SP101;SP104-SP106|20||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002393369|OK|SP100-SP101;SP104-SP105|4||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002393494|OK|SP100-SP101|2||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002394792|OK|SP73-SP77;SP82-SP84;SP91-SP95;SP97;SP99|15||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002394860|OK|SP97|1||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002394922|OK|SP94-SP95|2||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002395372|OK|SP73-SP77;SP82-SP84;SP91-SP93|11||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002395422|OK|SP73-SP77;SP82-SP84|8||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002395473|OK|SP73-SP77|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002402461|OK|SP190-SP194;SP202-SP204;SP207-SP212;SP214-SP217;SP219-SP226;SP228-SP233;SP236-SP239;SP241-SP244;SP250-SP251|42||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002402541|OK|SP190-SP194;SP202-SP204;SP207-SP212;SP214-SP217;SP219-SP226;SP228-SP233;SP236-SP239;SP241-SP244;SP250-SP251|42||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002409014|OK|SP242-SP244;SP250-SP251|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002409070|OK|SP242-SP244;SP250-SP251|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002409541|OK|SP242-SP244|3||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002409716|OK|SP190-SP194;SP202-SP204;SP207-SP212;SP214-SP217;SP219-SP226;SP228-SP233;SP236-SP239;SP241|37||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002568694|OK|SP203-SP204;SP207-SP210|6||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002569044|OK|SP190-SP194;SP202-SP204;SP207-SP212;SP214-SP216|17||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002569231|OK|SP217;SP219-SP224|7||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002570145|OK|SP217;SP219-SP222|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002571059|OK|SP217;SP219-SP221|4||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002573616|OK|SP217|1||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002574454|OK|SP225-SP226;SP228-SP230|5||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002574998|OK|SP225-SP226|2||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002576147|OK|SP190-SP194;SP202-SP204;SP207-SP212;SP214-SP217;SP219-SP226;SP228-SP231|30||0
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|CBL0000000002580061|OK|SP232-SP233;SP236-SP237|4||0
