UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|1.0|CBL0000000007772364|BR-RSUGN01F2RSUGNFIST-39&I01TR1FSP001-144RSUGNFIST-39|CFOA-SM-AS-80G-144|144|Dutos|22.32|DGO1_RSUGN01|EQP0000000007622586|RSUGNFIST-39|EQP0000000002734641|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|2.0|CBL0000000002735603|I01TR1FSP001-144RSUGNFIST-38|CFOA-SM-AS-80G-144|144|Dutos|28.27|RSUGNFIST-39|EQP0000000002734641|RSUGNFIST-38|EQP0000000002734556|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|3.0|CBL0000000002735808|I01TR1FSP001-072RSUGNFOSC-18|CFOA-SM-AS-80G-72|72|Autossustentável;Dutos|172.72|RSUGNFIST-38|EQP0000000002734556|RSUGNFOSC-18|EQP0000000002342041|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|4.0|CBL0000000002351699|I01TR1FSP001-065RSUGNHUB-16|CFOA-SM-AS-80G-72|72|Autossustentável|116.86|RSUGNFOSC-18|EQP0000000002342041|RSUGNHUB-16|EQP0000000002341924|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|5.0|CBL0000000002352245|I01TR1FSP001-064RSUGNFOSC-15|CFOA-SM-AS-80G-72|72|Autossustentável|186.3|RSUGNHUB-16|EQP0000000002341924|RSUGNFOSC-15|EQP0000000002341712|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|6.0|CBL0000000002352641|I01TR1FSP001-057RSUGNFOSC-13|CFOA-SM-AS-80G-72|72|Autossustentável|272.24|RSUGNFOSC-15|EQP0000000002341712|RSUGNFOSC-13|EQP0000000002341671|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|7.0|CBL0000000002352974|I01TR1FSP001-054RSUGNHUB-12|CFOA-SM-AS-80G-72|72|Autossustentável|153.71|RSUGNFOSC-13|EQP0000000002341671|RSUGNHUB-12|EQP0000000002341535|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|8.0|CBL0000000002353277|I01TR1FSP001-052RSUGNFOSC-11|CFOA-SM-AS-80G-72|72|Autossustentável|179.3|RSUGNHUB-12|EQP0000000002341535|RSUGNFOSC-11|EQP0000000002126528|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|9.0|CBL0000000002126733|I01TR1FSP035-042RSUGNHUB-07|CFOA-SM-ASU-80-S-R-A-12F|12|Autossustentável|127.92|RSUGNFOSC-11|EQP0000000002126528|RSUGNHUB-07|EQP0000000002124202|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002123886|RSUGNHUB-06|10.0|CBL0000000002124956|I01TR1FSP035-041RSUGNHUB-06|CFOA-SM-ASU-80-S-R-A-12F|12|Autossustentável|156.12|RSUGNHUB-07|EQP0000000002124202|RSUGNHUB-06|EQP0000000002123886|5
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|1.0|CBL0000000007772364|BR-RSUGN01F2RSUGNFIST-39&I01TR1FSP001-144RSUGNFIST-39|CFOA-SM-AS-80G-144|144|Dutos|22.32|DGO1_RSUGN01|EQP0000000007622586|RSUGNFIST-39|EQP0000000002734641|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|2.0|CBL0000000002735603|I01TR1FSP001-144RSUGNFIST-38|CFOA-SM-AS-80G-144|144|Dutos|28.27|RSUGNFIST-39|EQP0000000002734641|RSUGNFIST-38|EQP0000000002734556|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|3.0|CBL0000000002735808|I01TR1FSP001-072RSUGNFOSC-18|CFOA-SM-AS-80G-72|72|Autossustentável;Dutos|172.72|RSUGNFIST-38|EQP0000000002734556|RSUGNFOSC-18|EQP0000000002342041|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|4.0|CBL0000000002351699|I01TR1FSP001-065RSUGNHUB-16|CFOA-SM-AS-80G-72|72|Autossustentável|116.86|RSUGNFOSC-18|EQP0000000002342041|RSUGNHUB-16|EQP0000000002341924|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|5.0|CBL0000000002352245|I01TR1FSP001-064RSUGNFOSC-15|CFOA-SM-AS-80G-72|72|Autossustentável|186.3|RSUGNHUB-16|EQP0000000002341924|RSUGNFOSC-15|EQP0000000002341712|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|6.0|CBL0000000002352641|I01TR1FSP001-057RSUGNFOSC-13|CFOA-SM-AS-80G-72|72|Autossustentável|272.24|RSUGNFOSC-15|EQP0000000002341712|RSUGNFOSC-13|EQP0000000002341671|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|7.0|CBL0000000002352974|I01TR1FSP001-054RSUGNHUB-12|CFOA-SM-AS-80G-72|72|Autossustentável|153.71|RSUGNFOSC-13|EQP0000000002341671|RSUGNHUB-12|EQP0000000002341535|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Primario|LOC0000000005172533|RSUGN_G1I01|EQP0000000007622586|DGO1_RSUGN01|EQP0000000002124202|RSUGNHUB-07|8.0|CBL0000000002353277|I01TR1FSP001-052RSUGNFOSC-11|CFOA-SM-AS-80G-72|72|Autossustentável|179.3|RSUGNHUB-12|EQP0000000002341535|RSUGNFOSC-11|EQP0000000002126528|1
