UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RS|URUGUAIANA|CBL0000000002093607|SP177[SS1]|1||0
RS|URUGUAIANA|CBL0000000002093745|SP177[SS1-SS2]|2||0
RS|URUGUAIANA|CBL0000000002093939|SP23[SS1-SS7]|7||0
RS|URUGUAIANA|CBL0000000002093972|SP177[SS1-SS3]|3||0
RS|URUGUAIANA|CBL0000000002093973|SP23[SS1-SS6]|6||0
RS|URUGUAIANA|CBL0000000002094193|SP23[SS1-SS5]|5||0
RS|URUGUAIANA|CBL0000000002094194|SP23[SS1-SS4]|4||0
RS|URUGUAIANA|CBL0000000002094197|SP156[SS2-SS7]|6||0
RS|URUGUAIANA|CBL0000000002094198|SP23[SS1]|1||0
RS|URUGUAIANA|CBL0000000002094199|SP23[SS1-SS3]|3||0
RS|URUGUAIANA|CBL0000000002094200|SP23[SS1-SS2]|2||0
RS|URUGUAIANA|CBL0000000002094284|SP156[SS2-SS6]|5||0
RS|URUGUAIANA|CBL0000000002094312|SP156[SS2-SS5]|4||0
RS|URUGUAIANA|CBL0000000002094367|SP156[SS2-SS4]|3||0
RS|URUGUAIANA|CBL0000000002094585|SP156[SS2-SS3]|2||0
RS|URUGUAIANA|CBL0000000002094852|SP177[SS1-SS4]|4||0
RS|URUGUAIANA|CBL0000000002094885|SP20[SS1-SS7]|7||0
RS|URUGUAIANA|CBL0000000002094886|SP20[SS1-SS6]|6||0
RS|URUGUAIANA|CBL0000000002094889|SP177[SS1-SS5]|5||0
RS|URUGUAIANA|CBL0000000002094890|SP20[SS1-SS5]|5||0
RS|URUGUAIANA|CBL0000000002094892|SP20[SS1-SS4]|4||0
RS|URUGUAIANA|CBL0000000002094894|SP20[SS1-SS3]|3||0
RS|URUGUAIANA|CBL0000000002094897|SP20[SS1-SS2]|2||0
RS|URUGUAIANA|CBL0000000002094898|SP20[SS1]|1||0
RS|URUGUAIANA|CBL0000000002094927|SP177[SS1-SS6]|6||0
RS|URUGUAIANA|CBL0000000002095184|SP177[SS1-SS7]|7||0
RS|URUGUAIANA|CBL0000000002095244|SP149[SS1-SS7]|7||0
RS|URUGUAIANA|CBL0000000002095246|SP149[SS1-SS6]|6||0
RS|URUGUAIANA|CBL0000000002095248|SP149[SS1-SS5]|5||0
RS|URUGUAIANA|CBL0000000002095254|SP149[SS1-SS2]|2||0
RS|URUGUAIANA|CBL0000000002095302|SP149[SS1-SS4]|4||0
RS|URUGUAIANA|CBL0000000002095304|SP149[SS1-SS3]|3||0
