UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101191|I01G0456|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|21.66|RSUGNFOSC-13|EQP0000000002341671|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101218|I01G0455|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|21.66|RSUGNFOSC-13|EQP0000000002341671|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101218|I01G0455|2|CBL0000000002101551|RSUGN-I01-SP057F1I01G0455|DROP 12F|12|Autossustentável|101.28|I01G0455|EQP0000000002101218|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101245|I01G0454|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|21.66|RSUGNFOSC-13|EQP0000000002341671|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101245|I01G0454|2|CBL0000000002101551|RSUGN-I01-SP057F1I01G0455|DROP 12F|12|Autossustentável|101.28|I01G0455|EQP0000000002101218|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101245|I01G0454|3|CBL0000000002101550|RSUGN-I01-SP057F1I01G0454|DROP 12F|12|Autossustentável|111.28|I01G0455|EQP0000000002101218|I01G0454|EQP0000000002101245|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|21.66|RSUGNFOSC-13|EQP0000000002341671|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|2|CBL0000000002101551|RSUGN-I01-SP057F1I01G0455|DROP 12F|12|Autossustentável|101.28|I01G0455|EQP0000000002101218|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|3|CBL0000000002101550|RSUGN-I01-SP057F1I01G0454|DROP 12F|12|Autossustentável|111.28|I01G0455|EQP0000000002101218|I01G0454|EQP0000000002101245|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101272|I01G0453|4|CBL0000000002101506|RSUGN-I01-SP057F1I01G0453|DROP 12F|12|Autossustentável|87.98|I01G0453|EQP0000000002101272|I01G0454|EQP0000000002101245|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101299|I01G0451|1|CBL0000000002750305|RSUGN-I01-SP057F1I01G0456|DROP 12F|12|Autossustentável|21.66|RSUGNFOSC-13|EQP0000000002341671|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101299|I01G0451|2|CBL0000000002101551|RSUGN-I01-SP057F1I01G0455|DROP 12F|12|Autossustentável|101.28|I01G0455|EQP0000000002101218|I01G0456|EQP0000000002101191|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101299|I01G0451|3|CBL0000000002101550|RSUGN-I01-SP057F1I01G0454|DROP 12F|12|Autossustentável|111.28|I01G0455|EQP0000000002101218|I01G0454|EQP0000000002101245|1
RS|URUGUAIANA|RSUGN_G1I01|DGO1_RSUGN01|Secundario|LOC0000000001794807|PT45|EQP0000000002341671|RSUGNFOSC-13|EQP0000000002101299|I01G0451|4|CBL0000000002101506|RSUGN-I01-SP057F1I01G0453|DROP 12F|12|Autossustentável|87.98|I01G0453|EQP0000000002101272|I01G0454|EQP0000000002101245|1
