UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS;NOME_OLT;NOME_PORTA_OLT
EQP0000000002108025;I01G0020;CTO SPLITTER 1 8;RSUGN_G1I01;TRAVESSA ARTUR RODRIGUES DE BARROS URUGUAIANA CABO LUIS QUEVEDO 97503786 RS 4354;URUGUAIANA;-29.778576000;-57.104511600;G0;RSUGN-I01SP3;RSUGN-I01SP3-SS4;BR-RSUGN01-OLT01-NK;1/1/1/3
EQP0000000002242996;I01G0879;CTO SPLITTER 1 8;RSUGN_G1I01;RUA MINISTRO JOAQUIM MURTINHO URUGUAIANA SAO JOAO 97502545 RS 2941;URUGUAIANA;-29.765734900;-57.070184600;G0;RSUGN-I01SP110;RSUGN-I01SP110-SS7;BR-RSUGN01-OLT01-NK;1/1/5/15
EQP0000000002095925;I01G01159;CTO SPLITTER 1 8;RSUGN_G1I01;RUA DOS ANDRADAS URUGUAIANA SANTO ANTONIO 97502114 RS 1343;URUGUAIANA;-29.751347100;-57.078369700;G0;RSUGN-I01SP145;RSUGN-I01SP145-SS7;BR-RSUGN01-OLT01-NK;1/1/7/7
EQP0000000002135938;I01G02288;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL CAMARA URUGUAIANA SAO MIGUEL 97502756 RS 2715;URUGUAIANA;-29.763778600;-57.083040700;G0;RSUGN-I01SP286;RSUGN-I01SP286-SS8;BR-RSUGN01-OLT02-NK;1/1/5/6
EQP0000000003786361;I01G01108;CTO SPLITTER 1 8;RSUGN_G1I01;RUA PRADO LIMA URUGUAIANA NOVA ESPERANCA 97503277 RS 1681;URUGUAIANA;-29.765324600;-57.096995200;G0;RSUGN-I01SP139;RSUGN-I01SP139-SS4;BR-RSUGN01-OLT01-NK;1/1/7/2
EQP0000000002104435;I01G02111;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL CANABARRO URUGUAIANA NOVA ESPERANCA 97503288 RS 2224;URUGUAIANA;-29.762493700;-57.091394400;G0;RSUGN-I01SP264;RSUGN-I01SP264-SS7;BR-RSUGN01-OLT02-NK;1/1/4/7
EQP0000000002344969;I01G01616;CTO SPLITTER 1 8;RSUGN_G1I01;RUA TIRADENTES URUGUAIANA CENTRO 97501577 RS SN;URUGUAIANA;-29.754036000;-57.087244800;G0;RSUGN-I01SP202;RSUGN-I01SP202-SS8;BR-RSUGN01-OLT02-NK;1/1/1/6
EQP0000000002106308;I01G02164;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL HIPOLITO URUGUAIANA NOVA ESPERANCA 97503310 RS 1896;URUGUAIANA;-29.764076100;-57.094921000;G0;RSUGN-I01SP271;RSUGN-I01SP271-SS4;BR-RSUGN01-OLT02-NK;1/1/4/12
EQP0000000002094680;I01G01190;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL FLORES DA CUNHA URUGUAIANA CENTRO 97501624 RS 1256;URUGUAIANA;-29.750540600;-57.080117600;G0;RSUGN-I01SP149;RSUGN-I01SP149-SS6;BR-RSUGN01-OLT01-NK;1/1/7/9
EQP0000000002250504;I01G0526;CTO SPLITTER 1 8;RSUGN_G1I01;RUA GENERAL CAMARA URUGUAIANA SAO MIGUEL 97502704 RS SN;URUGUAIANA;-29.770996600;-57.082923300;G0;RSUGN-I01SP66;RSUGN-I01SP66-SS6;BR-RSUGN01-OLT01-NK;1/1/4/2
EQP0000000235884224;I01GP1736;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40;RSUGN_G1I01;RUA GENERAL FLORES DA CUNHA URUGUAIANA CENTRO 97501650 RS 1888;URUGUAIANA;-29.756211200;-57.080139900;GP;RSUGN-I01SP217;S8_1;BR-RSUGN01-OLT02-NK;1/1/2/2
EQP0000000002095041;I01G01406;CTO SPLITTER 1 8;RSUGN_G1I01;RUA QUINZE DE NOVEMBRO URUGUAIANA CENTRO 97501529 RS 1525;URUGUAIANA;-29.753028100;-57.087997000;G0;RSUGN-I01SP176;RSUGN-I01SP176-SS6;BR-RSUGN01-OLT01-NK;1/1/8/7
EQP0000000002100100;I01G01934;CTO SPLITTER 1 8;RSUGN_G1I01;RUA CABO LUIZ QUEVEDO URUGUAIANA BELA VISTA 97501786 RS 2342;URUGUAIANA;-29.760513900;-57.099282600;G0;RSUGN-I01SP242;RSUGN-I01SP242-SS6;BR-RSUGN01-OLT02-NK;1/1/3/6
EQP0000000002107290;I01G0044;CTO SPLITTER 1 8;RSUGN_G1I01;RUA DOUTOR ADIR MACHADO MASCIA URUGUAIANA CABO LUIS QUEVEDO 97503860 RS 1290;URUGUAIANA;-29.779416400;-57.100982200;G0;RSUGN-I01SP6;RSUGN-I01SP6-SS4;BR-RSUGN01-OLT01-NK;1/1/1/6
