UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005083894|OK|SP1-SP36;SP38-SP46|45||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005084204|OK|SP145-SP151;SP153-SP166;SP170-SP175;SP177-SP180;SP182;SP184-SP186;SP188-SP200;SP202-SP214;SP216-SP219|65||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005084581|OK|SP1-SP36;SP38-SP46|45||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005084979|OK|SP1-SP31|31||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005085241|OK|SP27-SP31|5||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005085555|OK|SP1-SP26|26||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005098272|OK|SP1-SP16|16||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005098647|OK|SP1-SP13|13||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005098857|OK|SP1-SP11|11||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005099137|OK|SP1-SP10|10||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005099320|OK|SP1-SP8|8||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005099571|OK|SP1-SP3|3||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005100061|OK|SP4-SP5|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005100511|OK|SP17-SP23|7||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005101191|OK|SP22|1||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005101492|OK|SP17-SP21|5||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005102005|OK|SP17-SP19|3||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005102816|OK|SP32-SP36;SP38-SP44|12||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005103214|OK|SP40-SP41|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005103744|OK|SP32-SP36;SP38-SP39|7||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005104425|OK|SP32-SP36|5||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005104691|OK|SP35-SP36|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005105049|OK|SP32-SP34|3||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005105746|OK|SP145-SP151;SP153-SP166;SP170-SP175;SP177-SP180;SP182;SP184-SP186;SP188-SP200;SP202-SP214;SP216-SP219|65||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005106175|OK|SP145-SP151;SP153-SP166;SP170-SP175;SP177-SP180;SP182;SP184-SP186;SP188-SP200;SP202-SP214;SP216-SP218|64||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005106663|OK|SP217-SP218|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005107013|OK|SP145-SP151;SP153-SP166;SP170-SP175;SP177-SP180;SP182;SP184-SP186;SP188-SP200;SP202-SP214;SP216|62||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005107474|OK|SP145-SP151;SP153-SP166;SP170-SP172|24||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005108447|OK|SP165-SP166|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005109074|OK|SP165-SP166|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005112738|OK|SP145-SP151;SP153-SP164|19||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005113351|OK|SP161-SP164|4||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005113668|OK|SP161-SP162|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005114291|OK|SP145-SP151;SP153-SP160|15||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005114658|OK|SP154-SP158|5||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005115016|OK|SP154-SP155|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005115354|OK|SP145-SP151;SP153|8||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005115782|OK|SP151|1||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005116473|OK|SP145-SP150|6||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005116759|OK|SP145-SP148|4||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005117073|OK|SP145-SP146|2||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005117712|OK|SP173-SP175;SP177-SP180;SP182;SP184-SP186;SP188-SP200;SP202-SP214|37||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005118346|OK|SP209-SP211|3||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005118903|OK|SP173-SP175;SP177-SP180;SP182;SP184-SP186;SP188-SP200;SP202-SP208|31||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005119212|OK|SP188-SP200;SP202-SP206|18||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005119665|OK|SP202-SP206|5||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005119907|OK|SP188-SP200|13||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005122714|OK|SP188-SP197|10||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005124034|OK|SP188-SP195|8||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005124662|OK|SP192-SP194|3||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005125105|OK|SP188-SP191|4||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005126330|OK|SP173-SP175;SP177-SP180;SP182;SP184-SP186|11||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005126660|OK|SP173-SP175;SP177-SP180;SP182;SP184-SP185|10||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005126908|OK|SP182|1||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005127700|OK|SP173-SP175;SP177-SP180|7||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005129222|OK|SP173-SP175|3||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005330441|OK|SP145-SP151;SP153-SP166;SP170-SP171|23||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005331333|OK|SP145-SP151;SP153-SP166;SP170|22||0
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|CBL0000000005083894|NOK||0|F37|1
