UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
ES|VIANA|CBL0000000004671474|SP219[SS1-SS8]|8||0
ES|VIANA|CBL0000000004671616|SP219[SS1-SS7]|7||0
ES|VIANA|CBL0000000004671824|SP219[SS1-SS6]|6||0
ES|VIANA|CBL0000000004671898|SP219[SS1-SS5]|5||0
ES|VIANA|CBL0000000004671946|SP219[SS1-SS4]|4||0
ES|VIANA|CBL0000000004672107|SP219[SS1-SS3]|3||0
ES|VIANA|CBL0000000004672193|SP219[SS1-SS2]|2||0
ES|VIANA|CBL0000000004672276|SP219[SS1]|1||0
ES|VIANA|CBL0000000004672767|SP217[SS1-SS8]|8||0
ES|VIANA|CBL0000000004672840|SP217[SS1-SS7]|7||0
ES|VIANA|CBL0000000004672930|SP217[SS1-SS6]|6||0
ES|VIANA|CBL0000000004673061|SP217[SS1-SS5]|5||0
ES|VIANA|CBL0000000004673144|SP217[SS1-SS4]|4||0
ES|VIANA|CBL0000000004673266|SP217[SS1-SS3]|3||0
ES|VIANA|CBL0000000004673332|SP217[SS1-SS2]|2||0
ES|VIANA|CBL0000000004673432|SP217[SS1]|1||0
ES|VIANA|CBL0000000004673709|SP218[SS2-SS8]|7||0
ES|VIANA|CBL0000000004673730|SP218[SS2-SS7]|6||0
ES|VIANA|CBL0000000004673813|SP218[SS2-SS6]|5||0
ES|VIANA|CBL0000000004673891|SP218[SS2-SS5]|4||0
ES|VIANA|CBL0000000004674043|SP218[SS2-SS4]|3||0
ES|VIANA|CBL0000000004674087|SP209[SS3-SS8]|6||0
ES|VIANA|CBL0000000004674088|SP218[SS2-SS3]|2||0
ES|VIANA|CBL0000000004674135|SP218[SS2]|1||0
ES|VIANA|CBL0000000004674190|SP209[SS3-SS7]|5||0
ES|VIANA|CBL0000000004674255|SP209[SS3-SS6]|4||0
ES|VIANA|CBL0000000004674339|SP209[SS3-SS5]|3||0
ES|VIANA|CBL0000000004674483|SP209[SS3-SS4]|2||0
ES|VIANA|CBL0000000004674635|SP209[SS3]|1||0
ES|VIANA|CBL0000000004675134|SP216[SS6-SS8]|3||0
ES|VIANA|CBL0000000004675228|SP216[SS6-SS7]|2||0
ES|VIANA|CBL0000000004675278|SP216[SS6]|1||0
ES|VIANA|CBL0000000004675422|SP211[SS3-SS8]|6||0
ES|VIANA|CBL0000000004675444|SP211[SS3-SS7]|5||0
ES|VIANA|CBL0000000004675528|SP211[SS3-SS6]|4||0
ES|VIANA|CBL0000000004675553|SP211[SS3-SS5]|3||0
ES|VIANA|CBL0000000004675583|SP211[SS3-SS4]|2||0
ES|VIANA|CBL0000000004675657|SP211[SS3]|1||0
ES|VIANA|CBL0000000004676266|SP214[SS5-SS8]|4||0
ES|VIANA|CBL0000000004676480|SP214[SS5-SS7]|3||0
ES|VIANA|CBL0000000004676593|SP214[SS5-SS6]|2||0
ES|VIANA|CBL0000000004676672|SP214[SS5]|1||0
ES|VIANA|CBL0000000004677173|SP210[SS2-SS8]|7||0
ES|VIANA|CBL0000000004677404|SP210[SS2-SS7]|6||0
ES|VIANA|CBL0000000004677499|SP210[SS2-SS6]|5||0
ES|VIANA|CBL0000000004677595|SP210[SS2-SS5]|4||0
ES|VIANA|CBL0000000004677786|SP210[SS2-SS4]|3||0
ES|VIANA|CBL0000000004678036|SP210[SS2-SS3]|2||0
ES|VIANA|CBL0000000004678043|SP213[SS3-SS8]|6||0
ES|VIANA|CBL0000000004678096|SP213[SS3-SS7]|5||0
ES|VIANA|CBL0000000004678232|SP213[SS3-SS6]|4||0
ES|VIANA|CBL0000000004678340|SP213[SS3-SS5]|3||0
ES|VIANA|CBL0000000004678357|SP210[SS2]|1||0
ES|VIANA|CBL0000000004678368|SP213[SS3-SS4]|2||0
ES|VIANA|CBL0000000004678474|SP213[SS3]|1||0
ES|VIANA|CBL0000000004679160|SP212[SS2-SS8]|7||0
ES|VIANA|CBL0000000004679224|SP212[SS2-SS7]|6||0
ES|VIANA|CBL0000000004679436|SP212[SS2-SS6]|5||0
ES|VIANA|CBL0000000004679499|SP212[SS2-SS5]|4||0
ES|VIANA|CBL0000000004679676|SP212[SS2-SS4]|3||0
ES|VIANA|CBL0000000004679919|SP212[SS2-SS3]|2||0
ES|VIANA|CBL0000000004680093|SP212[SS2]|1||0
ES|VIANA|CBL0000000004680972|SP207[SS2-SS8]|7||0
ES|VIANA|CBL0000000004681082|SP207[SS2-SS7]|6||0
ES|VIANA|CBL0000000004681307|SP207[SS2-SS6]|5||0
ES|VIANA|CBL0000000004681500|SP207[SS2-SS5]|4||0
ES|VIANA|CBL0000000004681622|SP207[SS2-SS4]|3||0
ES|VIANA|CBL0000000004681750|SP207[SS2-SS3]|2||0
ES|VIANA|CBL0000000004681860|SP207[SS2]|1||0
ES|VIANA|CBL0000000004682423|SP208[SS6-SS8]|3||0
ES|VIANA|CBL0000000004683350|SP197[SS1-SS8]|8||0
ES|VIANA|CBL0000000004683437|SP208[SS6-SS7]|2||0
ES|VIANA|CBL0000000004683438|SP197[SS1-SS7]|7||0
ES|VIANA|CBL0000000004683483|SP197[SS1-SS6]|6||0
ES|VIANA|CBL0000000004683487|SP208[SS6]|1||0
ES|VIANA|CBL0000000004683540|SP197[SS1-SS5]|5||0
ES|VIANA|CBL0000000004684078|SP197[SS1-SS4]|4||0
ES|VIANA|CBL0000000004684100|SP197[SS1-SS3]|3||0
ES|VIANA|CBL0000000004684185|SP197[SS1-SS2]|2||0
ES|VIANA|CBL0000000004684307|SP197[SS1]|1||0
ES|VIANA|CBL0000000004684645|SP196[SS2-SS8]|7||0
ES|VIANA|CBL0000000004684770|SP196[SS2-SS7]|6||0
ES|VIANA|CBL0000000004685456|SP196[SS2-SS6]|5||0
ES|VIANA|CBL0000000004686120|SP196[SS2-SS5]|4||0
ES|VIANA|CBL0000000004686271|SP196[SS2-SS4]|3||0
ES|VIANA|CBL0000000004686356|SP204[SS6-SS8]|3||0
ES|VIANA|CBL0000000004686483|SP196[SS2-SS3]|2||0
ES|VIANA|CBL0000000004686662|SP196[SS2]|1||0
ES|VIANA|CBL0000000004686674|SP204[SS6-SS7]|2||0
ES|VIANA|CBL0000000004687051|SP204[SS6]|1||0
ES|VIANA|CBL0000000004687473|SP195[SS3-SS8]|6||0
ES|VIANA|CBL0000000004687763|SP195[SS3-SS7]|5||0
ES|VIANA|CBL0000000004687999|SP195[SS3-SS6]|4||0
ES|VIANA|CBL0000000004688232|SP195[SS3-SS5]|3||0
ES|VIANA|CBL0000000004688453|SP195[SS3-SS4]|2||0
ES|VIANA|CBL0000000004688661|SP195[SS3]|1||0
ES|VIANA|CBL0000000004689420|SP202[SS2-SS8]|7||0
ES|VIANA|CBL0000000004689731|SP202[SS2-SS7]|6||0
ES|VIANA|CBL0000000004689971|SP202[SS2-SS6]|5||0
ES|VIANA|CBL0000000004690119|SP202[SS2-SS5]|4||0
ES|VIANA|CBL0000000004690413|SP202[SS2-SS4]|3||0
ES|VIANA|CBL0000000004690648|SP202[SS2-SS3]|2||0
ES|VIANA|CBL0000000004690991|SP202[SS2]|1||0
ES|VIANA|CBL0000000004692258|SP203[SS1;SS3-SS8]|7||0
ES|VIANA|CBL0000000004692641|SP203[SS1;SS3-SS7]|6||0
ES|VIANA|CBL0000000004692974|SP203[SS1;SS3-SS6]|5||0
ES|VIANA|CBL0000000004693163|SP194[SS2-SS8]|7||0
ES|VIANA|CBL0000000004693211|SP203[SS1;SS3-SS5]|4||0
ES|VIANA|CBL0000000004693304|SP194[SS2-SS7]|6||0
