UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004482229|I01G01728|1|CBL0000000004675134|ESVIA-I01-SP216F1I01G01728|DROP 12F|12|Cordoalha|146.05|ESVIA-I01-SP216|EQP0000000004481848|I01G01728|EQP0000000004482229|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004482730|I01G01727|1|CBL0000000004675134|ESVIA-I01-SP216F1I01G01728|DROP 12F|12|Cordoalha|146.05|ESVIA-I01-SP216|EQP0000000004481848|I01G01728|EQP0000000004482229|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004482730|I01G01727|2|CBL0000000004675228|ESVIA-I01-SP216F1I01G01727|DROP 12F|12|Cordoalha|328.44|I01G01728|EQP0000000004482229|I01G01727|EQP0000000004482730|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004483643|I01G01726|1|CBL0000000004675134|ESVIA-I01-SP216F1I01G01728|DROP 12F|12|Cordoalha|146.05|ESVIA-I01-SP216|EQP0000000004481848|I01G01728|EQP0000000004482229|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004483643|I01G01726|2|CBL0000000004675228|ESVIA-I01-SP216F1I01G01727|DROP 12F|12|Cordoalha|328.44|I01G01728|EQP0000000004482229|I01G01727|EQP0000000004482730|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003953998|PT_ESVIA2029|EQP0000000004481848|ESVIA-I01-SP216|EQP0000000004483643|I01G01726|3|CBL0000000004675278|ESVIA-I01-SP216F1I01G01726|DROP 12F|12|Cordoalha|74.8|I01G01727|EQP0000000004482730|I01G01726|EQP0000000004483643|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|2|CBL0000000004704010|ESVIA-I01-SP200F1I01G01599|DROP 12F|12|Cordoalha|73.48|I01G01600|EQP0000000004525474|I01G01599|EQP0000000004525123|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|3|CBL0000000004704247|ESVIA-I01-SP200F1I01G01598|DROP 12F|12|Cordoalha|65.76|I01G01599|EQP0000000004525123|I01G01598|EQP0000000004524855|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|4|CBL0000000004704350|ESVIA-I01-SP200F1I01G01597|DROP 12F|12|Cordoalha|64.35|I01G01598|EQP0000000004524855|I01G01597|EQP0000000004524615|1
ES|VIANA|ESVIA_G1I01|BR-ESVIA01-DGO1|Secundario|LOC0000000003954008|PT_ESVIA103|EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|EQP0000000004523698|I01G01593|5|CBL0000000004704476|ESVIA-I01-SP200F1I01G01596|DROP 12F|12|Cordoalha|44.0|I01G01597|EQP0000000004524615|I01G01596|EQP0000000004524469|1
