IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UF|MUNICIPIO|ARMARIO
CBL0000000142625701|||||||||||||||EQP0000000004536614|I01GP1483|LOC0000000004344813|MDU|ESVIA(2)_QDO-LT6;BL D|-20.346210600|-40.422389000|EQP0000000142622924|I01GP1484|LOC0000000004344813|MDU|ESVIA(2)_QDO-LT6;BL D|-20.346210600|-40.422389000|ES|VIANA|ESVIA_G1I01
CBL0000000004782675|||||||||||||||EQP0000000004719750|ESVIA-I01-SP32-SP33-SP34|LOC0000000003954839|Poste|PT_ESVIA2150|-20.348709600|-40.424783600|EQP0000000004724455|I01G0256|LOC0000000003954839|Poste|PT_ESVIA2150|-20.348709600|-40.424783600|ES|VIANA|ESVIA_G1I01
CBL0000000004718077|||||||||||||||EQP0000000004673384|ESVIA-I01-SP154-SP155|LOC0000000003957632|Poste|PT_ESVIA1573|-20.358461300|-40.411134600|EQP0000000004673599|I01G01232|LOC0000000003957632|Poste|PT_ESVIA1573|-20.358461300|-40.411134600|ES|VIANA|ESVIA_G1I01
CBL0000000004729775|||||||||||||||EQP0000000004696206|ESVIA-I01-SP145-SP146|LOC0000000003958392|Poste|PT_ESVIA1742|-20.361600700|-40.407296800|EQP0000000004703302|I01G01160|LOC0000000003958392|Poste|PT_ESVIA1742|-20.361600700|-40.407296800|ES|VIANA|ESVIA_G1I01
CBL0000000004715244|||||||||||||||EQP0000000004664130|ESVIA-I01-SP156-SP157-SP158|LOC0000000003957222|Poste|PT_ESVIA1510|-20.357557400|-40.409026200|EQP0000000004664571|I01G01256|LOC0000000003957222|Poste|PT_ESVIA1510|-20.357557400|-40.409026200|ES|VIANA|ESVIA_G1I01
CBL0000000004784988|||||||||||||||EQP0000000004743913|ESVIA-I01-SP11|LOC0000000003955836|Poste|PT_ESVIA369|-20.359783600|-40.445968100|EQP0000000004784922|I01G0088|LOC0000000003955836|Poste|PT_ESVIA369|-20.359783600|-40.445968100|ES|VIANA|ESVIA_G1I01
CBL0000000128455452|||||||||||||||EQP0000000004638685|I01GP1313|LOC0000000004349148|MDU|ESVIA(27)_281;VILA TOPÁZIO BL 1|-20.355326100|-40.410927400|EQP0000000128455329|I01GP1314|LOC0000000004349148|MDU|ESVIA(27)_281;VILA TOPÁZIO BL 1|-20.355326100|-40.410927400|ES|VIANA|ESVIA_G1I01
CBL0000000004782665|||||||||||||||EQP0000000004718638|I01G0272|LOC0000000003954869|Poste|PT_ESVIA2155|-20.349131300|-40.424785100|EQP0000000004718815|I01G0271|LOC0000000003954869|Poste|PT_ESVIA2155|-20.349131300|-40.424785100|ES|VIANA|ESVIA_G1I01
CBL0000000142616368|||||||||||||||EQP0000000142614612|I01GP1485|LOC0000000004344898|MDU|ESVIA(5)_QDO-LT6;BL A|-20.345773800|-40.422548300|EQP0000000142615218|I01GP1486|LOC0000000004344898|MDU|ESVIA(5)_QDO-LT6;BL A|-20.345773800|-40.422548300|ES|VIANA|ESVIA_G1I01
CBL0000000004851133|||||||||||||||EQP0000000004707467|ESVIA-I01-SP38-SP39|LOC0000000003956453|Poste|PT_ESVIA2381|-20.350250700|-40.425830800|EQP0000000004707473|I01G0312|LOC0000000003956453|Poste|PT_ESVIA2381|-20.350250700|-40.425830800|ES|VIANA|ESVIA_G1I01
CBL0000000004778054|||||||||||||||EQP0000000004722258|ESVIA-I01-SP17-SP18-SP19|LOC0000000003958601|Poste|PT_ESVIA838|-20.357547400|-40.439493100|EQP0000000004722310|I01G0144|LOC0000000003958601|Poste|PT_ESVIA838|-20.357547400|-40.439493100|ES|VIANA|ESVIA_G1I01
CBL0000000142626000|||||||||||||||EQP0000000142624072|I01GP1481|LOC0000000004344813|MDU|ESVIA(2)_QDO-LT6;BL D|-20.346210600|-40.422389000|EQP0000000142623629|I01GP1482|LOC0000000004344813|MDU|ESVIA(2)_QDO-LT6;BL D|-20.346210600|-40.422389000|ES|VIANA|ESVIA_G1I01
CBL0000000004715939|||||||||||||||EQP0000000004641066|ESVIA-I01-SP163-SP164|LOC0000000003957664|Poste|PT_ESVIA1581|-20.357690600|-40.412265600|EQP0000000004648209|I01G01304|LOC0000000003957664|Poste|PT_ESVIA1581|-20.357690600|-40.412265600|ES|VIANA|ESVIA_G1I01
CBL0000000004695287|||||||||||||||EQP0000000004536726|ESVIA-I01-SP192-SP193-SP194|LOC0000000003954817|Poste|PT_ESVIA1165|-20.345249100|-40.426975000|EQP0000000004536942|I01G01544|LOC0000000003954817|Poste|PT_ESVIA1165|-20.345249100|-40.426975000|ES|VIANA|ESVIA_G1I01
CBL0000000142606603|||||||||||||||EQP0000000004536534|I01GP1487|LOC0000000004344898|MDU|ESVIA(5)_QDO-LT6;BL A|-20.345773800|-40.422548300|EQP0000000142606175|I01GP1488|LOC0000000004344898|MDU|ESVIA(5)_QDO-LT6;BL A|-20.345773800|-40.422548300|ES|VIANA|ESVIA_G1I01
CBL0000000004782162|||||||||||||||EQP0000000004776440|ESVIA-I01-SP01-SP02-SP03|LOC0000000003954981|Poste|PT_ESVIA246|-20.359805100|-40.454575400|EQP0000000004776755|I01G0016|LOC0000000003954981|Poste|PT_ESVIA246|-20.359805100|-40.454575400|ES|VIANA|ESVIA_G1I01
CBL0000000004676266|||||||||||||||EQP0000000004491160|ESVIA-I01-SP212-SP213-SP214-SP215|LOC0000000003954899|Poste|PT_ESVIA2160|-20.349162200|-40.424191900|EQP0000000004494394|I01G01712|LOC0000000003954899|Poste|PT_ESVIA2160|-20.349162200|-40.424191900|ES|VIANA|ESVIA_G1I01
CBL0000000004781450|||||||||||||||EQP0000000004745796|ESVIA-I01-SP04-SP05|LOC0000000003956083|Poste|PT_ESVIA403|-20.356398900|-40.447156600|EQP0000000004746189|I01G0032|LOC0000000003956083|Poste|PT_ESVIA403|-20.356398900|-40.447156600|ES|VIANA|ESVIA_G1I01
CBL0000000004703572|||||||||||||||EQP0000000004521056|ESVIA-I01-SP198-SP199-SP200-SP201|LOC0000000003954008|Poste|PT_ESVIA103|-20.346666600|-40.424831500|EQP0000000004525474|I01G01600|LOC0000000003954008|Poste|PT_ESVIA103|-20.346666600|-40.424831500|ES|VIANA|ESVIA_G1I01
CBL0000000004786719|||||||||||||||EQP0000000004749219|ESVIA-I01-SP09-SP10|LOC0000000003955818|Poste|PT_ESVIA366|-20.359546300|-40.446795300|EQP0000000004749757|I01G0080|LOC0000000003955818|Poste|PT_ESVIA366|-20.359546300|-40.446795300|ES|VIANA|ESVIA_G1I01
CBL0000000004711515|PT_ESVIA1486|LOC0000000003957051|Poste|-20.358018800|-40.409072300|Aerial|Cordoalha|41.200000000|41.200000000|PT_ESVIA1487|LOC0000000003957057|Poste|-20.358356700|-40.409237600|EQP0000000004667974|I01G01264|LOC0000000003957057|Poste|PT_ESVIA1487|-20.358356700|-40.409237600|EQP0000000004668332|I01G01263|LOC0000000003956831|Poste|PT_ESVIA1462|-20.358368200|-40.408934000|ES|VIANA|ESVIA_G1I01
CBL0000000004711515|PT_ESVIA1486|LOC0000000003957051|Poste|-20.358018800|-40.409072300|Aerial|Cordoalha|41.290000000|41.300000000|PT_ESVIA1462|LOC0000000003956831|Poste|-20.358368200|-40.408934000|EQP0000000004667974|I01G01264|LOC0000000003957057|Poste|PT_ESVIA1487|-20.358356700|-40.409237600|EQP0000000004668332|I01G01263|LOC0000000003956831|Poste|PT_ESVIA1462|-20.358368200|-40.408934000|ES|VIANA|ESVIA_G1I01
CBL0000000004711050|PT_ESVIA979|LOC0000000003959180|Poste|-20.341257100|-40.420710900|Aerial|Cordoalha|35.560000000|35.600000000|PT_ESVIA978|LOC0000000003959176|Poste|-20.341466900|-40.420453000|EQP0000000004626812|I01G01420|LOC0000000003959180|Poste|PT_ESVIA979|-20.341257100|-40.420710900|EQP0000000004627145|I01G01419|LOC0000000003959176|Poste|PT_ESVIA978|-20.341466900|-40.420453000|ES|VIANA|ESVIA_G1I01
CBL0000000004727032|PT_ESVIA1743|LOC0000000003958397|Poste|-20.361624800|-40.407611000|Aerial|Cordoalha|45.080000000|45.100000000|PT_ESVIA1741|LOC0000000003958388|Poste|-20.361993600|-40.407427900|EQP0000000004703425|I01G01159|LOC0000000003958397|Poste|PT_ESVIA1743|-20.361624800|-40.407611000|EQP0000000004703666|I01G01158|LOC0000000003958388|Poste|PT_ESVIA1741|-20.361993600|-40.407427900|ES|VIANA|ESVIA_G1I01
CBL0000000004784194|PT_ESVIA762|LOC0000000003958218|Poste|-20.356229600|-40.435189000|Aerial|Cordoalha|9.550000000|9.500000000|PT_ESVIA761|LOC0000000003958214|Poste|-20.356306700|-40.435230000|EQP0000000004731777|I01G0240|LOC0000000003958196|Poste|PT_ESVIA757|-20.355971000|-40.435484000|EQP0000000004732015|I01G0239|LOC0000000003958214|Poste|PT_ESVIA761|-20.356306700|-40.435230000|ES|VIANA|ESVIA_G1I01
CBL0000000004784194|PT_ESVIA762|LOC0000000003958218|Poste|-20.356229600|-40.435189000|Aerial|Cordoalha|42.050000000|42.000000000|PT_ESVIA757|LOC0000000003958196|Poste|-20.355971000|-40.435484000|EQP0000000004731777|I01G0240|LOC0000000003958196|Poste|PT_ESVIA757|-20.355971000|-40.435484000|EQP0000000004732015|I01G0239|LOC0000000003958214|Poste|PT_ESVIA761|-20.356306700|-40.435230000|ES|VIANA|ESVIA_G1I01
CBL0000000004704726|PT_ESVIA1162|LOC0000000003954794|Poste|-20.346302200|-40.428176600|Aerial|Cordoalha|19.960000000|20.000000000|PT_ESVIA52|LOC0000000003953703|Poste|-20.346314200|-40.427985900|EQP0000000004543106|ESVIA-I01-SP188-SP189-SP190-SP191|LOC0000000003954725|Poste|PT_ESVIA1157|-20.346662600|-40.428180600|EQP0000000004620908|I01G01520|LOC0000000003953703|Poste|PT_ESVIA52|-20.346314200|-40.427985900|ES|VIANA|ESVIA_G1I01
CBL0000000004704726|PT_ESVIA1157|LOC0000000003954725|Poste|-20.346662600|-40.428180600|Aerial|Cordoalha|39.900000000|39.900000000|PT_ESVIA1162|LOC0000000003954794|Poste|-20.346302200|-40.428176600|EQP0000000004543106|ESVIA-I01-SP188-SP189-SP190-SP191|LOC0000000003954725|Poste|PT_ESVIA1157|-20.346662600|-40.428180600|EQP0000000004620908|I01G01520|LOC0000000003953703|Poste|PT_ESVIA52|-20.346314200|-40.427985900|ES|VIANA|ESVIA_G1I01
CBL0000000004693766|PT_ESVIA1145|LOC0000000003954651|Poste|-20.346607700|-40.426955400|Aerial|Cordoalha|25.610000000|25.600000000|PT_ESVIA1109|LOC0000000003954433|Poste|-20.346838900|-40.426946800|EQP0000000004541814|I01G01549|LOC0000000003954651|Poste|PT_ESVIA1145|-20.346607700|-40.426955400|EQP0000000004542040|I01G01548|LOC0000000003954433|Poste|PT_ESVIA1109|-20.346838900|-40.426946800|ES|VIANA|ESVIA_G1I01
CBL0000000004777569|PT_ESVIA154|LOC0000000003954381|Poste|-20.356133200|-40.438590500|Aerial|Cordoalha|25.770000000|25.800000000|PT_ESVIA155|LOC0000000003954387|Poste|-20.356125400|-40.438837200|EQP0000000004725380|I01G0132|LOC0000000003954374|Poste|PT_ESVIA153|-20.356014600|-40.439018000|EQP0000000004726050|I01G0131|LOC0000000003958715|Poste|PT_ESVIA865|-20.356155800|-40.438115600|ES|VIANA|ESVIA_G1I01
CBL0000000004777569|PT_ESVIA155|LOC0000000003954387|Poste|-20.356125400|-40.438837200|Aerial|Cordoalha|22.510000000|22.500000000|PT_ESVIA153|LOC0000000003954374|Poste|-20.356014600|-40.439018000|EQP0000000004725380|I01G0132|LOC0000000003954374|Poste|PT_ESVIA153|-20.356014600|-40.439018000|EQP0000000004726050|I01G0131|LOC0000000003958715|Poste|PT_ESVIA865|-20.356155800|-40.438115600|ES|VIANA|ESVIA_G1I01
CBL0000000004777569|PT_ESVIA154|LOC0000000003954381|Poste|-20.356133200|-40.438590500|Aerial|Cordoalha|49.650000000|49.650000000|PT_ESVIA865|LOC0000000003958715|Poste|-20.356155800|-40.438115600|EQP0000000004725380|I01G0132|LOC0000000003954374|Poste|PT_ESVIA153|-20.356014600|-40.439018000|EQP0000000004726050|I01G0131|LOC0000000003958715|Poste|PT_ESVIA865|-20.356155800|-40.438115600|ES|VIANA|ESVIA_G1I01
CBL0000000004781832|PT_ESVIA441|LOC0000000003956345|Poste|-20.355664800|-40.448810700|Aerial|Cordoalha|22.580000000|22.580000000|PT_ESVIA440|LOC0000000003956339|Poste|-20.355796900|-40.448645900|EQP0000000004749691|I01G0039|LOC0000000003956309|Poste|PT_ESVIA435|-20.355417400|-40.448393200|EQP0000000004749901|I01G0038|LOC0000000003956327|Poste|PT_ESVIA438|-20.355977800|-40.448192800|ES|VIANA|ESVIA_G1I01
CBL0000000004781832|PT_ESVIA435|LOC0000000003956309|Poste|-20.355417400|-40.448393200|Aerial|Cordoalha|31.750000000|31.750000000|PT_ESVIA436|LOC0000000003956315|Poste|-20.355311800|-40.448675900|EQP0000000004749691|I01G0039|LOC0000000003956309|Poste|PT_ESVIA435|-20.355417400|-40.448393200|EQP0000000004749901|I01G0038|LOC0000000003956327|Poste|PT_ESVIA438|-20.355977800|-40.448192800|ES|VIANA|ESVIA_G1I01
CBL0000000004781832|PT_ESVIA436|LOC0000000003956315|Poste|-20.355311800|-40.448675900|Aerial|Cordoalha|41.540000000|41.540000000|PT_ESVIA441|LOC0000000003956345|Poste|-20.355664800|-40.448810700|EQP0000000004749691|I01G0039|LOC0000000003956309|Poste|PT_ESVIA435|-20.355417400|-40.448393200|EQP0000000004749901|I01G0038|LOC0000000003956327|Poste|PT_ESVIA438|-20.355977800|-40.448192800|ES|VIANA|ESVIA_G1I01
CBL0000000004781832|PT_ESVIA440|LOC0000000003956339|Poste|-20.355796900|-40.448645900|Aerial|Cordoalha|51.370000000|51.370000000|PT_ESVIA438|LOC0000000003956327|Poste|-20.355977800|-40.448192800|EQP0000000004749691|I01G0039|LOC0000000003956309|Poste|PT_ESVIA435|-20.355417400|-40.448393200|EQP0000000004749901|I01G0038|LOC0000000003956327|Poste|PT_ESVIA438|-20.355977800|-40.448192800|ES|VIANA|ESVIA_G1I01
CBL0000000004784101|PT_ESVIA394|LOC0000000003956024|Poste|-20.357445000|-40.446722200|Aerial|Cordoalha|24.030000000|24.000000000|PT_ESVIA393|LOC0000000003956018|Poste|-20.357661900|-40.446731700|EQP0000000004740793|I01G0090|LOC0000000003956024|Poste|PT_ESVIA394|-20.357445000|-40.446722200|EQP0000000004741176|I01G0089|LOC0000000003956018|Poste|PT_ESVIA393|-20.357661900|-40.446731700|ES|VIANA|ESVIA_G1I01
CBL0000000004713292|PT_ESVIA1396|LOC0000000003956433|Poste|-20.354152300|-40.417084300|Aerial|Cordoalha|36.290000000|36.300000000|PT_ESVIA1395|LOC0000000003956427|Poste|-20.353846400|-40.417209200|EQP0000000004638867|I01G01374|LOC0000000003954038|Poste|PT_ESVIA108|-20.351774200|-40.418120700|EQP0000000004639381|I01G01373|LOC0000000003956335|Poste|PT_ESVIA1386|-20.353743700|-40.416126000|ES|VIANA|ESVIA_G1I01
CBL0000000004713292|PT_ESVIA1399|LOC0000000003956451|Poste|-20.354468300|-40.416974000|Aerial|Cordoalha|24.780000000|24.800000000|PT_ESVIA1397|LOC0000000003956439|Poste|-20.354255800|-40.417048600|EQP0000000004638867|I01G01374|LOC0000000003954038|Poste|PT_ESVIA108|-20.351774200|-40.418120700|EQP0000000004639381|I01G01373|LOC0000000003956335|Poste|PT_ESVIA1386|-20.353743700|-40.416126000|ES|VIANA|ESVIA_G1I01
CBL0000000004713292|PT_ESVIA1393|LOC0000000003956377|Poste|-20.353327400|-40.417423000|Aerial|Cordoalha|34.490000000|34.500000000|PT_ESVIA1392|LOC0000000003956371|Poste|-20.353037000|-40.417542500|EQP0000000004638867|I01G01374|LOC0000000003954038|Poste|PT_ESVIA108|-20.351774200|-40.418120700|EQP0000000004639381|I01G01373|LOC0000000003956335|Poste|PT_ESVIA1386|-20.353743700|-40.416126000|ES|VIANA|ESVIA_G1I01
CBL0000000004713292|PT_ESVIA1395|LOC0000000003956427|Poste|-20.353846400|-40.417209200|Aerial|Cordoalha|37.790000000|37.800000000|PT_ESVIA1394|LOC0000000003956409|Poste|-20.353528200|-40.417340300|EQP0000000004638867|I01G01374|LOC0000000003954038|Poste|PT_ESVIA108|-20.351774200|-40.418120700|EQP0000000004639381|I01G01373|LOC0000000003956335|Poste|PT_ESVIA1386|-20.353743700|-40.416126000|ES|VIANA|ESVIA_G1I01
