UID_EQUIP;CTO_NAME;MODELO;ARMARIO;ENDERECO;MUNICIPIO;LATITUDE;LONGITUDE;TIPO_CTO;SP;SS
EQP0000000004744339;I01G0086;CTO SPLITTER 1 8;ESVIA_G1I01;RUA GOIAS VIANA UNIVERSAL 29134439 ES SN;VIANA;-20.359972300;-40.445949000;G0;ESVIA-I01SP11;ESVIA-I01SP11-SS6
EQP0000000004491658;I01G01696;CTO SPLITTER 1 8;ESVIA_G1I01;RUA BARRA DE SAO FRANCISCO VIANA MARCILIO DE NORONHA 29135632 ES QD5-LT20;VIANA;-20.348728700;-40.423171300;G0;ESVIA-I01SP212;ESVIA-I01SP212-SS8
EQP0000000004722141;I01G0259;CTO SPLITTER 1 8;ESVIA_G1I01;RUA PARIS VIANA MARCILIO DE NORONHA 29135401 ES SN;VIANA;-20.348978200;-40.427636800;G0;ESVIA-I01SP33;ESVIA-I01SP33-SS3
EQP0000000004515735;I01G01621;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CACHOEIRO DE ITAPEMIRIM VIANA MARCILIO DE NORONHA 29135533 ES QD12-LT14;VIANA;-20.343490300;-40.423702800;G0;ESVIA-I01SP203;ESVIA-I01SP203-SS5
EQP0000000004780836;I01G0062;CTO SPLITTER 1 8;ESVIA_G1I01;RUA MISSIONARIA VIANA UNIVERSAL 29134463 ES SN;VIANA;-20.357609700;-40.449094700;G0;ESVIA-I01SP8;ESVIA-I01SP8-SS6
EQP0000000004741765;I01G0215;CTO SPLITTER 1 8;ESVIA_G1I01;RUA NITEROI VIANA CANAA 29135106 ES 16;VIANA;-20.357304200;-40.434338200;G0;ESVIA-I01SP27;ESVIA-I01SP27-SS7
EQP0000000004731833;I01G0106;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SAO JOAO VIANA UNIVERSAL 29134421 ES 21;VIANA;-20.361904100;-40.445384500;G0;ESVIA-I01SP14;ESVIA-I01SP14-SS2
EQP0000000004479457;I01G01734;CTO SPLITTER 1 8;ESVIA_G1I01;RUA PRESIDENTE TANCREDO NEVES VIANA PRIMAVERA 29135170 ES SN;VIANA;-20.356853900;-40.423528300;G0;ESVIA-I01SP217;ESVIA-I01SP217-SS6
EQP0000000004750453;I01G0036;CTO SPLITTER 1 8;ESVIA_G1I01;RUA MISSIONARIA VIANA UNIVERSAL 29134463 ES 111;VIANA;-20.355991700;-40.448971600;G0;ESVIA-I01SP5;ESVIA-I01SP5-SS4
EQP0000000004629221;I01G01415;CTO SPLITTER 1 8;ESVIA_G1I01;RUA PEDRO MACHADO DA SILVA VIANA INDUSTRIAL 29135572 ES 23;VIANA;-20.343173400;-40.419231400;G0;ESVIA-I01SP177;ESVIA-I01SP177-SS7
EQP0000000004629512;I01G01414;CTO SPLITTER 1 8;ESVIA_G1I01;RUA DISTRITO FEDERAL VIANA MARCILIO DE NORONHA 29135575 ES SN;VIANA;-20.343512600;-40.419633400;G0;ESVIA-I01SP177;ESVIA-I01SP177-SS6
EQP0000000004482730;I01G01727;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ANGELINA BORTOLOTTI VIANA MARCILIO DE NORONHA 29135331 ES SN;VIANA;-20.352903000;-40.424509800;G0;ESVIA-I01SP216;ESVIA-I01SP216-SS7
EQP0000000004717172;I01G0159;CTO SPLITTER 1 8;ESVIA_G1I01;RUA AMAZONAS VIANA CANAA 29135044 ES 10;VIANA;-20.359034000;-40.437439900;G0;ESVIA-I01SP20;ESVIA-I01SP20-SS7
EQP0000000004709029;I01G01450;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SAO FRANCISCO VIANA MARCILIO DE NORONHA 29135596 ES 20;VIANA;-20.343786800;-40.422543100;G0;ESVIA-I01SP182;ESVIA-I01SP182-SS2
EQP0000000004620558;I01G01508;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA PIRACICABA VIANA MARCILIO DE NORONHA 29135391 ES SN;VIANA;-20.346389800;-40.429532800;G0;ESVIA-I01SP189;ESVIA-I01SP189-SS4
EQP0000000004622073;I01G01435;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ALAGOAS VIANA INDUSTRIAL 29135569 ES SN1;VIANA;-20.344242200;-40.419740900;G0;ESVIA-I01SP180;ESVIA-I01SP180-SS3
EQP0000000004538752;I01G01532;CTO SPLITTER 1 8;ESVIA_G1I01;RUA GUARUJA VIANA MARCILIO DE NORONHA 29135434 ES QD50-LT43;VIANA;-20.343355600;-40.427332800;G0;ESVIA-I01SP192;ESVIA-I01SP192-SS4
EQP0000000004732458;I01G0109;CTO SPLITTER 1 8;ESVIA_G1I01;RUA JOAO EVANGELISTA VIANA UNIVERSAL 29134427 ES 1;VIANA;-20.361204600;-40.445572300;G0;ESVIA-I01SP14;ESVIA-I01SP14-SS5
EQP0000000004691612;I01G0335;CTO SPLITTER 1 8;ESVIA_G1I01;AVENIDA TEREZINHA PEREIRA ABRANCHES VIANA PRIMAVERA 29135220 ES 45;VIANA;-20.352757000;-40.428614500;G0;ESVIA-I01SP42;ESVIA-I01SP42-SS7
EQP0000000004749901;I01G0038;CTO SPLITTER 1 8;ESVIA_G1I01;RUA RODRIGUES NETO VIANA UNIVERSAL 29134664 ES 16;VIANA;-20.355977800;-40.448192800;G0;ESVIA-I01SP5;ESVIA-I01SP5-SS6
EQP0000000004728739;I01G0248;CTO SPLITTER 1 8;ESVIA_G1I01;RUA HORTENSIAS VIANA CANAA 29135100 ES SN;VIANA;-20.357259300;-40.435354300;G0;ESVIA-I01SP31;ESVIA-I01SP31-SS8
EQP0000000004708398;I01G0359;CTO SPLITTER 1 8;ESVIA_G1I01;RUA JOAO DE ALMEIDA VIANA PRIMAVERA 29135201 ES SN;VIANA;-20.354681000;-40.426599500;G0;ESVIA-I01SP45;ESVIA-I01SP45-SS7
EQP0000000004729977;I01G0120;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SAO LUCAS VIANA UNIVERSAL 29134418 ES 20;VIANA;-20.362132600;-40.444910200;G0;ESVIA-I01SP15;ESVIA-I01SP15-SS8
EQP0000000004725380;I01G0132;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ELDORADO VIANA CANAA 29135063 ES 10;VIANA;-20.356014600;-40.439018000;G0;ESVIA-I01SP17;ESVIA-I01SP17-SS4
EQP0000000004730136;I01G0119;CTO SPLITTER 1 8;ESVIA_G1I01;RUA JOAO EVANGELISTA VIANA UNIVERSAL 29134427 ES SN;VIANA;-20.361413300;-40.444114500;G0;ESVIA-I01SP15;ESVIA-I01SP15-SS7
EQP0000000004738807;I01G0229;CTO SPLITTER 1 8;ESVIA_G1I01;RUA GERALDINO INACIO DE OLIVEIRA VIANA CANAA 29135082 ES 18;VIANA;-20.355771600;-40.434800700;G0;ESVIA-I01SP29;ESVIA-I01SP29-SS5
EQP0000000004780910;I01G0061;CTO SPLITTER 1 8;ESVIA_G1I01;RUA DOMINGOS ROMANHA VIANA UNIVERSAL 29134454 ES SN;VIANA;-20.357979000;-40.449570800;G0;ESVIA-I01SP8;ESVIA-I01SP8-SS5
EQP0000000004780646;I01G0064;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CARLOS ALBERTO NASCIMENTO VIANA UNIVERSAL 29134457 ES SN;VIANA;-20.358120100;-40.448319300;G0;ESVIA-I01SP8;ESVIA-I01SP8-SS8
EQP0000000004676638;I01G01225;CTO SPLITTER 1 8;ESVIA_G1I01;RUA FRANCISCO ALVES VIANA VILA BETHANIA 29136067 ES 25;VIANA;-20.359860900;-40.409858100;G0;ESVIA-I01SP154;ESVIA-I01SP154-SS1
EQP0000000004493573;I01G01699;CTO SPLITTER 1 8;ESVIA_G1I01;RUA GUARAPARI VIANA MARCILIO DE NORONHA 29135641 ES QD10-LT8;VIANA;-20.349857300;-40.423679100;G0;ESVIA-I01SP213;ESVIA-I01SP213-SS3
EQP0000000004778615;I01G0189;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CURITIBA VIANA CANAA 29135020 ES 10;VIANA;-20.361661000;-40.437894300;G0;ESVIA-I01SP24;ESVIA-I01SP24-SS5
EQP0000000004534584;I01G01570;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CAMPINAS VIANA MARCILIO DE NORONHA 29135394 ES QD42-LT12;VIANA;-20.345100200;-40.426071200;G0;ESVIA-I01SP197;ESVIA-I01SP197-SS2
EQP0000000004708363;I01G0360;CTO SPLITTER 1 8;ESVIA_G1I01;RUA GALDINO PIMENTEL VIANA PRIMAVERA 29135204 ES 19;VIANA;-20.355406100;-40.426814700;G0;ESVIA-I01SP45;ESVIA-I01SP45-SS8
EQP0000000004778322;I01G0047;CTO SPLITTER 1 8;ESVIA_G1I01;RUA BEIJA FLOR VIANA UNIVERSAL 29134460 ES SN;VIANA;-20.359164400;-40.449200800;G0;ESVIA-I01SP6;ESVIA-I01SP6-SS7
EQP0000000004777673;I01G0191;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CURITIBA VIANA CANAA 29135020 ES SN;VIANA;-20.360234600;-40.436337700;G0;ESVIA-I01SP24;ESVIA-I01SP24-SS7
EQP0000000004776755;I01G0016;CTO SPLITTER 1 8;ESVIA_G1I01;RUA EVARISTO CANAL VIANA UNIVERSAL 29134513 ES 68;VIANA;-20.359805100;-40.454575400;G0;ESVIA-I01SP2;ESVIA-I01SP2-SS8
EQP0000000004514634;I01G01636;CTO SPLITTER 1 8;ESVIA_G1I01;RUA UBERLANDIA VIANA MARCILIO DE NORONHA 29135521 ES SN;VIANA;-20.342107300;-40.424759800;G0;ESVIA-I01SP205;ESVIA-I01SP205-SS3
EQP0000000004622870;I01G01430;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ATAIDE ERVATE VIANA INDUSTRIAL 29135578 ES 9;VIANA;-20.342424900;-40.420602000;G0;ESVIA-I01SP179;ESVIA-I01SP179-SS6
EQP0000000004544001;I01G01453;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ACRE VIANA MARCILIO DE NORONHA 29135605 ES 5;VIANA;-20.345497200;-40.423244600;G0;ESVIA-I01SP182;ESVIA-I01SP182-SS5
EQP0000000004708828;I01G01451;CTO SPLITTER 1 8;ESVIA_G1I01;RUA SAO FRANCISCO VIANA MARCILIO DE NORONHA 29135596 ES QDM-LT3;VIANA;-20.344414400;-40.422274200;G0;ESVIA-I01SP182;ESVIA-I01SP182-SS3
EQP0000000004691969;I01G0334;CTO SPLITTER 1 8;ESVIA_G1I01;RUA ALTIVA DA SILVA BRESSIANI VIANA PRIMAVERA 29135224 ES 44;VIANA;-20.352988200;-40.429181400;G0;ESVIA-I01SP42;ESVIA-I01SP42-SS6
EQP0000000004516061;I01G01619;CTO SPLITTER 1 8;ESVIA_G1I01;RUA CACHOEIRO DE ITAPEMIRIM VIANA MARCILIO DE NORONHA 29135533 ES QD12-LT4;VIANA;-20.342688900;-40.423543000;G0;ESVIA-I01SP203;ESVIA-I01SP203-SS3
EQP0000000004736253;I01G0103;CTO SPLITTER 1 8;ESVIA_G1I01;RUA NOSSA SENHORA AUXILIADORA VIANA UNIVERSAL 29134433 ES 6;VIANA;-20.360249200;-40.445416700;G0;ESVIA-I01SP13;ESVIA-I01SP13-SS7
