UF|MUNICIPIO|ARMARIO|TRONCO|IDENTIFICADOR_UNICO_CABO_CONECTADO|SP_PADRAO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000079552252|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000079552280|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000079552285|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150905876|OK|SP12|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150919290|OK|SP9|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150919385|OK|SP2|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150919390|OK|SP2|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150919400|OK|SP2|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150919415|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150920920|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150921050|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925244|OK|SP9|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925249|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925254|OK|SP9|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925259|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925264|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925269|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925274|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925279|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925284|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925289|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925294|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925299|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925304|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925309|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925314|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925319|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925324|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925329|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925334|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925339|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925344|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925349|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925354|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925359|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925364|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925369|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925374|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925379|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925384|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925389|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925394|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925399|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925404|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925409|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925414|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925419|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925424|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925429|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925434|OK|SP8|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925439|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925444|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925449|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925454|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925459|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925464|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925469|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925474|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925479|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925484|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925489|OK|SP7|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925494|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925499|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925504|OK|SP6|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925509|OK|SP3;SP13|2||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150925514|OK|SP2|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926649|OK|SP1;SP13|2||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926654|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926659|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926664|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926669|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926674|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926679|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926684|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926689|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926694|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926699|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926704|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926709|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926714|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926719|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926724|OK|SP5|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926729|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926734|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926739|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926744|OK|SP4|1||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926749|OK|SP3;SP13|2||0
RJ|VOLTA REDONDA|RJVRD_G1A01|TR 1|CBL0000000150926754|OK|SP4|1||0
