UF|MUNICIPIO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CONTAGEM_OK|QTDE_OK|CONTAGEM_NOK|QTDE_NOK
RJ|VOLTA REDONDA|CBL0000000079561201|SP61[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000079568854|SP29[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000079569100|SP29[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000079569202|SP29[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000079608080|SP70[SS6]|1||0
RJ|VOLTA REDONDA|CBL0000000079662222|SP14[SS7]|1||0
RJ|VOLTA REDONDA|CBL0000000079663729|SP17[SS3-SS4]|2||0
RJ|VOLTA REDONDA|CBL0000000079664119|SP17[SS3]|1||0
RJ|VOLTA REDONDA|CBL0000000079721457|SP30[SS1-SS8]|8||0
RJ|VOLTA REDONDA|CBL0000000079721458|SP30[SS1-SS7]|7||0
RJ|VOLTA REDONDA|CBL0000000079721459|SP30[SS1-SS6]|6||0
RJ|VOLTA REDONDA|CBL0000000079721460|SP30[SS1-SS5]|5||0
RJ|VOLTA REDONDA|CBL0000000079721461|SP30[SS1-SS4]|4||0
RJ|VOLTA REDONDA|CBL0000000079721462|SP30[SS1-SS3]|3||0
RJ|VOLTA REDONDA|CBL0000000079721463|SP30[SS1-SS2]|2||0
RJ|VOLTA REDONDA|CBL0000000079721465|SP30[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000079721608|SP64[SS2-SS3]|2||0
RJ|VOLTA REDONDA|CBL0000000079721609|SP64[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000079721746|SP130[SS5]|1||0
RJ|VOLTA REDONDA|CBL0000000079721871|SP133[SS7]|1||0
RJ|VOLTA REDONDA|CBL0000000079722330|SP33[SS2-SS3;SS7]|3||0
RJ|VOLTA REDONDA|CBL0000000079722348|SP33[SS2-SS3]|2||0
RJ|VOLTA REDONDA|CBL0000000079722349|SP33[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000079722573|SP34[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000079722795|SP85[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000079722985|SP97[SS5-SS6]|2||0
RJ|VOLTA REDONDA|CBL0000000079722986|SP97[SS5]|1||0
RJ|VOLTA REDONDA|CBL0000000079723179|SP101[SS5]|1||0
RJ|VOLTA REDONDA|CBL0000000079723271|SP108[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000079723581|SP122[SS2-SS3]|2||0
RJ|VOLTA REDONDA|CBL0000000079723582|SP122[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000079723904|SP91[SS3]|1||0
RJ|VOLTA REDONDA|CBL0000000079724131|SP12[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000082979877|SP91[SS8]|1||0
RJ|VOLTA REDONDA|CBL0000000083055637|SP41[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000083060796|SP71[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000083062331|SP116[SS6]|1||0
RJ|VOLTA REDONDA|CBL0000000083062585|SP116[SS7]|1||0
RJ|VOLTA REDONDA|CBL0000000083063851|SP128[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000083066254|SP135[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000083067082|SP142[SS2-SS4]|3||0
RJ|VOLTA REDONDA|CBL0000000101083827|SP41[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000101298481|SP30[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000101298482|SP30[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000101298484|SP30[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000101298759|SP30[SS2]|1||0
RJ|VOLTA REDONDA|CBL0000000101298805|SP71[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000101298806|SP71[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000101298848|SP71[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000101298849|SP71[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000101298925|SP71[SS1]|1||0
RJ|VOLTA REDONDA|CBL0000000101298967|SP71[SS1]|1||0
