UF|MUNICIPIO|ARMARIO|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMPRIMENTO_GEOMETRICO|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|qtde_fibras
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387249|I02G0304|1|CBL0000000150914900|232582_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|116.42|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387116|I02G0304|EQP0000000075387249|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387252|I02G0303|1|CBL0000000150914895|232581_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|116.42|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3287|EQP0000000075387117|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387252|I02G0303|2|CBL0000000150914940|232590_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|235.16|CAIXA DE EMENDA GENERICA 3287|EQP0000000075387117|I02G0303|EQP0000000075387252|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387259|I02G0301|1|CBL0000000150914895|232581_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|116.42|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3287|EQP0000000075387117|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387259|I02G0301|2|CBL0000000150914935|232589_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|235.16|CAIXA DE EMENDA GENERICA 3287|EQP0000000075387117|CAIXA DE EMENDA GENERICA 3288|EQP0000000075387118|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387259|I02G0301|3|CBL0000000150914955|232593_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|204.88|CAIXA DE EMENDA GENERICA 3288|EQP0000000075387118|CAIXA DE EMENDA GENERICA 3289|EQP0000000075394073|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387259|I02G0301|4|CBL0000000150916220|232600_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|333.01|CAIXA DE EMENDA GENERICA 3289|EQP0000000075394073|I02G0301|EQP0000000075387259|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387261|I02G0300|1|CBL0000000150914895|232581_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|116.42|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3287|EQP0000000075387117|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387261|I02G0300|2|CBL0000000150914935|232589_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|235.16|CAIXA DE EMENDA GENERICA 3287|EQP0000000075387117|CAIXA DE EMENDA GENERICA 3288|EQP0000000075387118|1
RJ|VOLTA REDONDA|RJVRD_G1I02|TR 1|Secundario|LOC0000000075202818|404337|EQP0000000075387116|CAIXA DE EMENDA GENERICA 3286|EQP0000000075387261|I02G0300|3|CBL0000000150914955|232593_CFOA 1FO 3MM|CFOA 1FO 3MM-8|8|Cordoalha|204.88|CAIXA DE EMENDA GENERICA 3288|EQP0000000075387118|CAIXA DE EMENDA GENERICA 3289|EQP0000000075394073|1
